"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.843057380E-1,7.837500095E0,-4.378125000E1,-2.829375076E1
7.843057380E-1,9.187500000E0,-4.273125076E1,-2.818125153E1
1.284305738E0,1.083750057E1,-3.967500305E1,-3.031875038E1
1.784305738E0,1.353750038E1,-3.513750076E1,-3.176250076E1
2.284305738E0,1.128750038E1,-3.534375000E1,-3.232500076E1
2.784305738E0,6.581250191E0,-3.481875229E1,-3.240000153E1
3.284305738E0,7.687500119E-1,-3.151875114E1,-2.977500153E1
3.784305738E0,-3.543750048E0,-2.803125191E1,-2.743125153E1
4.284305738E0,-8.550000191E0,-2.381250000E1,-2.610000038E1
4.784305738E0,-1.383750057E1,-1.948125076E1,-2.454375076E1
5.284305738E0,-1.968750000E1,-1.642500114E1,-2.131875038E1
5.784305738E0,-2.666250038E1,-1.453125095E1,-1.725000000E1
6.284305738E0,-3.157500076E1,-1.102500057E1,-1.312500095E1
6.784305738E0,-3.354375076E1,-8.025000572E0,-9.693750381E0
7.284305738E0,-3.328125000E1,-7.106250286E0,-8.606250763E0
7.784305738E0,-3.315000153E1,-6.937500477E0,-7.406250477E0
8.284305738E0,-3.384375000E1,-6.150000095E0,-5.231250286E0
8.784305738E0,-3.446250153E1,-6.450000286E0,-2.925000191E0
9.284305738E0,-3.461250305E1,-6.131250381E0,-1.950000048E0
9.784305738E0,-3.444375229E1,-5.943750381E0,-1.912500024E0
1.028430574E1,-3.369375229E1,-5.868750095E0,-3.000000000E0
1.078430574E1,-3.369375229E1,-6.300000191E0,-4.031250000E0
1.128430574E1,-3.393750000E1,-6.975000381E0,-4.181250095E0
1.178430574E1,-3.384375000E1,-7.893750191E0,-4.537500381E0
1.228430574E1,-3.320625305E1,-8.287500381E0,-5.287500381E0
1.278430574E1,-3.262500000E1,-8.212500572E0,-6.543750286E0
1.328430574E1,-3.221250153E1,-8.400000572E0,-7.125000477E0
1.378430574E1,-3.213750076E1,-8.568750381E0,-7.106250286E0
1.428430574E1,-3.223125076E1,-8.531250000E0,-6.318750381E0
1.478430574E1,-3.213750076E1,-7.818750381E0,-4.631250381E0
1.528430574E1,-3.183750153E1,-7.406250477E0,-4.500000000E0
1.578430574E1,-3.176250076E1,-6.975000381E0,-4.668750286E0
1.628430574E1,-3.155625153E1,-6.993750095E0,-4.500000000E0
1.678430574E1,-3.159375191E1,-6.581250191E0,-3.993750095E0
1.728430574E1,-3.172500038E1,-6.393750191E0,-4.143750191E0
1.778430574E1,-3.168750191E1,-6.300000191E0,-3.881250143E0
1.828430574E1,-3.170625114E1,-5.887500286E0,-3.637500048E0
1.878430574E1,-3.193125153E1,-5.737500191E0,-4.087500095E0
1.928430574E1,-3.198750114E1,-5.793750286E0,-3.637500048E0
1.978430574E1,-3.198750114E1,-5.643750191E0,-3.112500191E0
2.028430574E1,-3.202500153E1,-5.887500286E0,-4.350000381E0
2.078430574E1,-3.225000000E1,-6.243750095E0,-4.800000191E0
2.128430574E1,-3.245625305E1,-6.450000286E0,-4.875000000E0
2.178430574E1,-3.264375305E1,-6.693750381E0,-4.893750191E0
2.228430574E1,-3.260625076E1,-6.937500477E0,-4.575000286E0
2.278430574E1,-3.228750229E1,-7.125000477E0,-4.293750286E0
2.328430574E1,-3.238125229E1,-7.106250286E0,-4.406250000E0
2.378430574E1,-3.225000000E1,-7.406250477E0,-5.493750095E0
2.428430574E1,-3.234375000E1,-6.825000286E0,-4.087500095E0
2.478430574E1,-3.195000076E1,-6.187500477E0,-3.506250143E0
2.528430574E1,-3.196875191E1,-5.737500191E0,-3.131250143E0
2.578430574E1,-3.221250153E1,-5.437500000E0,-3.768750191E0
2.628430574E1,-3.243750000E1,-6.150000095E0,-4.912500381E0
2.678430574E1,-3.255000305E1,-6.018750191E0,-4.575000286E0
2.728430574E1,-3.238125229E1,-5.606250286E0,-4.031250000E0
2.778430574E1,-3.266250229E1,-4.875000000E0,-2.775000095E0
2.828430574E1,-3.290625000E1,-4.781250000E0,-2.981250048E0
2.878430574E1,-3.322500229E1,-4.931250095E0,-2.887500048E0
2.928430574E1,-3.307500076E1,-4.706250191E0,-2.343750000E0
2.978430574E1,-3.266250229E1,-4.368750095E0,-1.593750119E0
3.028430574E1,-3.258750153E1,-3.168750048E0,-7.125000358E-1
3.078430574E1,-3.268125153E1,-2.681250095E0,-9.562500119E-1
3.128430574E1,-3.286875153E1,-2.250000000E0,-1.406250000E0
3.178430574E1,-3.288750076E1,-1.987500072E0,-1.556250095E0
3.228430574E1,-3.266250229E1,-1.781250119E0,-1.368750095E0
3.278430574E1,-3.245625305E1,-1.518750072E0,-1.256250024E0
3.328430574E1,-3.240000153E1,-1.481250048E0,-1.537500024E0
3.378430574E1,-3.245625305E1,-1.481250048E0,-1.593750119E0
3.428430574E1,-3.238125229E1,-1.556250095E0,-1.425000072E0
3.478430574E1,-3.230625153E1,-2.062500000E0,-1.368750095E0
3.528430574E1,-3.225000000E1,-2.981250048E0,-1.200000048E0
3.578430574E1,-3.223125076E1,-3.562500238E0,-1.031250000E0
3.628430574E1,-3.228750229E1,-3.450000048E0,-6.187500358E-1
