"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.748524060E-1,-5.041161776E-1,-6.872228812E-3,-2.787070572E-1
7.789843850E-1,-6.895136237E-1,2.599229515E-1,-1.166751757E-1
1.283116260E0,-2.244928107E-2,6.459894776E-2,-2.809977904E-2
1.787248135E0,-1.010981202E-1,2.718348242E-2,-5.635227636E-2
2.291380062E0,-1.279761642E-1,4.123337101E-3,-1.359174121E-2
2.795511989E0,8.680388331E-1,-5.731438994E-1,3.103193045E-1
3.299643812E0,3.287979662E-1,1.372918636E-1,7.009673119E-2
3.803775635E0,-4.393644929E-1,5.835285783E-1,-2.553414702E-1
4.307907406E0,-2.000582218E-2,-3.222311661E-2,-9.315688163E-3
4.812039072E0,-7.483093534E-3,1.267544460E-2,4.123337101E-3
5.316170426E0,-7.483093534E-3,-3.252854943E-2,1.053741761E-2
5.820301520E0,-7.635809598E-4,-3.039052337E-2,4.581485991E-4
6.324432301E0,-2.779434808E-2,-6.230820715E-2,-1.435532235E-2
6.828562822E0,2.916879393E-2,-9.605848789E-2,-1.055268943E-1
7.332693187E0,-1.359174121E-2,5.039634556E-2,-1.557705179E-2
7.836823395E0,-4.734201822E-3,3.207040019E-3,9.315688163E-3
8.340953291E0,-2.626718581E-2,8.414662629E-2,2.871064469E-2
8.845082979E0,-8.857538924E-3,4.306596518E-2,9.712749720E-2
9.349212458E0,-8.093958721E-3,4.596757516E-2,1.447749585E-1
9.853341676E0,-1.572976820E-2,5.268708616E-2,1.739437431E-1
1.035747079E1,-2.428187430E-2,6.139190868E-2,1.898262352E-1
1.086159964E1,-2.061668597E-2,4.886918142E-2,1.992946416E-1
1.136572829E1,-3.237583488E-2,6.078104675E-2,1.997527778E-1
1.186985657E1,-3.955349326E-2,7.208204269E-2,2.015853822E-1
1.237398454E1,-1.878409274E-2,6.398808211E-2,2.096793354E-1
1.287811199E1,-7.483093534E-3,-7.788525894E-3,1.742491722E-1
1.338223892E1,-1.069013379E-3,-4.153880477E-2,9.941824526E-2
1.388636553E1,1.771507785E-2,-2.733619884E-2,4.673115537E-2
1.439049162E1,-1.313359290E-2,5.345067009E-3,-5.497782957E-3
1.489461735E1,1.756236330E-2,-4.444041103E-2,-2.275471389E-2
1.539874287E1,1.343902480E-2,-6.887500733E-2,-5.436696485E-2
1.590286814E1,5.955931731E-3,-3.588830680E-2,-1.029307172E-1
1.640699319E1,-7.941242307E-3,-5.497783050E-2,-1.200349256E-1
1.691111798E1,-5.039634649E-3,-6.200277433E-2,-1.273653060E-1
1.741524246E1,5.070177838E-2,-2.901607659E-3,-1.420260668E-1
1.791936673E1,-1.374445739E-3,-8.460476995E-2,-1.099556610E-1
1.842349074E1,-1.093447953E-1,-8.857539296E-2,-1.295033395E-1
1.892761449E1,3.237583488E-2,6.872228812E-3,-1.414151937E-1
1.943173803E1,4.581485875E-3,-3.588830680E-2,-1.224783882E-1
1.993586136E1,-1.710421406E-2,-3.665188700E-2,-1.140789986E-1
2.043998459E1,1.328630932E-2,-2.901607752E-2,-9.239330143E-2
2.094410793E1,-4.276053607E-2,4.581485875E-3,-8.628465235E-2
2.144823131E1,6.414080039E-3,-3.970621154E-2,-6.337722391E-2
2.195235480E1,-2.076940238E-2,7.819069177E-2,-4.886918142E-2
2.245647845E1,1.679878100E-3,5.604684353E-2,1.191186346E-2
2.296060220E1,9.162971750E-3,2.138026804E-2,1.725693047E-2
2.346472590E1,-7.330377586E-3,-1.985310577E-2,1.771507785E-2
2.396884949E1,1.374445762E-2,-6.872228812E-3,9.162971750E-3
2.447297282E1,-8.399390616E-3,-1.069013379E-3,1.069013379E-3
