"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.024444750E-1,5.240193430E1,4.935499300E0,1.940757672E1,NaN,NaN,2.337800026E1,1.941859627E1
1.156937395E0,5.240250333E1,4.934937240E0,2.247647621E1,1.272000027E1,3.870000076E1,8.570442200E0,1.641901588E1
1.353770415E0,5.240255922E1,4.935024240E0,2.345957780E1,1.271000004E1,3.879999924E1,8.633823395E0,1.643943405E1
2.354117499E0,5.240266443E1,4.935190280E0,7.477585826E0,1.248999977E1,3.840000153E1,3.790092468E0,5.298745155E0
3.354037914E0,5.240275779E1,4.935290390E0,5.087518361E0,1.227999973E1,3.890000153E1,3.790092468E0,3.896419764E0
4.353959009E0,5.240284822E1,4.935394590E0,2.820373940E0,1.230000019E1,3.809999847E1,3.790092468E0,3.282939911E0
5.354164217E0,5.240294396E1,4.935511720E0,2.787436541E0,1.247000027E1,3.790000153E1,3.790092468E0,2.963416338E0
6.354161820E0,5.240303382E1,4.935627530E0,1.759433866E0,1.263000011E1,3.800000000E1,3.790092468E0,2.622148514E0
7.354179788E0,5.240312264E1,4.935739480E0,1.467206263E0,1.244999981E1,3.850000000E1,3.790092468E0,2.500000000E0
8.354965882E0,5.240320700E1,4.935852880E0,1.282150911E0,1.210999966E1,3.809999847E1,3.790092468E0,2.500000000E0
9.353589683E0,5.240329904E1,4.935946390E0,1.979968351E0,1.189000034E1,3.160000038E1,3.790092468E0,2.500000000E0
1.035392151E1,5.240339738E1,4.936016960E0,1.879197312E0,1.156000042E1,2.139999962E1,3.790092468E0,2.500000000E0
1.135381911E1,5.240349887E1,4.936057300E0,2.359223574E0,1.151000023E1,8.300000191E0,3.790092468E0,2.500000000E0
1.235377802E1,5.240359790E1,4.936067770E0,2.667414864E0,1.138000011E1,3.562000122E2,3.790092468E0,2.500000000E0
1.335369359E1,5.240369636E1,4.936048770E0,2.836183767E0,1.093000031E1,3.492000122E2,3.790092468E0,2.500000000E0
1.435367770E1,5.240379461E1,4.936010520E0,3.618527509E0,1.118999958E1,3.456000061E2,3.790092468E0,2.500000000E0
1.535378630E1,5.240389581E1,4.935973720E0,3.920895824E0,1.152999973E1,3.482999878E2,3.790092468E0,2.500000000E0
1.635381338E1,5.240399603E1,4.935953370E0,3.971197195E0,1.143000031E1,3.542000122E2,3.790092468E0,2.500000000E0
1.735373635E1,5.240412011E1,4.935957970E0,3.871644757E0,1.246000004E1,4.500000000E0,3.790092468E0,2.500000000E0
