"Time (s)","Pressure (hPa)"
4.388903220E-1,1.016482422E3
9.389044890E-1,1.016489380E3
1.438902979E0,1.016372803E3
1.938905374E0,1.016289307E3
2.438887666E0,1.016286255E3
2.938904801E0,1.016316040E3
3.438903239E0,1.016291382E3
3.938903812E0,1.016388916E3
4.438892145E0,1.016327393E3
4.938905531E0,1.016313232E3
5.438914072E0,1.016296021E3
5.938904801E0,1.016291748E3
6.438890374E0,1.016232544E3
6.938906729E0,1.016221069E3
7.438877666E0,1.016212036E3
7.938903395E0,1.016224609E3
8.439058760E0,1.016255615E3
8.938877249E0,1.016263672E3
9.438900583E0,1.016267822E3
9.938880999E0,1.016265991E3
1.043888470E1,1.016246094E3
1.093889371E1,1.016194580E3
1.143891173E1,1.016153564E3
1.193891621E1,1.016145264E3
1.243889272E1,1.016128296E3
1.293891423E1,1.016087402E3
1.343889881E1,1.016041138E3
1.393891558E1,1.016018311E3
1.443889527E1,1.016053223E3
1.493891537E1,1.016045288E3
1.543891324E1,1.016039673E3
1.593890631E1,1.016048218E3
1.643888350E1,1.016032837E3
1.693891058E1,1.016014404E3
1.743891308E1,1.016072388E3
1.793891558E1,1.016005737E3
1.843889459E1,1.016008301E3
1.893890574E1,1.016006348E3
1.943890688E1,1.016000000E3
1.993891496E1,1.016027954E3
2.021987142E1,1.016019287E3
2.031984475E1,1.016019287E3
2.081984475E1,1.016011230E3
2.131984475E1,1.015927002E3
2.181984475E1,1.015989258E3
2.231984475E1,1.015996582E3
2.281984475E1,1.016001099E3
2.331984475E1,1.016016479E3
2.381984475E1,1.016018433E3
2.431984475E1,1.015993164E3
2.481984475E1,1.015972412E3
2.531984475E1,1.015989014E3
2.581984475E1,1.016045044E3
2.631984475E1,1.016098267E3
2.681984475E1,1.016139893E3
2.731984475E1,1.016111938E3
2.781984475E1,1.016071533E3
2.831984475E1,1.016104736E3
2.881984475E1,1.016156738E3
2.931984475E1,1.016131470E3
2.981984475E1,1.016124756E3
3.031984475E1,1.016123779E3
3.081984475E1,1.016116699E3
3.131984475E1,1.016117310E3
3.181984475E1,1.016118774E3
3.231984475E1,1.016133423E3
3.281984475E1,1.016100464E3
3.331984475E1,1.016128540E3
3.381984475E1,1.016107300E3
3.431984475E1,1.016065552E3
3.481984475E1,1.016028809E3
3.531984475E1,1.016039551E3
3.581984475E1,1.016020508E3
3.631984475E1,1.016056763E3
3.681984475E1,1.016064209E3
3.731984475E1,1.016058228E3
3.781984475E1,1.016098145E3
3.831984475E1,1.016122437E3
3.881984475E1,1.016095337E3
3.931984475E1,1.016146240E3
3.981984475E1,1.016201294E3
4.031984475E1,1.016294678E3
4.081984475E1,1.016260498E3
4.131984475E1,1.016265869E3
4.181984475E1,1.016278564E3
4.231984475E1,1.016308594E3
4.281984475E1,1.016309204E3
4.331984475E1,1.016301392E3
4.381984475E1,1.016301270E3
4.431984475E1,1.016283447E3
4.481984475E1,1.016265381E3
4.531984475E1,1.016266968E3
4.581984475E1,1.016248779E3
4.631984475E1,1.016252075E3
4.681984475E1,1.016223389E3
4.731984475E1,1.016214722E3
4.781984475E1,1.016213013E3
4.831984475E1,1.016213867E3
4.881984475E1,1.016212158E3
4.931984475E1,1.016188965E3
4.981984475E1,1.016172607E3
5.031984475E1,1.016169922E3
5.081984475E1,1.016166016E3
5.131984475E1,1.016146362E3
5.181984475E1,1.016117065E3
5.231984475E1,1.016106079E3
5.281984475E1,1.016103760E3
5.331984475E1,1.016065796E3
5.381984475E1,1.016024536E3
5.431984475E1,1.016033936E3
5.481984475E1,1.016056641E3
5.531984475E1,1.016036621E3
5.581984475E1,1.016005127E3
5.631984475E1,1.015967285E3
5.681984475E1,1.015936157E3
5.731984475E1,1.015922974E3
5.781984475E1,1.015925659E3
5.831984475E1,1.015878540E3
5.881984475E1,1.015891479E3
5.931984475E1,1.015888672E3
5.981984475E1,1.015920898E3
6.031984475E1,1.015883057E3
6.081984475E1,1.015865234E3
6.131984475E1,1.015865967E3
6.181984475E1,1.015802734E3
6.231984475E1,1.015825928E3
6.281984475E1,1.015845703E3
6.331984475E1,1.015854980E3
6.381984475E1,1.015879761E3
6.431984475E1,1.015911621E3
6.481984475E1,1.015920166E3
6.531984475E1,1.015913208E3
6.581984475E1,1.015905396E3
6.631984475E1,1.015905396E3
6.681984475E1,1.015890991E3
6.731984475E1,1.015869629E3
6.781984475E1,1.015874146E3
6.831984475E1,1.015860962E3
6.881984475E1,1.015787964E3
6.931984475E1,1.015769897E3
6.981984475E1,1.015810303E3
7.031984475E1,1.015750732E3
7.081984475E1,1.015701538E3
7.131984475E1,1.015767212E3
7.181984475E1,1.015801025E3
7.231984475E1,1.015772949E3
7.281984475E1,1.015650513E3
7.331984475E1,1.015597290E3
7.381984475E1,1.015622070E3
7.431984475E1,1.015544189E3
7.481984475E1,1.015581299E3
7.531984475E1,1.015570801E3
7.581984475E1,1.015671997E3
7.631984475E1,1.015813965E3
7.681984475E1,1.015877441E3
7.731984475E1,1.015949463E3
7.781984475E1,1.016029419E3
7.831984475E1,1.016024658E3
7.881984475E1,1.016082520E3
7.931984475E1,1.016058105E3
