"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.335156600E-2,-1.870896518E-1,8.761391640E-1,-6.739435196E-1
2.949921910E-1,-4.533487558E-2,1.224347591E0,3.921175003E-1
7.949921910E-1,-7.949805260E-2,-7.882995605E-1,-6.002397537E-1
1.294992191E0,-2.507560253E-1,1.433759689E0,4.221024513E-1
1.794992191E0,-3.744181395E-1,-1.281785965E-1,-9.274787903E-1
2.294992191E0,-3.965744972E-1,-2.054789066E0,3.288179398E0
2.794992191E0,4.547667801E-1,1.584474087E0,-5.728006363E-2
3.294992191E0,3.887039423E-2,1.104545593E-1,-1.834111214E-1
3.794992191E0,7.464984059E-1,3.544821739E-1,-9.330558777E-2
4.294992191E0,1.039848208E0,6.481175423E-1,2.127799988E-1
4.794992191E0,6.510965228E-1,6.081533432E-2,2.824964523E-1
5.294992191E0,9.903666973E-1,-5.090336800E-1,1.451654434E-1
5.794992191E0,1.787153482E-1,-1.969766617E-2,5.743598938E-2
6.294992191E0,1.942459345E-1,9.913206100E-2,1.735496521E-2
6.794992191E0,2.422212958E-1,9.139394760E-2,-9.025001526E-2
7.294992191E0,-9.875455499E-2,-1.587522030E-1,1.716613770E-2
7.794992191E0,-9.639818072E-1,-1.287531853E-1,-2.035179138E-1
8.294992191E0,-4.724786878E-1,-4.637742043E-2,1.020917892E-1
8.794992191E0,-1.280551553E-1,1.272919178E-1,3.391742706E-2
9.294992191E0,-1.256636381E-1,-1.377635002E-1,-9.892940521E-2
9.794992191E0,-5.561593771E-1,8.998584747E-2,-2.022171021E-2
1.029499219E1,-3.950875998E-1,1.004815102E-2,-1.049509048E-1
1.079499219E1,-1.901042461E-2,1.027362347E-1,1.117248535E-1
1.129499219E1,4.988467693E-2,-5.582928658E-2,-2.406225204E-1
1.179499219E1,-3.130388260E-2,-1.422719955E-1,-3.025856018E-1
1.229499219E1,-7.799160480E-2,-1.311278343E-2,1.117582321E-1
1.279499219E1,-6.895506382E-2,1.060056686E-1,-5.201244354E-2
1.329499219E1,8.762967587E-2,2.918021679E-1,7.141971588E-2
1.379499219E1,1.657629013E-2,1.971499920E-1,-3.203983307E-1
1.429499219E1,-1.113026142E-1,9.361553192E-2,-2.993392944E-1
1.479499219E1,-2.431929111E-1,5.666379929E-1,7.057323456E-1
1.529499219E1,1.062101126E-1,-9.185457230E-2,-2.147769928E-1
1.579499219E1,6.648218632E-2,2.853007317E-1,3.338422775E-1
1.629499219E1,-5.927670002E-2,-1.063251495E-2,-4.149913788E-2
1.679499219E1,8.650970459E-2,6.639003754E-2,-6.632709503E-2
1.729499219E1,-4.622089863E-2,1.749134064E-1,1.034698486E-1
1.779499219E1,-4.511404037E-2,-1.367278099E-1,-8.055114746E-2
1.829499219E1,3.339886665E-3,-2.157249451E-1,-8.466053009E-2
1.879499219E1,-1.147021055E-1,1.385822296E-1,3.120727539E-1
1.929499219E1,5.970263481E-2,7.959933281E-1,-1.673889160E-2
1.979499219E1,6.896100640E-1,4.930710793E-1,-7.664999962E-1
2.029499219E1,2.147548795E-1,2.443132401E-1,-6.548213959E-2
2.079499219E1,-3.704929352E-2,4.920578003E-2,-3.652720451E-1
2.129499219E1,1.252758503E-2,-2.106285095E-2,-2.225351334E-1
2.179499219E1,-7.804179192E-2,-1.054019928E-1,3.735971451E-1
2.229499219E1,4.920476675E-2,1.234240532E-1,-5.032825470E-2
2.279499219E1,4.513263702E-3,2.806916237E-1,2.189264297E-1
2.329499219E1,1.182406545E-1,-5.961179733E-2,-2.498216629E-1
2.379499219E1,-2.891671062E-1,1.222295761E-1,1.500158310E-1
2.429499219E1,9.217751026E-2,-4.987239838E-2,-7.474040985E-2
2.479499219E1,-4.918408394E-2,-1.073846817E-1,-1.033401489E-1
2.529499219E1,4.555386305E-2,4.260683060E-2,-2.672080994E-1
2.579499219E1,-6.401610374E-2,9.364700317E-2,4.522037506E-2
2.629499219E1,3.654575348E-2,-2.643060684E-2,-6.496906281E-2
2.679499219E1,1.174972057E-1,2.863869667E-1,-9.232234955E-2
2.729499219E1,-5.349857807E-1,-9.875297546E-1,2.712059021E-2
2.779499219E1,-2.652604580E-1,-8.847379684E-1,6.822166443E-1
2.829499219E1,-1.869097948E-1,-8.508121967E-1,3.274564743E-1
2.879499219E1,1.105527639E0,3.033351898E-2,1.172065735E-1
2.929499219E1,3.680715561E-1,-2.364587784E-2,1.931276321E-1
2.979499219E1,1.015814543E-1,-3.012895584E-2,1.636323929E-1
3.029499219E1,5.388391018E-2,-5.652379990E-2,-4.916477203E-2
3.079499219E1,3.169965744E-2,4.759836197E-2,3.179454803E-2
3.129499219E1,4.025125504E-2,-2.741622925E-2,-1.858234406E-2
3.179499219E1,2.009630203E-3,2.895545959E-2,1.130771637E-2
