"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.200400352E0,5.833701611E0,7.274180889E0
1.440823200E-2,3.494717360E0,5.865406513E0,7.361518860E0
5.144082320E-1,3.369094372E0,1.028913736E0,1.053320503E1
1.014408232E0,3.871587038E0,3.858426511E-1,7.549953461E0
1.514408232E0,3.795016766E0,-1.947757602E0,9.373882294E0
2.014408232E0,4.235296249E0,-1.034895778E0,9.650852203E0
2.514408232E0,3.858426571E0,-7.256234884E-1,9.139386177E0
3.014408232E0,4.471587181E0,-7.896314859E-1,9.029315948E0
3.514408232E0,4.145565033E0,-9.726824164E-1,9.041878700E0
4.014408232E0,3.949353695E0,-5.132604837E-1,8.971290588E0
4.514408232E0,4.138386726E0,-5.132604837E-1,8.821140289E0
5.014408232E0,4.348955154E0,-3.511467278E-1,8.714659691E0
5.514408232E0,4.405784607E0,-2.596212626E-1,9.046664238E0
6.014408232E0,4.353740692E0,2.297109663E-1,8.883354187E0
6.514408232E0,4.499702930E0,-2.662015259E-1,9.101100922E0
7.014408232E0,4.582853794E0,-1.740778536E-1,8.947959900E0
7.514408232E0,5.091926575E0,-8.721838593E-1,9.108877182E0
8.014408232E0,4.841278553E0,-8.422735929E-1,8.276175499E0
8.514408232E0,5.168497086E0,-1.174277663E0,9.236295700E0
9.014408232E0,4.953142643E0,-1.048056364E0,8.775078773E0
9.514408232E0,4.454239368E0,-9.176474810E-1,8.020741463E0
1.001440823E1,4.474578381E0,-7.561319470E-1,7.164111137E0
1.051440823E1,4.428516388E0,-7.351947427E-1,1.008156013E1
1.101440823E1,3.835096598E0,-1.003789067E0,6.256632805E0
1.151440823E1,5.659623623E0,-1.429113269E0,9.976275444E0
1.201440823E1,5.097908497E0,-8.901300430E-1,8.668000221E0
1.251440823E1,4.788636208E0,-1.284347534E0,8.796015739E0
1.301440823E1,4.999204636E0,-1.561915040E0,7.808976650E0
1.351440823E1,5.777470112E0,-8.548358679E-1,8.290532112E0
1.401440823E1,4.911268711E0,-3.412165165E0,1.204187965E1
1.451440823E1,2.455035925E0,-7.148557901E-1,4.150949001E0
1.501440823E1,4.313062668E0,-2.837887764E0,1.294876003E1
1.551440823E1,3.856033802E0,-9.487541914E-1,6.206982136E0
1.601440823E1,4.083950043E0,-3.075973511E0,9.834501266E0
1.651440823E1,3.412165165E0,-2.201396942E0,7.637889862E0
1.701440823E1,4.281357765E0,-2.395813704E0,9.464211464E0
1.751440823E1,3.917648792E0,-2.191825628E0,8.333004951E0
1.801440823E1,4.254438877E0,-2.624328136E0,9.531808853E0
1.851440823E1,3.287738323E0,-2.249253273E0,7.612765312E0
1.901440823E1,3.667000771E0,-2.571087837E0,9.150154114E0
1.951440823E1,4.369294167E0,-2.346162558E0,8.916853905E0
