"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.249611760E1,4.965273700E0,4.594175300E-1,NaN,NaN,2.308900070E1,1.000000000E0
1.845825832E0,5.249621206E1,4.964651430E0,9.176849957E0,2.539999962E0,3.057999878E2,1.074749184E1,1.432259846E1
2.845420675E0,5.249624042E1,4.964465110E0,2.390461736E0,2.650000095E0,3.031000061E2,4.904924393E0,7.130435467E0
3.845634634E0,5.249626874E1,4.964418910E0,1.631746152E0,2.900000095E0,3.007999878E2,3.790092468E0,4.641839504E0
4.845198592E0,5.249629168E1,4.964367550E0,2.768832757E0,3.240000010E0,2.972999878E2,3.790092468E0,3.631582975E0
5.846157654E0,5.249630851E1,4.964317890E0,3.176358451E0,4.280000210E0,2.962999878E2,3.790092468E0,2.893507719E0
6.845204997E0,5.249632886E1,4.964247400E0,4.888441988E0,5.489999771E0,2.962000122E2,3.790092468E0,2.574860334E0
7.845442185E0,5.249635875E1,4.964162230E0,5.511663063E0,6.369999886E0,2.971000061E2,3.790092468E0,2.500000000E0
8.845331663E0,5.249639218E1,4.964068690E0,6.429012540E0,7.019999981E0,3.011000061E2,3.790092468E0,2.500000000E0
9.845599840E0,5.249642746E1,4.963981080E0,7.961785724E0,7.309999943E0,3.018999939E2,3.790092468E0,2.500000000E0
1.084593682E1,5.249646419E1,4.963885630E0,8.003589433E0,7.730000019E0,3.013999939E2,3.790092468E0,2.500000000E0
1.184577187E1,5.249650066E1,4.963784920E0,8.431620054E0,8.170000076E0,3.011000061E2,3.790092468E0,2.500000000E0
1.284599041E1,5.249654223E1,4.963680290E0,8.649572570E0,8.699999809E0,3.027000122E2,3.790092468E0,2.500000000E0
1.384556911E1,5.249658750E1,4.963572170E0,9.017796804E0,8.920000076E0,3.032999878E2,3.790092468E0,2.500000000E0
1.484565312E1,5.249663013E1,4.963458580E0,9.220303509E0,8.729999542E0,3.023999939E2,3.790092468E0,2.500000000E0
1.584530296E1,5.249666870E1,4.963349960E0,9.187516902E0,8.710000038E0,3.002000122E2,3.790092468E0,2.500000000E0
1.684567156E1,5.249671270E1,4.963242760E0,9.039199348E0,8.560000420E0,3.003999939E2,3.790092468E0,2.500000000E0
1.784540671E1,5.249675262E1,4.963132520E0,8.901555285E0,8.569999695E0,3.016000061E2,3.790092468E0,2.500000000E0
1.884581614E1,5.249679577E1,4.963026060E0,8.772524072E0,8.630000114E0,3.018999939E2,3.790092468E0,2.500000000E0
1.984565879E1,5.249683846E1,4.962914000E0,8.654841350E0,8.729999542E0,3.021000061E2,3.790092468E0,2.500000000E0
2.084526796E1,5.249688303E1,4.962806280E0,7.950860224E0,8.760000229E0,3.028999939E2,3.790092468E0,2.500000000E0
2.184567046E1,5.249692298E1,4.962695520E0,7.835005431E0,8.750000000E0,3.022999878E2,3.790092468E0,2.500000000E0
2.284512504E1,5.249696649E1,4.962585570E0,7.475320756E0,8.609999657E0,3.025000000E2,3.790092468E0,2.500000000E0
2.384557937E1,5.249700625E1,4.962484040E0,7.238377527E0,7.929999828E0,3.025000000E2,3.790092468E0,2.500000000E0
2.484607426E1,5.249704247E1,4.962401180E0,7.098791624E0,6.849999905E0,3.026000061E2,3.790092468E0,2.500000000E0
2.584550562E1,5.249706823E1,4.962342120E0,7.291358529E0,5.539999962E0,3.023999939E2,3.790092468E0,2.500000000E0
2.684594759E1,5.249708736E1,4.962289160E0,7.477816154E0,4.150000095E0,3.032999878E2,3.790092468E0,2.500000000E0
2.784578103E1,5.249710361E1,4.962244500E0,7.264311318E0,3.269999981E0,3.037000122E2,3.790092468E0,2.500000000E0
2.884523186E1,5.249711579E1,4.962217370E0,7.288177011E0,2.269999981E0,3.042000122E2,3.790092468E0,2.500000000E0
2.984594582E1,5.249712158E1,4.962201800E0,7.650175355E0,1.360000014E0,3.043999939E2,3.790092468E0,2.500000000E0
3.084606270E1,5.249712408E1,4.962199430E0,7.325348384E0,3.799999952E-1,3.047000122E2,3.790092468E0,2.500000000E0
3.184553712E1,5.249712536E1,4.962199100E0,7.579744541E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.284603405E1,5.249712794E1,4.962201290E0,7.997718297E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.384538165E1,5.249712903E1,4.962202420E0,8.192544755E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.484563082E1,5.249712909E1,4.962202050E0,8.576882995E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.584564639E1,5.249712934E1,4.962201060E0,8.863198670E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.684582457E1,5.249712933E1,4.962199070E0,9.127113467E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.784526546E1,5.249712919E1,4.962197530E0,9.242834991E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.884563858E1,5.249712937E1,4.962195970E0,9.416784499E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.984608879E1,5.249712970E1,4.962195650E0,9.622168076E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.084551347E1,5.249712920E1,4.962196130E0,9.784826345E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.184520639E1,5.249712871E1,4.962196010E0,9.948033582E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.284537326E1,5.249712879E1,4.962196030E0,9.958104509E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.384524410E1,5.249712899E1,4.962195880E0,1.005563888E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.484565868E1,5.249712904E1,4.962195810E0,1.006839526E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.584608686E1,5.249712903E1,4.962195800E0,1.007083665E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.684548769E1,5.249712831E1,4.962193220E0,9.858858959E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.784519790E1,5.249713093E1,4.962184970E0,1.041775663E1,6.899999976E-1,3.006000061E2,3.790092468E0,2.500000000E0
4.884565707E1,5.249713421E1,4.962171580E0,1.028976248E1,1.070000052E0,2.968999939E2,3.790092468E0,2.500000000E0
4.984516623E1,5.249713892E1,4.962146580E0,1.024080386E1,1.830000043E0,2.913999939E2,3.790092468E0,2.500000000E0
5.084565097E1,5.249714609E1,4.962106030E0,1.029010595E1,2.900000095E0,2.882999878E2,3.790092468E0,2.500000000E0
5.184553967E1,5.249715762E1,4.962050870E0,1.046031605E1,3.930000067E0,2.907000122E2,3.790092468E0,2.500000000E0
5.284546883E1,5.249717651E1,4.961983970E0,1.048148168E1,4.820000172E0,2.950000000E2,3.790092468E0,2.500000000E0
5.384566196E1,5.249720673E1,4.961900650E0,1.018453831E1,5.679999828E0,2.987000122E2,3.790092468E0,2.500000000E0
5.484605816E1,5.249723816E1,4.961819680E0,9.891382255E0,6.400000095E0,3.008999939E2,3.790092468E0,2.500000000E0
5.584543217E1,5.249727045E1,4.961733080E0,9.384906149E0,6.960000038E0,3.022000122E2,3.790092468E0,2.500000000E0
5.684533076E1,5.249730593E1,4.961648070E0,9.233416024E0,6.820000172E0,3.045000000E2,3.790092468E0,2.500000000E0
5.784566274E1,5.249733935E1,4.961576530E0,8.901328087E0,6.239999771E0,3.057999878E2,3.790092468E0,2.500000000E0
5.884562081E1,5.249736328E1,4.961527780E0,8.725673519E0,4.750000000E0,3.067999878E2,3.790092468E0,2.500000000E0
5.984582237E1,5.249737779E1,4.961484910E0,8.579244916E0,3.359999895E0,3.056000061E2,3.790092468E0,2.500000000E0
6.084577086E1,5.249738904E1,4.961455690E0,8.269001569E0,2.279999971E0,3.042999878E2,3.790092468E0,2.500000000E0
6.183776383E1,5.249738723E1,4.961443120E0,8.582712080E0,8.000000119E-1,3.035000000E2,3.808853865E0,2.500000000E0
6.283901232E1,5.249738780E1,4.961439330E0,8.774422024E0,2.700000107E-1,3.042000122E2,9.982453346E0,2.500000000E0
6.383386758E1,5.249739094E1,4.961431200E0,8.461311228E0,4.699999988E-1,3.052000122E2,9.961727142E0,2.500000000E0
6.483966649E1,5.249739341E1,4.961415370E0,8.627687002E0,1.299999952E0,3.047000122E2,9.956786156E0,2.500000000E0
6.584164456E1,5.249739363E1,4.961389440E0,8.830369370E0,2.150000095E0,3.020000000E2,9.954171181E0,2.500000000E0
