"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.895641170E-1,6.386250305E1,-6.450000286E0,-7.275000000E1
7.895641170E-1,7.080000305E1,1.657500076E1,-6.800625610E1
1.289564117E0,7.445625305E1,2.632500076E1,-6.570000458E1
1.789564117E0,7.451250458E1,3.181875038E1,-6.468750000E1
2.289564117E0,7.378125000E1,3.431250000E1,-6.540000153E1
2.789564117E0,7.293750000E1,3.710625076E1,-6.476250458E1
3.289564117E0,7.215000153E1,3.950625229E1,-6.391875076E1
3.789564117E0,7.128750610E1,4.143750000E1,-6.286875153E1
4.289564117E0,7.130625153E1,4.905000305E1,-6.076875305E1
4.789564117E0,6.954375458E1,5.092500305E1,-5.971875381E1
5.289564117E0,6.720000458E1,5.191875076E1,-5.906250381E1
5.789564117E0,6.577500153E1,5.250000381E1,-5.844375229E1
6.289564117E0,6.476250458E1,5.358750153E1,-5.681250381E1
6.789564117E0,6.405000305E1,5.386875153E1,-5.595000076E1
7.289564117E0,6.371250153E1,5.385000229E1,-5.559375381E1
7.789564117E0,6.393750381E1,5.368125153E1,-5.583750153E1
8.289564117E0,6.442500305E1,5.377500153E1,-5.591250229E1
8.789564117E0,6.487500000E1,5.381250381E1,-5.610000229E1
9.289564117E0,6.521250153E1,5.394375229E1,-5.600625229E1
9.789564117E0,6.547500610E1,5.401875305E1,-5.581875229E1
1.028956412E1,6.571875000E1,5.424375153E1,-5.561250305E1
1.078956412E1,6.592500305E1,5.424375153E1,-5.595000076E1
1.128956412E1,6.611250305E1,5.435625076E1,-5.617500305E1
1.178956412E1,6.594375610E1,5.458125305E1,-5.572500229E1
1.228956412E1,6.583125305E1,5.475000381E1,-5.521875381E1
1.278956412E1,6.577500153E1,5.493750381E1,-5.501250076E1
1.328956412E1,6.562500000E1,5.512500381E1,-5.521875381E1
1.378956412E1,6.553125000E1,5.600625229E1,-5.553750229E1
1.428956412E1,6.532500458E1,5.655000305E1,-5.628750229E1
1.478956412E1,6.470625305E1,5.735625076E1,-5.566875076E1
1.528956412E1,6.408750153E1,5.853750229E1,-5.448750305E1
1.578956412E1,6.386250305E1,5.985000229E1,-5.383125305E1
1.628956412E1,6.331875229E1,6.142500305E1,-5.390625381E1
1.678956412E1,6.230625153E1,6.264375305E1,-5.405625153E1
1.728956412E1,6.183750153E1,6.305625153E1,-5.326875305E1
1.778956412E1,6.174375153E1,6.326250076E1,-5.203125381E1
