"Time (s)","Pressure (hPa)"
4.324657840E-1,1.018481201E3
9.324640650E-1,1.018446655E3
1.432476305E0,1.018390259E3
1.932466982E0,1.018446899E3
2.432475367E0,1.018448242E3
2.932476774E0,1.018397827E3
3.432467763E0,1.018273682E3
3.932469846E0,1.018366577E3
4.432475107E0,1.018339111E3
4.932476617E0,1.018334961E3
5.432477294E0,1.018321655E3
5.932467242E0,1.018295776E3
6.432493024E0,1.018263916E3
6.932478232E0,1.018256226E3
7.432466826E0,1.018251099E3
7.932467346E0,1.018225830E3
8.432468596E0,1.018221436E3
8.932463596E0,1.018194092E3
9.432467034E0,1.018165527E3
9.932461721E0,1.018139893E3
1.043246526E1,1.018110107E3
1.093246750E1,1.018070435E3
1.143246683E1,1.018063599E3
1.193246683E1,1.018043457E3
1.243246526E1,1.018040039E3
1.293246959E1,1.018001709E3
1.343246808E1,1.017982544E3
1.393246714E1,1.017896973E3
1.443248115E1,1.017902466E3
1.493246604E1,1.017887939E3
1.543245261E1,1.017885864E3
1.593245193E1,1.017868286E3
1.643244625E1,1.017878784E3
1.693244006E1,1.017913818E3
1.743246808E1,1.017918945E3
1.793246453E1,1.017916504E3
1.843247599E1,1.017976929E3
1.893247735E1,1.018033569E3
1.943247636E1,1.018079834E3
1.993246563E1,1.018079590E3
2.021318406E1,1.018086182E3
2.031317433E1,1.018086182E3
2.081317433E1,1.018129883E3
2.131317433E1,1.018155518E3
2.181317433E1,1.018234131E3
2.231317433E1,1.018194336E3
2.281317433E1,1.018220581E3
2.331317433E1,1.018282104E3
2.381317433E1,1.018306152E3
2.431317433E1,1.018362915E3
2.481317433E1,1.018383667E3
2.531317433E1,1.018393677E3
2.581317433E1,1.018394287E3
2.631317433E1,1.018435791E3
2.681317433E1,1.018400269E3
2.731317433E1,1.018391113E3
2.781317433E1,1.018396729E3
2.831317433E1,1.018420654E3
2.881317433E1,1.018423340E3
2.931317433E1,1.018426392E3
2.981317433E1,1.018433960E3
3.031317433E1,1.018437378E3
