"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.013689000E-2,1.499103427E0,6.713063717E0,8.347361565E0
3.114053600E-2,1.162911773E0,6.634698868E0,7.660023689E0
5.311405360E-1,4.642075896E-1,6.827919483E0,7.536194801E0
1.031140536E0,-4.773681164E-1,5.954539299E0,7.757531166E0
1.531140536E0,-6.640082598E-1,6.650850773E0,7.473981380E0
2.031140536E0,-3.720839322E-1,6.448058605E0,7.283751965E0
2.531140536E0,-2.679961324E-1,6.692126751E0,7.315456867E0
3.031140536E0,-2.309073806E-1,6.480959892E0,7.235895634E0
3.531140536E0,-2.667997181E-1,6.502495766E0,7.046264648E0
4.031140536E0,-3.792623878E-1,6.276971817E0,7.499105930E0
4.531140536E0,-3.942175210E-1,6.395416737E0,7.386045456E0
5.031140536E0,-1.704886109E-1,6.336194515E0,7.649255753E0
5.531140536E0,-2.249253243E-1,6.250052929E0,7.285546780E0
6.031140536E0,-2.171486616E-1,6.286543369E0,7.473981380E0
6.531140536E0,-2.488535494E-1,6.241677761E0,7.562515736E0
7.031140536E0,-5.144568533E-2,6.311069489E0,7.361518860E0
7.531140536E0,-2.213360928E-2,6.306283951E0,7.593024254E0
8.031140536E0,-1.579262912E-1,6.224329948E0,7.382455826E0
8.531140536E0,-4.965107143E-2,6.241677761E0,7.721040249E0
9.031140536E0,-6.999006122E-2,6.304489613E0,7.641479015E0
9.531140536E0,-3.026920557E-1,6.206982136E0,7.798807144E0
1.003114054E1,-2.697907388E-1,6.155536175E0,8.004590034E0
1.053114054E1,-3.385843933E-1,6.197410583E0,7.479963779E0
1.103114054E1,-3.798605800E-1,6.234499454E0,8.030312538E0
1.153114054E1,-2.662015259E-1,6.200999737E0,7.619943619E0
1.203114054E1,-4.582255483E-1,6.172286034E0,7.759325504E0
1.253114054E1,-4.749752879E-1,6.093322754E0,8.026723862E0
1.303114054E1,-2.937189937E-1,6.288337708E0,7.304090977E0
1.353114054E1,-4.085744619E-1,6.141777515E0,7.530810833E0
