"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.696937650E-1,3.665188700E-2,1.698204130E-1,-3.817904741E-2
7.737810050E-1,-1.569922417E-1,1.070540547E-1,-6.765327603E-2
1.277869442E0,8.872810751E-2,5.467239767E-2,-3.268126398E-2
1.781959390E0,-6.108647794E-4,-5.115992576E-2,1.237001177E-2
2.286051057E0,2.932151034E-2,7.941242307E-3,1.084284950E-2
2.790144651E0,-1.404988952E-2,-1.527161989E-2,-1.053741761E-2
3.294240067E0,-9.162971750E-3,1.084284950E-2,1.527161920E-3
3.798336942E0,-3.237583488E-2,8.704823442E-3,-3.970621154E-3
4.302434859E0,-1.496618707E-2,3.283398226E-2,9.162971983E-4
4.806533401E0,-1.252272818E-2,1.206457894E-2,8.857538924E-3
5.310632567E0,-7.635809598E-4,-2.290742937E-3,-4.886918236E-3
5.814732359E0,6.108647794E-4,-2.138026757E-3,3.665188793E-3
6.318832724E0,-9.162971983E-4,-4.123337101E-3,7.635809598E-4
6.822933349E0,-4.581485875E-3,-7.024944760E-3,5.650499370E-3
7.327034078E0,-6.719512399E-3,-6.108647678E-3,-1.221729559E-3
7.831134651E0,2.748891478E-3,-3.054323839E-3,-5.803215317E-3
8.335235015E0,4.428769462E-3,3.359756200E-3,7.330377586E-3
8.839335276E0,-2.290742937E-3,3.054323897E-4,1.527161949E-4
9.343435588E0,4.581485991E-4,-1.985310577E-3,-2.138026757E-3
9.847536213E0,-3.207040019E-3,-1.374445739E-3,-1.832594397E-3
1.035163720E1,-4.123337101E-3,-3.665188793E-3,-5.345067009E-3
1.085573866E1,3.054323897E-4,-1.374445739E-3,3.054323897E-4
1.135984069E1,-9.162971983E-4,1.985310577E-3,3.512472380E-3
1.186394350E1,-4.581485991E-4,1.221729559E-3,2.290742937E-3
1.236804736E1,-3.665188793E-3,2.443459118E-3,3.207040019E-3
1.287215200E1,2.596175298E-3,-2.443459118E-3,-3.512472380E-3
1.337625715E1,-8.093958721E-3,-3.970621154E-3,1.527161949E-4
1.388036267E1,3.817904973E-3,3.359756200E-3,6.108647678E-3
1.438446824E1,-4.123337101E-3,-2.443459118E-3,9.162971983E-4
1.488857387E1,2.290742937E-3,-6.108647794E-4,3.054323897E-4
1.539267976E1,-1.527161920E-3,-3.054323839E-3,-1.221729559E-3
1.589678569E1,7.941242307E-3,4.581485991E-4,-1.374445739E-3
1.640089194E1,-1.038470119E-2,-1.985310577E-3,-1.985310577E-3
1.690499856E1,6.566796452E-3,4.428769462E-3,5.803215317E-3
1.740910554E1,-1.527161920E-3,3.054323897E-4,2.443459118E-3
1.791321283E1,1.145371497E-1,-1.012508348E-1,2.962694131E-2
1.841732017E1,-2.218966335E-1,-4.276053514E-3,-4.123337101E-3
1.892142752E1,-1.281288862E-1,6.185005978E-2,5.299251899E-2
1.942553476E1,-5.497782957E-3,-3.298669681E-2,2.764163166E-2
1.992964173E1,2.092211880E-2,9.880737960E-2,-8.994983882E-2
2.043374791E1,1.270598769E-1,2.597702444E-1,3.581194878E-1
2.093785437E1,-2.463312149E-1,-3.833176568E-2,1.145371422E-2
2.144196077E1,-9.941824526E-2,-3.541488647E-1,-2.037234008E-1
2.194606702E1,-1.974620372E-1,7.620538026E-2,3.207040206E-2
2.245017301E1,-5.375609919E-2,-1.466075517E-2,2.748891478E-3
2.295427859E1,-3.787361458E-2,4.276053514E-3,7.177661173E-3
2.345838369E1,-8.399390616E-3,2.138026804E-2,1.252272818E-2
2.396248838E1,-4.306596518E-2,2.458730713E-2,5.497782957E-3
2.446659265E1,-1.191186346E-2,3.512472380E-3,5.497782957E-3
2.497069661E1,-2.474002354E-2,9.010255337E-3,-5.650499370E-3
2.547480025E1,-2.550360374E-2,6.566796452E-3,-5.497782957E-3
2.597890364E1,-6.108647678E-3,9.315688163E-3,5.955931731E-3
2.648300676E1,-1.221729559E-3,4.123337101E-3,7.177661173E-3
2.698710952E1,-3.970621154E-3,3.207040019E-3,-4.581485991E-4
2.749121202E1,-1.450803876E-2,5.497782957E-3,-2.901607659E-3
2.799531432E1,-1.023198478E-2,-3.817904973E-3,-1.695149764E-2
2.849941635E1,2.657261863E-2,-1.832594397E-3,1.175914705E-2
2.900351822E1,-1.007926930E-2,4.581485991E-4,1.679878100E-3
2.950761973E1,-5.497782957E-3,-1.527161949E-4,-3.359756200E-3
3.001172088E1,-9.773836471E-3,6.108647794E-4,-5.039634649E-3
3.051582166E1,-1.970038936E-2,-3.054323839E-3,-1.649334840E-2
3.101992213E1,-1.114828233E-2,4.886918236E-3,-4.581485875E-3
3.152402228E1,6.108647794E-4,2.748891478E-3,1.832594397E-3
