"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,8.792597055E-2,-1.324672699E-1,9.140396118E-2
1.424459530E-1,5.366242528E-1,1.816830635E-1,1.650395393E-1
6.424459530E-1,1.866786480E-1,1.497616768E-1,-2.492341995E-1
1.142445953E0,4.207390547E-1,8.979654312E-2,-2.113046646E-1
1.642445953E0,-2.925433815E-1,-9.340286255E-3,-6.649017334E-2
2.142445953E0,-1.623373479E-1,-2.197651863E-1,9.574031830E-2
2.642445953E0,-1.817336679E-2,1.130013466E-1,-2.311992645E-2
3.142445953E0,-3.386753798E-2,-3.401517868E-2,-3.449010849E-2
3.642445953E0,8.469432592E-3,5.153226852E-2,-2.500247955E-2
4.142445953E0,1.729956269E-2,8.323812485E-2,7.577419281E-3
4.642445953E0,8.154273033E-3,2.243232727E-2,5.887317657E-2
5.142445953E0,-2.548807859E-2,-1.337814331E-2,-1.780891418E-2
5.642445953E0,2.304080129E-2,-5.117368698E-2,4.081964493E-2
6.142445953E0,-6.164312363E-3,6.382703781E-2,-1.578760147E-2
6.642445953E0,1.390874386E-4,-5.452680588E-2,3.376054764E-2
7.142445953E0,1.720224321E-2,7.808685303E-2,7.498264313E-2
7.642445953E0,1.785099506E-2,3.293180466E-2,-2.043724060E-3
8.142445953E0,4.843629897E-3,-5.665731430E-2,1.884937286E-3
8.642445953E0,4.751853645E-3,2.515172958E-2,2.343654633E-3
9.142445953E0,-1.916786283E-2,-2.383661270E-2,-3.255939484E-2
9.642445953E0,-1.169230789E-2,5.640506744E-3,-2.544116974E-2
1.014244595E1,-8.998273313E-2,-3.046226501E-2,3.312110901E-3
1.064244595E1,-7.106333971E-3,1.991653442E-2,-5.598306656E-2
1.114244595E1,-1.423874497E-2,-1.831054688E-2,4.360675812E-3
1.164244595E1,-8.368688822E-2,-6.030082703E-3,-3.926944733E-2
1.214244595E1,-1.796126366E-3,-7.905483246E-3,1.794672012E-2
1.264244595E1,9.585261345E-3,2.995443344E-2,-5.141115189E-2
1.314244595E1,2.731174231E-3,-3.819084167E-2,3.323745728E-2
1.364244595E1,9.160250425E-3,-3.309726715E-3,6.093931198E-2
1.414244595E1,-2.442267537E-2,-1.187133789E-2,-2.138519287E-2
1.464244595E1,-1.344999671E-2,-2.609968185E-2,-8.911609650E-3
1.514244595E1,-1.193791628E-3,-2.847909927E-2,1.725339890E-2
1.564244595E1,-2.366513014E-3,1.621246338E-5,1.500129700E-2
1.614244595E1,4.458010197E-3,-4.328250885E-3,9.260177612E-3
1.664244595E1,-1.131477952E-2,9.209489822E-2,4.609441757E-2
1.714244595E1,-2.283781767E-3,-2.340888977E-2,2.936410904E-2
1.764244595E1,-2.809375525E-3,6.839752197E-2,-7.719516754E-3
1.814244595E1,-2.931807041E-1,-2.852735519E-1,3.490481377E-1
1.864244595E1,-5.547590554E-3,4.583091736E-1,-3.932709694E-1
1.914244595E1,-5.372509956E-1,2.054452896E-2,-2.795314789E-1
1.964244595E1,3.212813437E-1,-9.680414200E-2,1.610250473E-1
2.014244595E1,5.519267917E-1,-1.362347603E-1,3.000707626E-1
2.064244595E1,-1.190420866E0,-2.046653748E0,1.321855545E0
2.114244595E1,2.568686008E-1,9.384322166E-1,-7.044425011E-1
2.164244595E1,-1.518380880E0,-1.954340935E-1,-2.472209930E-2
2.214244595E1,-1.852303445E-1,4.442963600E-1,-1.801118851E-1
2.264244595E1,-4.253133535E-1,-3.384253979E-1,1.544904709E-1
2.314244595E1,1.291900873E-2,-1.518225670E-2,5.282688141E-2
2.364244595E1,-1.594100446E-1,-1.762168407E-1,8.527469635E-2
2.414244595E1,3.124013543E-3,5.446934700E-2,2.501773834E-2
2.464244595E1,4.601721466E-2,-1.079189777E-1,2.145767212E-4
2.514244595E1,7.266531885E-2,4.968523979E-2,-7.234573364E-3
2.564244595E1,-1.805241406E-2,6.333351135E-3,5.137348175E-2
2.614244595E1,-1.806275174E-2,1.615715027E-2,2.928733826E-3
2.664244595E1,-2.385487780E-2,-5.721473694E-2,-2.423954010E-2
2.714244595E1,-7.514001802E-3,-9.494066238E-3,-6.513595581E-4
2.764244595E1,9.216170758E-3,3.905367851E-2,-1.966857910E-2
2.814244595E1,1.395723224E-2,3.253078461E-2,-1.374053955E-2
2.864244595E1,-1.784204692E-2,-7.958030701E-2,4.991436005E-2
2.914244595E1,5.624219775E-4,4.525780678E-2,-2.771759033E-2
2.964244595E1,1.139119267E-4,3.614187241E-3,1.204395294E-2
3.014244595E1,4.370808601E-3,1.015305519E-2,-9.004592896E-3
3.064244595E1,1.235565543E-2,5.147433281E-2,-1.710796356E-2
3.114244595E1,2.081384510E-2,2.209663391E-3,2.126502991E-2
3.164244595E1,-9.620882571E-3,-1.256322861E-2,1.312732697E-2
3.214244595E1,1.714894176E-2,3.008532524E-2,1.246452332E-2
3.264244595E1,-1.925811172E-3,9.443283081E-3,1.543045044E-3
3.314244595E1,6.994158030E-3,-5.415439606E-3,3.761291504E-3
3.364244595E1,-9.283378720E-3,8.259534836E-3,8.329391479E-3
3.414244595E1,2.048462629E-4,1.288962364E-2,1.191425323E-2
3.464244595E1,-3.249943256E-5,-2.900075912E-2,2.246475220E-2
3.514244595E1,-1.341569424E-2,-6.794691086E-3,-8.467674255E-3
3.564244595E1,6.735725701E-2,4.344201088E-2,1.517295837E-3
3.614244595E1,1.303495467E-2,2.980828285E-2,1.000213623E-2
3.664244595E1,9.140068293E-2,-4.135346413E-2,-8.726119995E-4
3.714244595E1,2.832379937E-2,4.055047035E-2,-1.236438751E-2
3.764244595E1,-2.462089062E-3,3.444314003E-2,3.787040710E-3
3.814244595E1,-1.341311634E-2,1.324033737E-2,-8.887100220E-2
3.864244595E1,-2.073822916E-2,-1.499485970E-2,-4.255390167E-2
3.914244595E1,3.350272775E-3,3.433942795E-3,-8.495330811E-3
3.964244595E1,1.049309969E-2,-1.618742943E-2,-2.166748047E-3
4.014244595E1,-6.637202203E-2,-5.212974548E-2,9.275722504E-2
4.064244595E1,7.097021490E-2,-1.136302948E-2,2.399444580E-2
4.114244595E1,3.356351703E-2,5.304813385E-4,6.953239441E-3
4.164244595E1,-2.382311970E-2,-8.068799973E-3,-3.720474243E-2
4.214244595E1,-1.665804908E-2,7.853746414E-3,3.580093384E-3
4.264244595E1,-3.048820980E-2,-2.541208267E-2,-4.105567932E-3
4.314244595E1,2.316410840E-2,1.910829544E-2,-2.442169189E-2
4.364244595E1,-2.115000039E-3,-4.682993889E-2,-1.780509949E-2
4.414244595E1,-8.410387486E-2,-4.858732224E-3,5.700302124E-2
4.464244595E1,2.597442269E-2,-3.309257030E-1,2.066965103E-1
4.514244595E1,1.937795877E-1,4.282815456E-1,-1.332063675E-1
4.564244595E1,6.181740761E-2,1.823358536E-1,-1.975774765E-1
