"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.130257400E-2,5.233733890E1,4.882917500E0,NaN,NaN,NaN,8.999990234E2,0.000000000E0
2.112108228E0,5.233932819E1,4.879227170E0,-2.473035677E1,8.750000000E0,9.159999847E1,1.196134567E1,2.221073341E1
3.111287551E0,5.233933531E1,4.879362420E0,-3.398460270E1,8.710000038E0,8.819999695E1,8.362463951E0,1.793408775E1
4.112141561E0,5.233934070E1,4.879471910E0,-2.982700060E1,8.689999580E0,8.719999695E1,9.289777756E0,2.085027885E1
5.111350571E0,5.233934197E1,4.879586520E0,-2.864309522E1,8.689999580E0,8.759999847E1,9.501286507E0,2.132611465E1
6.111305102E0,5.233934802E1,4.879708090E0,-3.082441349E1,8.439999580E0,8.790000153E1,1.015541172E1,2.229686737E1
7.111384684E0,5.233935676E1,4.879836320E0,-2.950956937E1,8.180000305E0,8.800000000E1,9.682577133E0,2.184280777E1
8.112151090E0,5.233935082E1,4.879927900E0,-1.980670542E1,7.849999905E0,8.830000305E1,9.441854477E0,1.910420799E1
9.111494423E0,5.233935035E1,4.880045560E0,-2.372088424E1,7.489999771E0,8.850000000E1,8.324026108E0,1.698064041E1
1.011161354E1,5.233935277E1,4.880147620E0,-2.532915973E1,7.159999847E0,8.830000305E1,8.946169853E0,1.748840141E1
1.111151448E1,5.233935651E1,4.880251000E0,-2.762664159E1,6.949999809E0,8.819999695E1,9.469009399E0,1.795405579E1
1.211150296E1,5.233935999E1,4.880359810E0,-2.884166220E1,7.059999943E0,8.869999695E1,1.003381348E1,1.861499214E1
1.311175083E1,5.233936423E1,4.880467440E0,-2.927628691E1,6.940000057E0,8.819999695E1,9.964388847E0,1.866047478E1
1.411132463E1,5.233936438E1,4.880562970E0,-2.648088281E1,6.969999790E0,8.840000153E1,5.276050091E0,9.195931435E0
1.511135776E1,5.233936535E1,4.880665630E0,-2.448857406E1,6.889999866E0,8.850000000E1,4.889406681E0,8.072657585E0
1.611146781E1,5.233936763E1,4.880762330E0,-2.174541239E1,6.900000095E0,8.819999695E1,4.931932449E0,7.862561226E0
1.711164525E1,5.233937469E1,4.880853030E0,-1.818150767E1,6.869999886E0,8.819999695E1,3.790092468E0,4.956725121E0
1.811136015E1,5.233937674E1,4.880950080E0,-1.494896624E1,6.820000172E0,8.840000153E1,3.790092468E0,3.810723305E0
1.911138182E1,5.233937735E1,4.881052430E0,-1.586510544E1,6.849999905E0,8.850000000E1,3.790092468E0,3.908108473E0
2.011213630E1,5.233937858E1,4.881155840E0,-1.463921435E1,6.860000134E0,8.840000153E1,3.790092468E0,3.825181961E0
2.111219588E1,5.233937815E1,4.881261680E0,-1.490038475E1,6.840000153E0,8.769999695E1,3.790092468E0,3.830361843E0
2.211130432E1,5.233937910E1,4.881358590E0,-1.511816234E1,6.750000000E0,8.869999695E1,3.790092468E0,3.961970806E0
2.311192473E1,5.233937950E1,4.881456560E0,-1.421478530E1,6.550000191E0,8.809999847E1,3.790092468E0,3.940283298E0
2.411207957E1,5.233938459E1,4.881540210E0,-1.261768427E1,6.460000038E0,8.819999695E1,3.790092468E0,2.933421612E0
2.511196869E1,5.233938695E1,4.881632880E0,-1.254432460E1,6.449999809E0,8.859999847E1,3.790092468E0,3.000905991E0
2.611129895E1,5.233938873E1,4.881723160E0,-1.236696321E1,6.349999905E0,8.819999695E1,3.790092468E0,3.094553471E0
2.711195129E1,5.233939028E1,4.881815140E0,-1.257216953E1,6.360000134E0,8.819999695E1,3.790092468E0,3.207214355E0
2.811125020E1,5.233939084E1,4.881903220E0,-1.170291659E1,6.309999943E0,8.850000000E1,3.790092468E0,2.519779205E0
2.911222317E1,5.233939309E1,4.881994220E0,-1.163975090E1,6.329999924E0,8.880000305E1,3.790092468E0,2.651361227E0
3.011136843E1,5.233939523E1,4.882088200E0,-1.178623942E1,6.340000153E0,8.909999847E1,3.790092468E0,2.811644793E0
3.111189264E1,5.233939690E1,4.882180560E0,-1.178722172E1,6.289999962E0,8.969999695E1,3.790092468E0,2.999881029E0
3.211156066E1,5.233939706E1,4.882270750E0,-1.230517517E1,6.239999771E0,8.959999847E1,3.790092468E0,3.212534666E0
3.311135181E1,5.233939795E1,4.882359350E0,-1.206006697E1,6.219999790E0,9.040000153E1,3.790092468E0,3.405074835E0
3.411138066E1,5.233939757E1,4.882449830E0,-1.202119728E1,6.280000210E0,9.150000000E1,3.790092468E0,3.367868423E0
3.511209306E1,5.233939617E1,4.882539840E0,-1.215798848E1,6.219999790E0,9.180000305E1,3.790092468E0,3.146986961E0
3.611138087E1,5.233939332E1,4.882631230E0,-1.164933415E1,6.329999924E0,9.340000153E1,3.790092468E0,3.299984694E0
3.711167556E1,5.233938985E1,4.882719220E0,-1.035235257E1,6.210000038E0,9.280000305E1,3.790092468E0,2.858425379E0
3.811208082E1,5.233938297E1,4.882811690E0,-9.950636902E0,6.320000172E0,9.469999695E1,3.790092468E0,2.845312119E0
3.911184738E1,5.233937859E1,4.882904610E0,-1.056423727E1,6.300000191E0,9.509999847E1,3.790092468E0,2.817551136E0
4.011122910E1,5.233937158E1,4.882993820E0,-1.089421311E1,6.269999981E0,9.569999695E1,3.790092468E0,2.947658539E0
4.111195832E1,5.233936498E1,4.883084620E0,-1.108221968E1,6.230000019E0,9.669999695E1,3.790092468E0,2.999994516E0
4.211188884E1,5.233935853E1,4.883175040E0,-1.089809492E1,6.340000153E0,9.759999847E1,3.790092468E0,2.853695869E0
4.311122946E1,5.233934941E1,4.883261320E0,-1.120787277E1,6.260000229E0,9.859999847E1,3.790092468E0,2.937143326E0
4.411130248E1,5.233934138E1,4.883349410E0,-1.131324132E1,6.190000057E0,9.919999695E1,3.790092468E0,2.917972326E0
4.511123967E1,5.233933235E1,4.883438410E0,-1.083487051E1,6.280000210E0,9.990000153E1,3.790092468E0,3.108010054E0
4.611165644E1,5.233932149E1,4.883528520E0,-1.086162861E1,6.309999943E0,1.005000000E2,3.790092468E0,3.234166861E0
4.711171972E1,5.233931046E1,4.883619220E0,-1.139528358E1,6.340000153E0,1.005999985E2,3.790092468E0,3.393952131E0
4.811136821E1,5.233929910E1,4.883712780E0,-1.130149597E1,6.269999981E0,1.025000000E2,3.790092468E0,3.318919897E0
4.911195066E1,5.233928082E1,4.883805980E0,-1.184950299E1,6.250000000E0,1.014000015E2,3.790092468E0,3.315772533E0
5.011145060E1,5.233927289E1,4.883899680E0,-1.132614504E1,6.280000210E0,1.020999985E2,3.790092468E0,2.780428410E0
5.111171566E1,5.233926000E1,4.883990240E0,-1.119995164E1,6.090000153E0,1.025999985E2,3.790092468E0,2.864878654E0
5.211188613E1,5.233924552E1,4.884084910E0,-1.158157063E1,6.619999886E0,1.021999969E2,3.790092468E0,3.074328899E0
5.311196430E1,5.233923209E1,4.884176330E0,-1.160802642E1,6.389999866E0,1.029000015E2,3.790092468E0,3.314945459E0
5.411166191E1,5.233921923E1,4.884265540E0,-1.141176540E1,6.349999905E0,1.040000000E2,3.790092468E0,3.340982199E0
5.511172889E1,5.233921244E1,4.884357720E0,-1.112290378E1,6.409999847E0,1.039000015E2,3.790092468E0,2.807448626E0
