"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.817418380E-1,3.300000191E0,-4.803750229E1,-2.493750191E1
7.817418380E-1,1.856250048E0,-4.766250229E1,-2.521875191E1
1.281741838E0,2.756250143E0,-4.732500076E1,-2.694375038E1
1.781741838E0,3.225000143E0,-4.738125229E1,-2.754375076E1
2.281741838E0,3.450000048E0,-4.728750229E1,-2.722500038E1
2.781741838E0,3.581250191E0,-4.674375153E1,-2.505000114E1
3.281741838E0,2.793750048E0,-4.618125153E1,-2.323125076E1
3.781741838E0,2.831250191E0,-4.629375076E1,-2.345625114E1
4.281741838E0,3.150000095E0,-4.590000153E1,-2.325000000E1
4.781741838E0,3.187500238E0,-4.515000153E1,-2.240625000E1
5.281741838E0,3.075000048E0,-4.470000076E1,-2.171250153E1
5.781741838E0,3.225000143E0,-4.372500229E1,-2.158125114E1
6.281741838E0,3.600000143E0,-4.271250153E1,-2.203125000E1
6.781741838E0,3.712500095E0,-4.265625000E1,-2.304375076E1
7.281741838E0,4.631250381E0,-4.263750076E1,-2.390625000E1
7.781741838E0,4.406250000E0,-4.205625153E1,-2.332500076E1
8.281741838E0,4.125000000E0,-4.228125000E1,-2.373750114E1
8.781741838E0,5.268750191E0,-4.216875076E1,-2.385000038E1
9.281741838E0,4.968750000E0,-4.160625076E1,-2.276250076E1
9.781741838E0,4.050000191E0,-4.228125000E1,-2.216250038E1
1.028174184E1,3.225000143E0,-4.295625305E1,-2.124375153E1
1.078174184E1,2.756250143E0,-4.305000305E1,-2.146875000E1
1.128174184E1,2.343750000E0,-4.335000229E1,-2.218125153E1
1.178174184E1,2.362500191E0,-4.368750000E1,-2.240625000E1
1.228174184E1,2.212500095E0,-4.333125305E1,-2.201250076E1
1.278174184E1,1.350000024E0,-4.372500229E1,-2.240625000E1
1.328174184E1,1.462500095E0,-4.466250229E1,-2.355000114E1
1.378174184E1,1.875000119E0,-4.505625153E1,-2.411250114E1
1.428174184E1,2.043750048E0,-4.550625229E1,-2.490000153E1
1.478174184E1,2.062500000E0,-4.567500305E1,-2.510625076E1
1.528174184E1,1.725000024E0,-4.582500076E1,-2.506875038E1
1.578174184E1,1.931250095E0,-4.571250153E1,-2.589375114E1
1.628174184E1,2.231250048E0,-4.580625153E1,-2.658750153E1
1.678174184E1,2.343750000E0,-4.548750305E1,-2.662500191E1
1.728174184E1,2.193750143E0,-4.494375229E1,-2.630625153E1
1.778174184E1,2.268750191E0,-4.419375229E1,-2.578125191E1
1.828174184E1,2.493750095E0,-4.380000305E1,-2.610000038E1
1.878174184E1,2.812500000E0,-4.308750153E1,-2.613750076E1
1.928174184E1,3.150000095E0,-4.209375000E1,-2.655000114E1
1.978174184E1,2.775000095E0,-4.168125153E1,-2.625000191E1
2.028174135E1,2.550000191E0,-4.108125305E1,-2.641875076E1
2.078174135E1,1.950000048E0,-4.128750229E1,-2.692500114E1
2.128174135E1,1.818750024E0,-4.110000229E1,-2.829375076E1
2.178174135E1,1.406250000E0,-4.040625000E1,-2.953125191E1
2.228174135E1,5.062500238E-1,-3.886875153E1,-3.018750191E1
2.278174135E1,-6.937500238E-1,-3.783750153E1,-3.161250114E1
2.328174135E1,-1.800000072E0,-3.703125000E1,-3.337500000E1
2.378174135E1,-2.568750143E0,-3.560625076E1,-3.564375305E1
2.428174135E1,-2.981250048E0,-3.403125000E1,-3.759375000E1
2.478174135E1,-2.775000095E0,-3.202500153E1,-3.937500000E1
2.528174135E1,-2.981250048E0,-3.052500153E1,-4.001250076E1
2.578174135E1,-3.000000000E0,-2.906250191E1,-4.044375229E1
2.628174135E1,-2.343750000E0,-2.818125153E1,-4.074375153E1
2.678174135E1,-1.125000000E0,-2.733750153E1,-4.014375305E1
2.728174135E1,-2.250000089E-1,-2.649375153E1,-3.813750076E1
2.778174135E1,-4.500000179E-1,-2.604375076E1,-3.646875000E1
2.828174135E1,-5.625000000E-1,-2.548125076E1,-3.635625076E1
2.878174135E1,-3.000000119E-1,-2.499375153E1,-3.652500153E1
2.928174135E1,3.562500179E-1,-2.430000114E1,-3.658125305E1
2.978174135E1,6.937500238E-1,-2.396250153E1,-3.633750153E1
3.028174135E1,6.187500358E-1,-2.375625038E1,-3.611250305E1
3.078174135E1,9.375000000E-2,-2.347500038E1,-3.661875153E1
3.128174135E1,3.750000149E-2,-2.319375038E1,-3.806250000E1
3.178174135E1,1.012500048E0,-2.304375076E1,-3.890625000E1
3.228174135E1,1.387500048E0,-2.313750076E1,-3.813750076E1
3.278174135E1,1.312500000E0,-2.355000114E1,-3.832500076E1
3.328174135E1,9.937500358E-1,-2.386875153E1,-3.825000000E1
3.378174135E1,9.937500358E-1,-2.396250153E1,-3.840000153E1
3.428174135E1,9.375000596E-1,-2.381250000E1,-3.843750000E1
3.478174135E1,1.087500095E0,-2.379375076E1,-3.864375305E1
3.528174135E1,1.143750072E0,-2.493750191E1,-3.834375000E1
3.578174135E1,1.162500024E0,-2.626875114E1,-3.736875153E1
3.628174135E1,1.237500072E0,-2.662500191E1,-3.755625153E1
3.678174135E1,1.125000000E0,-2.625000191E1,-3.697500229E1
3.728174135E1,1.181250095E0,-2.643750191E1,-3.691875076E1
3.778174135E1,1.237500072E0,-2.748750114E1,-3.646875000E1
3.828174135E1,1.556250095E0,-2.765625191E1,-3.630000305E1
3.878174135E1,1.800000072E0,-2.739375114E1,-3.601875305E1
3.928174135E1,2.193750143E0,-2.602500153E1,-3.641250229E1
3.978174135E1,2.493750095E0,-2.484375191E1,-3.671250153E1
4.028174135E1,2.493750095E0,-2.482500076E1,-3.601875305E1
4.078174135E1,2.437500000E0,-2.460000038E1,-3.583125305E1
4.128174135E1,2.362500191E0,-2.392500114E1,-3.609375000E1
4.178174135E1,2.456250191E0,-2.263125038E1,-3.676875305E1
4.228174135E1,2.587500095E0,-2.242500114E1,-3.712500000E1
4.278174135E1,2.681250095E0,-2.236875153E1,-3.736875153E1
4.328174135E1,2.643750191E0,-2.248125076E1,-3.708750153E1
4.378174135E1,2.512500048E0,-2.259375000E1,-3.678750229E1
4.428174135E1,2.606250048E0,-2.244375038E1,-3.639375305E1
4.478174135E1,2.756250143E0,-2.289375114E1,-3.566250229E1
4.528174135E1,2.906250000E0,-2.385000038E1,-3.436875153E1
4.578174135E1,2.925000191E0,-2.518125153E1,-3.433125305E1
4.628174135E1,2.606250048E0,-2.559375191E1,-3.384375000E1
4.678174135E1,2.400000095E0,-2.606250191E1,-3.388125229E1
4.728174135E1,2.381250143E0,-2.628750038E1,-3.408750153E1
4.778174135E1,2.775000095E0,-2.565000153E1,-3.526875305E1
4.828174135E1,2.831250191E0,-2.516250038E1,-3.727500153E1
4.878174135E1,3.187500238E0,-2.493750191E1,-4.063125229E1
4.928174135E1,3.375000238E0,-2.407500076E1,-4.357500076E1
4.978174135E1,3.618750095E0,-2.274375153E1,-4.584375000E1
5.028174135E1,3.975000143E0,-2.208750153E1,-4.768125153E1
5.078174135E1,3.918750048E0,-2.141250038E1,-4.760625076E1
5.128174135E1,3.937500238E0,-2.111250114E1,-4.886250305E1
5.178174135E1,3.768750191E0,-2.066250038E1,-4.854375076E1
5.228174135E1,3.731250048E0,-2.025000000E1,-4.695000076E1
5.278174135E1,3.468750238E0,-1.981875038E1,-4.456875229E1
5.328174135E1,3.431250095E0,-1.923750114E1,-4.235625076E1
5.378174135E1,3.075000048E0,-1.893750000E1,-4.001250076E1
5.428174135E1,2.737500191E0,-1.856250000E1,-3.847500229E1
5.478174135E1,2.718750000E0,-1.835625076E1,-3.905625153E1
5.528174135E1,2.681250095E0,-1.749375153E1,-3.890625000E1
5.578174135E1,2.737500191E0,-1.745625114E1,-4.012500000E1
5.628174135E1,2.718750000E0,-1.696875000E1,-4.055625153E1
5.678174135E1,2.756250143E0,-1.586250019E1,-4.048125076E1
5.728174135E1,2.700000048E0,-1.518750095E1,-4.061250305E1
5.778174135E1,2.681250095E0,-1.488750076E1,-4.012500000E1
5.828174135E1,2.550000191E0,-1.548750019E1,-3.950625229E1
5.878174135E1,2.493750095E0,-1.629375076E1,-3.828750229E1
5.928174135E1,2.231250048E0,-1.743750000E1,-3.673125076E1
5.978174135E1,1.987500072E0,-1.820625114E1,-3.493125153E1
6.028174135E1,1.818750024E0,-1.972500038E1,-3.427500153E1
6.078174135E1,1.556250095E0,-2.193750000E1,-3.292500305E1
6.128174135E1,1.050000072E0,-2.480625153E1,-3.228750229E1
6.178174135E1,5.062500238E-1,-2.763750076E1,-3.219375229E1
6.228174135E1,5.062500238E-1,-2.930625153E1,-3.221250153E1
6.278174135E1,1.687500030E-1,-3.067500114E1,-3.168750191E1
6.328174135E1,-1.687500030E-1,-3.193125153E1,-3.103125191E1
6.378174135E1,-1.068750024E0,-3.425625229E1,-3.033750153E1
6.428174135E1,-1.125000000E0,-3.714375305E1,-2.956875038E1
6.478174135E1,-7.312500477E-1,-3.907500076E1,-2.883750153E1
6.528174135E1,-2.062500119E-1,-3.980625153E1,-2.842500114E1
6.578174135E1,1.875000075E-2,-3.982500076E1,-2.730000114E1
6.628174135E1,-2.250000089E-1,-4.042500305E1,-2.675625038E1
6.678174135E1,-3.750000149E-2,-4.113750076E1,-2.626875114E1
6.728174135E1,1.312500089E-1,-4.303125000E1,-2.538750076E1
6.778174135E1,6.375000477E-1,-4.451250076E1,-2.452500153E1
6.828174135E1,1.125000045E-1,-4.556250000E1,-2.435625076E1
6.878174135E1,-5.250000358E-1,-4.700625229E1,-2.493750191E1
6.928174135E1,-8.437500596E-1,-4.905000305E1,-2.480625153E1
6.978174135E1,-8.812500238E-1,-5.113125229E1,-2.491875076E1
7.028174135E1,-7.500000000E-1,-5.308125305E1,-2.439375114E1
7.078174135E1,-8.625000119E-1,-5.460000229E1,-2.396250153E1
7.128174135E1,-8.625000119E-1,-5.490000153E1,-2.358750153E1
7.178174135E1,-5.625000000E-1,-5.486250305E1,-2.308125114E1
7.228174135E1,2.812500000E-1,-5.482500076E1,-2.167500114E1
7.278174135E1,1.125000000E0,-5.490000153E1,-1.983750153E1
7.328174135E1,1.743750095E0,-5.486250305E1,-1.800000000E1
7.378174135E1,2.362500191E0,-5.512500381E1,-1.650000000E1
7.428174135E1,2.793750048E0,-5.606250381E1,-1.625625038E1
7.478174135E1,3.487500191E0,-5.701875305E1,-1.706250000E1
7.528174135E1,4.443750381E0,-5.818125153E1,-1.972500038E1
7.578174135E1,4.987500191E0,-5.840625381E1,-2.190000153E1
7.628174135E1,5.362500191E0,-5.814375305E1,-2.461875153E1
7.678174135E1,5.456250191E0,-5.797500229E1,-2.741250038E1
7.728174135E1,5.568750381E0,-5.769375229E1,-3.067500114E1
7.778174135E1,5.662500381E0,-5.733750153E1,-3.360000229E1
7.828174135E1,5.512500286E0,-5.653125381E1,-3.549375153E1
7.878174135E1,4.912500381E0,-5.542500305E1,-3.675000000E1
7.928174135E1,3.600000143E0,-5.416875076E1,-3.680625153E1
7.978174135E1,2.175000191E0,-5.182500076E1,-3.826875305E1
8.028174153E1,1.443750024E0,-4.704375076E1,-4.166250229E1
8.078174153E1,1.818750024E0,-4.057500076E1,-4.680000305E1
8.128174153E1,1.800000072E0,-3.345000076E1,-5.272500229E1
8.178174153E1,8.437500596E-1,-2.626875114E1,-5.885625076E1
8.228174153E1,-5.625000000E-1,-1.908750153E1,-6.474375153E1
8.278174153E1,-2.437500000E0,-1.241250038E1,-7.031250000E1
8.328174153E1,-7.781250477E0,-7.087500095E0,-7.336875153E1
8.378174153E1,-1.755000114E1,2.493750095E0,-6.371250153E1
8.428174153E1,-2.895000076E1,1.196250057E1,-5.210625076E1
8.478174153E1,-4.155000305E1,1.968750000E1,-3.939375305E1
8.528174153E1,-5.283750153E1,2.730000114E1,-2.647500038E1
8.578174153E1,-6.298125076E1,3.406875229E1,-1.353750038E1
8.628174153E1,-7.140000153E1,4.003125000E1,-1.762500048E0
8.678174153E1,-7.968750000E1,4.406250000E1,8.025000572E0
8.728174153E1,-8.265000153E1,5.010000229E1,1.758750153E1
8.778174153E1,-7.893750000E1,4.944375229E1,1.385625076E1
8.828174153E1,-7.404375458E1,4.486875153E1,9.375000000E0
8.878174153E1,-6.915000153E1,4.061250305E1,5.418750286E0
8.928174153E1,-6.547500610E1,3.549375153E1,2.981250048E0
8.978174153E1,-6.180000305E1,3.172500038E1,8.812500238E-1
9.028174153E1,-5.925000381E1,2.881875038E1,4.500000179E-1
9.078174153E1,-5.544375229E1,2.833125114E1,1.631250024E0
9.128174153E1,-5.160000229E1,2.715000153E1,6.750000119E-1
9.178174153E1,-4.891875076E1,2.683125114E1,2.812500000E-1
9.228174153E1,-4.713750076E1,2.842500114E1,1.087500095E0
9.278174153E1,-4.569375229E1,2.986875153E1,1.856250048E0
9.328174153E1,-4.303125000E1,3.110625076E1,1.837500095E0
9.378174153E1,-4.156875229E1,3.251250076E1,1.500000000E0
9.428174153E1,-4.061250305E1,3.450000000E1,1.500000060E-1
9.478174153E1,-3.991875076E1,3.566250229E1,-8.812500238E-1
9.528174153E1,-3.980625153E1,3.671250153E1,-9.562500119E-1
9.578174153E1,-4.040625000E1,3.826875305E1,-9.187500477E-1
9.628174153E1,-4.093125153E1,3.946875000E1,-3.937500119E-1
9.678174153E1,-4.051875305E1,3.973125076E1,3.375000060E-1
9.728174153E1,-4.033125305E1,3.967500305E1,1.368750095E0
9.778174153E1,-3.961875153E1,3.926250076E1,3.187500238E0
9.828174153E1,-3.946875000E1,3.856875229E1,5.362500191E0
9.878174153E1,-4.057500076E1,3.830625153E1,7.218750477E0
9.928174153E1,-4.261875153E1,3.877500153E1,8.006250381E0
9.978174153E1,-4.411875153E1,3.870000076E1,9.356250763E0
1.002817415E2,-4.451250076E1,3.755625153E1,1.010625076E1
1.007817415E2,-4.353750229E1,3.455625153E1,1.065000057E1
1.012817415E2,-4.160625076E1,2.970000076E1,1.066875076E1
1.017817415E2,-3.875625229E1,2.413125038E1,9.356250763E0
1.022817415E2,-3.463125229E1,1.768125153E1,7.687500477E0
1.027817415E2,-2.958750153E1,1.068750000E1,6.187500477E0
1.032817415E2,-2.445000076E1,2.775000095E0,5.193750381E0
1.037817415E2,-2.004375076E1,-5.362500191E0,4.143750191E0
1.042817415E2,-1.599375057E1,-1.271250057E1,2.437500000E0
1.047817415E2,-1.372500038E1,-1.723125076E1,1.368750095E0
1.052817415E2,-1.288125038E1,-1.890000153E1,9.000000358E-1
1.057817415E2,-1.218750095E1,-1.987500000E1,1.106250048E0
1.062817415E2,-1.128750038E1,-2.008125114E1,9.375000596E-1
1.067817415E2,-1.029375076E1,-2.008125114E1,5.062500238E-1
1.072817415E2,-9.281250000E0,-1.968750000E1,8.437500596E-1
1.077817415E2,-8.100000381E0,-1.906875038E1,1.275000095E0
1.082817415E2,-7.050000191E0,-1.854375076E1,2.212500095E0
1.087817415E2,-5.493750095E0,-1.740000153E1,2.193750143E0
1.092817415E2,-2.662500143E0,-1.650000000E1,1.068750024E0
1.097817415E2,9.937500358E-1,-1.590000057E1,1.500000060E-1
1.102817415E2,5.606250286E0,-1.509375095E1,-1.087500095E0
1.107817415E2,1.095000076E1,-1.413750076E1,-2.025000095E0
1.112817415E2,1.635000038E1,-1.359375095E1,-4.387500286E0
1.117817415E2,2.182500076E1,-1.312500095E1,-7.125000477E0
1.122817415E2,2.701875114E1,-1.267500019E1,-9.506250381E0
1.127817415E2,3.178125191E1,-1.263750076E1,-1.241250038E1
1.132817415E2,3.555000305E1,-1.303125095E1,-1.374375057E1
1.137817415E2,3.751875305E1,-1.415625095E1,-1.447500038E1
1.142817415E2,3.843750000E1,-1.595625019E1,-1.430625057E1
1.147817415E2,3.898125076E1,-1.773750114E1,-1.327500057E1
1.152817415E2,4.245000076E1,-1.957500076E1,-1.301250076E1
1.157817415E2,4.843125153E1,-2.216250038E1,-1.308750057E1
1.162817415E2,5.570625305E1,-2.431875038E1,-1.404375076E1
1.167817415E2,6.367500305E1,-2.668125153E1,-1.515000057E1
1.172817415E2,7.141875458E1,-2.880000114E1,-1.760625076E1
1.177817415E2,8.010000610E1,-3.028125191E1,-2.120625114E1
1.182817415E2,8.808750153E1,-3.148125076E1,-2.473125076E1
1.187817415E2,9.474375153E1,-3.240000153E1,-2.844375038E1
1.192817415E2,9.862500763E1,-3.247500229E1,-3.052500153E1
1.197817415E2,9.995625305E1,-3.213750076E1,-3.050625038E1
1.202817415E2,9.534375000E1,-3.450000000E1,-2.818125153E1
1.207817415E2,8.773125458E1,-3.635625076E1,-2.621250153E1
1.212817415E2,7.876875305E1,-3.800625229E1,-2.379375076E1
1.217817415E2,6.828750610E1,-3.900000000E1,-2.060625076E1
1.222817415E2,5.806875229E1,-4.008750153E1,-1.672500038E1
1.227817415E2,4.914375305E1,-4.171875000E1,-1.321875095E1
1.232817415E2,4.040625000E1,-4.380000305E1,-1.083750057E1
1.237817415E2,3.140625191E1,-4.591875076E1,-9.637500763E0
1.242817415E2,2.664375114E1,-4.612500000E1,-9.412500381E0
1.247817415E2,2.441250038E1,-4.711875153E1,-7.912500381E0
1.252817415E2,2.465625191E1,-4.706250000E1,-7.462500095E0
1.257817415E2,2.775000191E1,-4.691250229E1,-6.675000191E0
1.262817415E2,3.058125114E1,-4.616250229E1,-6.243750095E0
1.267817415E2,3.309375000E1,-4.501875305E1,-6.243750095E0
1.272817415E2,3.519375229E1,-4.456875229E1,-5.268750191E0
1.277817415E2,3.624375153E1,-4.400625229E1,-4.537500381E0
1.282817415E2,3.819375229E1,-4.363125229E1,-4.987500191E0
1.287817415E2,4.035000229E1,-4.254375076E1,-4.387500286E0
1.292817415E2,4.230000305E1,-4.271250153E1,-3.206250191E0
1.297817415E2,4.391250229E1,-4.524375153E1,-3.525000095E0
1.302817415E2,4.700625229E1,-4.938750076E1,-4.368750095E0
1.307817415E2,4.978125381E1,-5.313750076E1,-4.425000191E0
1.312817415E2,5.334375381E1,-5.574375153E1,-5.418750286E0
1.317817415E2,5.758125305E1,-5.941875076E1,-6.243750095E0
1.322817415E2,6.000000381E1,-6.226875305E1,-6.375000477E0
1.327817415E2,5.836875153E1,-6.367500305E1,-6.093750477E0
1.332817415E2,5.251875305E1,-6.050625229E1,-3.243750095E0
1.337817415E2,4.503750229E1,-5.454375076E1,-8.250000477E-1
1.342817415E2,3.738750076E1,-4.876875305E1,2.362500191E0
1.347817415E2,2.941875076E1,-4.256250000E1,4.575000286E0
1.352817415E2,1.865625000E1,-3.626250076E1,6.543750286E0
1.357817415E2,8.325000763E0,-2.943750191E1,9.150000572E0
1.362817415E2,-8.625000119E-1,-2.212500000E1,1.284375095E1
1.367817415E2,-6.375000477E0,-1.588125038E1,1.470000076E1
1.372817415E2,-5.793750286E0,-1.580625057E1,1.466250038E1
1.377817415E2,-3.806250095E0,-1.903125000E1,1.492500019E1
1.382817415E2,-2.700000048E0,-2.175000000E1,1.381875038E1
1.387817415E2,-6.937500238E-1,-2.531250191E1,1.370625019E1
1.392817415E2,4.237500191E0,-3.052500153E1,1.434375095E1
1.397817415E2,9.618750572E0,-3.560625076E1,1.410000038E1
1.402817415E2,1.563750076E1,-4.113750076E1,1.203750038E1
1.407817415E2,2.066250038E1,-4.710000229E1,1.021875000E1
1.412817415E2,2.019375038E1,-4.963125229E1,9.712500572E0
1.417817415E2,1.708125114E1,-4.646250153E1,1.076250076E1
1.422817415E2,1.415625095E1,-4.121250153E1,1.245000076E1
1.427817415E2,1.108125019E1,-3.573750305E1,1.363125038E1
1.432817415E2,7.387500286E0,-2.925000191E1,1.451250076E1
1.437817415E2,3.450000048E0,-2.223750114E1,1.573125076E1
1.442817415E2,-9.750000238E-1,-1.571250057E1,1.764375114E1
1.447817415E2,-4.631250381E0,-9.656250000E0,1.976250076E1
1.452817415E2,-6.375000477E0,-4.162500381E0,1.980000114E1
1.457817415E2,-6.787500381E0,-1.931250095E0,1.858125114E1
1.462817415E2,-6.562500477E0,-1.237500072E0,1.775625038E1
1.467817415E2,-7.256250381E0,3.750000149E-2,1.756875038E1
