"Time (s)","Pressure (hPa)"
4.245941300E-1,1.010474365E3
9.245652760E-1,1.010468994E3
1.424592411E0,1.010406250E3
1.924564703E0,1.010441040E3
2.424582620E0,1.010457642E3
2.924562932E0,1.010446655E3
3.424584703E0,1.010446533E3
3.924567724E0,1.010433594E3
4.424583870E0,1.010432617E3
4.924562724E0,1.010441406E3
5.424584390E0,1.010447144E3
5.924563661E0,1.010463501E3
6.424584130E0,1.010478027E3
6.924562984E0,1.010473755E3
7.424583661E0,1.010482910E3
7.924570380E0,1.010485718E3
8.424577776E0,1.010480835E3
8.924576890E0,1.010510010E3
9.424565015E0,1.010515625E3
9.924568609E0,1.010510742E3
1.042457142E1,1.010509888E3
1.092456507E1,1.010497437E3
1.142459309E1,1.010489136E3
1.192456606E1,1.010476196E3
1.242459252E1,1.010462036E3
1.292456319E1,1.010470703E3
1.342459288E1,1.010469971E3
1.392457262E1,1.010462158E3
1.442457460E1,1.010457764E3
1.492456512E1,1.010453857E3
1.542458231E1,1.010455322E3
1.592457054E1,1.010461670E3
1.642459418E1,1.010460815E3
1.692456361E1,1.010453857E3
1.742459314E1,1.010457153E3
1.792574981E1,1.010470093E3
1.842457835E1,1.010514404E3
1.892456522E1,1.010496948E3
1.942459116E1,1.010501221E3
1.992456371E1,1.010484253E3
2.021468036E1,1.010467041E3
2.031469119E1,1.010467041E3
2.081469119E1,1.010747070E3
2.131469119E1,1.010306885E3
2.181469119E1,1.010620605E3
2.231469119E1,1.010401367E3
2.281469119E1,1.010357178E3
2.331469119E1,1.010442505E3
2.381469119E1,1.010536743E3
2.431469119E1,1.010504517E3
2.481469119E1,1.010490723E3
2.531469119E1,1.010506592E3
2.581469119E1,1.010497070E3
2.631469119E1,1.010505615E3
2.681469119E1,1.010508911E3
2.731469119E1,1.010492188E3
2.781469119E1,1.010487793E3
2.831469119E1,1.010498413E3
2.881469119E1,1.010506104E3
2.931469119E1,1.010483398E3
2.981469119E1,1.010458862E3
3.031469119E1,1.010480469E3
3.081469119E1,1.010467407E3
3.131469119E1,1.010464844E3
3.181469119E1,1.010474854E3
3.231469119E1,1.010489990E3
3.281469119E1,1.010489380E3
3.331469119E1,1.010484375E3
3.381469119E1,1.010494873E3
3.431469119E1,1.010494873E3
3.481469119E1,1.010493042E3
3.531469119E1,1.010485474E3
3.581469119E1,1.010471680E3
3.631469119E1,1.010482178E3
3.681469119E1,1.010487183E3
3.731469119E1,1.010493286E3
3.781469119E1,1.010485596E3
3.831469119E1,1.010488403E3
3.881469119E1,1.010497437E3
3.931469119E1,1.010500000E3
3.981469119E1,1.010505737E3
4.031469119E1,1.010489014E3
4.081469119E1,1.010499023E3
4.131469119E1,1.010517578E3
4.181469119E1,1.010506836E3
4.231469119E1,1.010512451E3
4.281469119E1,1.010509521E3
4.331469119E1,1.010510010E3
4.381469119E1,1.010504150E3
4.431469119E1,1.010501465E3
4.481469119E1,1.010535278E3
4.531469119E1,1.010520508E3
4.581469119E1,1.010487061E3
4.631469119E1,1.010464111E3
4.681469119E1,1.010489258E3
4.731469119E1,1.010497681E3
4.781469119E1,1.010486084E3
4.831469119E1,1.010502319E3
4.881469119E1,1.010504883E3
4.931469119E1,1.010506104E3
4.981469119E1,1.010510010E3
5.031469119E1,1.010508057E3
5.081469119E1,1.010511719E3
5.131469119E1,1.010488892E3
5.181469119E1,1.010521240E3
5.231469119E1,1.010493896E3
5.281469119E1,1.010508179E3
5.331469119E1,1.010477539E3
5.381469119E1,1.010506592E3
5.431469119E1,1.010506836E3
5.481469119E1,1.010509644E3
5.531469119E1,1.010498413E3
5.581469119E1,1.010515625E3
5.631469119E1,1.010557983E3
5.681469119E1,1.010537109E3
5.731469119E1,1.010551270E3
5.781469119E1,1.010571533E3
5.831469119E1,1.010539917E3
5.881469119E1,1.010551880E3
5.931469119E1,1.010561768E3
5.981469119E1,1.010587036E3
6.031469119E1,1.010558838E3
6.081469119E1,1.010589600E3
6.131469119E1,1.010602783E3
6.181469119E1,1.010603027E3
6.231469119E1,1.010619873E3
6.281469119E1,1.010618652E3
6.331469119E1,1.010639038E3
6.381469119E1,1.010630859E3
6.431469119E1,1.010638062E3
6.481469119E1,1.010658813E3
6.531469119E1,1.010684326E3
6.581469119E1,1.010661621E3
6.631469119E1,1.010678955E3
6.681469119E1,1.010679565E3
6.731469119E1,1.010694946E3
6.781469119E1,1.010701782E3
6.831469119E1,1.010731323E3
6.881469119E1,1.010736694E3
6.931469119E1,1.010759033E3
6.981469119E1,1.010779297E3
7.031469119E1,1.010769165E3
7.081469119E1,1.010801147E3
7.131469119E1,1.010802979E3
7.181469119E1,1.010817383E3
7.231469119E1,1.010824951E3
7.281469119E1,1.010852051E3
7.331469119E1,1.010855591E3
7.381469119E1,1.010876831E3
7.431469119E1,1.010871338E3
7.481469119E1,1.010885254E3
7.531469119E1,1.010901611E3
7.581469119E1,1.010918335E3
7.631469119E1,1.010931641E3
7.681469119E1,1.010950317E3
7.731469119E1,1.010947144E3
7.781469119E1,1.010973022E3
7.831469119E1,1.010985474E3
7.881469119E1,1.010996460E3
7.931469119E1,1.011010132E3
7.981469119E1,1.011021484E3
8.031469119E1,1.011051270E3
8.081469119E1,1.011039795E3
8.131469119E1,1.011068115E3
8.181469119E1,1.010913330E3
8.231469119E1,1.010974854E3
8.281469119E1,1.011044189E3
8.331469119E1,1.011302002E3
8.381469119E1,1.011124146E3
8.431469119E1,1.011083618E3
8.481469119E1,1.011210449E3
8.531469119E1,1.011199951E3
8.581469119E1,1.011215088E3
8.631469119E1,1.011241089E3
8.681469119E1,1.011576416E3
8.731469119E1,1.011345459E3
8.781469119E1,1.010615356E3
8.831469119E1,1.011385742E3
8.881469119E1,1.011306885E3
8.931469119E1,1.011363159E3
8.981469119E1,1.011241699E3
9.031469119E1,1.011134766E3
9.081469119E1,1.011202271E3
9.131469119E1,1.011332153E3
9.181469119E1,1.011325195E3
9.231469119E1,1.011330200E3
9.281469119E1,1.011319336E3
9.331469119E1,1.011345703E3
9.381469119E1,1.011364258E3
