"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.760908930E-1,-4.703658819E-2,-2.779434808E-2,-3.665188793E-3
7.802508930E-1,6.765327603E-2,-2.635881603E-1,-4.292852283E-1
1.284411362E0,3.065013885E-1,-2.165057421E0,7.119628787E-1
1.788572247E0,-1.417206228E-1,-3.587303460E-1,8.399390578E-1
2.292733393E0,-1.269071549E-1,8.613193035E-2,8.552107215E-2
2.796894695E0,-5.833758786E-2,-2.518289983E-1,1.545487940E-1
3.301056310E0,4.411970973E-1,-2.214384824E-1,-1.492037177E-1
3.805218289E0,8.445205539E-2,-9.162971983E-4,-9.896009415E-2
4.309380528E0,6.261364091E-3,-3.207040206E-2,-1.302669197E-1
4.813542976E0,-4.612028971E-2,-1.857028902E-1,-2.423606068E-1
5.317705737E0,-5.574141070E-2,6.246092543E-2,3.347539008E-1
5.821868705E0,1.059850380E-1,1.821904182E-1,4.520399496E-2
6.326031778E0,-1.140789986E-1,4.169152305E-2,5.849030241E-2
6.830195216E0,1.456912458E-1,-1.120936871E-1,-1.632536054E-1
7.334358757E0,-1.188132018E-1,-1.623373181E-1,-2.591593862E-1
7.838522612E0,1.020144150E-1,3.191768527E-1,-5.476402640E-1
8.342686882E0,8.368847519E-2,2.247982323E-1,1.704312712E-1
8.846851674E0,7.437278330E-2,-2.527453005E-1,9.682206810E-2
9.351016674E0,-1.553123742E-1,-2.958112657E-1,8.287907839E-1
9.855181987E0,-1.572976820E-2,4.199695215E-2,-1.536324918E-1
1.035934766E1,-8.857538924E-3,4.444041103E-2,-6.108647957E-2
1.086351370E1,-7.147117704E-2,2.229656465E-2,4.841103405E-2
1.136768011E1,6.597339362E-2,-3.115410358E-2,7.024944760E-3
1.187184678E1,-3.726275265E-2,1.114828233E-2,1.313359290E-2
1.237601370E1,-1.649334840E-2,1.527161949E-4,6.566796452E-3
1.288018048E1,-3.359756200E-3,-9.162971750E-3,1.282816008E-2
1.338434673E1,7.941242307E-3,-1.237001177E-2,2.153298259E-2
1.388851220E1,7.024944760E-3,-3.130681813E-2,-7.254019380E-2
1.439267683E1,2.076940238E-2,8.704823442E-3,5.436696485E-2
1.489684063E1,-3.222311661E-2,9.010255337E-3,-4.535670951E-2
1.540100370E1,2.275471389E-2,-6.719512399E-3,5.177079141E-2
1.590516594E1,-6.856957078E-2,5.299251899E-2,-1.153007299E-1
1.640932756E1,1.557705179E-2,-1.420260593E-2,5.757400393E-2
1.691348850E1,1.084284950E-2,-2.703076601E-2,-5.024362728E-2
1.741764897E1,6.047561392E-2,-3.497200832E-2,9.193515033E-2
1.792180881E1,-1.634063199E-2,1.298087649E-2,-2.382372692E-2
1.842596824E1,3.054323897E-4,-4.428769462E-3,1.542433538E-2
1.893012720E1,6.414080039E-3,-4.734201822E-3,-8.857538924E-3
1.943428589E1,2.214384824E-2,-5.803215317E-3,8.399390616E-3
1.993844412E1,1.771507785E-2,-8.552107029E-3,-3.817904973E-3
2.044260194E1,6.414080039E-3,1.343902480E-2,-1.359174121E-2
2.094675933E1,1.618791744E-2,-7.330377586E-3,7.635809598E-4
2.145091631E1,-8.093958721E-3,1.817322709E-2,-7.635809947E-3
2.195507292E1,-9.621120058E-3,2.015853859E-2,-1.191186346E-2
2.245922907E1,-2.703076601E-2,2.489273995E-2,-1.175914705E-2
2.296338480E1,-1.603520103E-2,2.153298259E-2,-1.542433538E-2
2.346754011E1,-6.032289565E-2,2.855792828E-2,3.207040019E-3
2.397169542E1,3.359756246E-2,-2.794706449E-2,2.031125315E-2
2.447585131E1,-2.000582218E-2,-1.069013379E-3,-6.566796452E-3
2.498000803E1,-2.886336111E-2,-7.024945319E-2,1.313359290E-2
2.548416537E1,-1.343902480E-2,1.725693047E-2,5.192350596E-3
2.598832339E1,-1.007926930E-2,-2.092211880E-2,6.139190868E-2
2.649248194E1,2.519817278E-2,-2.962694131E-2,2.244928107E-2
2.699664089E1,-1.527161989E-2,2.901607659E-3,-3.191768378E-2
2.750080016E1,3.390299529E-2,-6.719512399E-3,2.260199748E-2
2.800495980E1,-2.183841541E-2,2.061668597E-2,-3.115410358E-2
2.850911959E1,9.010255337E-3,-1.618791744E-2,3.817904973E-3
2.901327959E1,1.603520103E-2,-6.108647678E-3,-5.039634649E-3
2.951743964E1,6.811141968E-2,-2.657261863E-2,6.902772188E-2
3.002159970E1,-3.237583488E-2,2.657261863E-2,-4.352411628E-2
3.052575959E1,-5.345067009E-3,-1.404988952E-2,4.886918236E-3
3.102991944E1,-1.970038936E-2,3.054323897E-4,2.138026757E-3
3.153407923E1,-1.466075517E-2,-2.703076601E-2,-1.664606482E-2
3.203823902E1,1.970038936E-2,-6.566796452E-3,2.244928107E-2
3.254239860E1,-3.054323897E-4,-8.704823442E-3,-9.621120058E-3
3.304655808E1,2.076940238E-2,-1.832594397E-3,1.664606482E-2
3.355071746E1,7.330377586E-3,-1.114828233E-2,1.679878100E-3
3.405487662E1,1.817322709E-2,5.650499370E-3,4.886918236E-3
3.455903574E1,8.552107029E-3,-1.007926930E-2,-5.955931731E-3
3.506319490E1,1.007926930E-2,1.069013379E-3,-3.512472380E-3
3.556735412E1,7.024944760E-3,-2.138026757E-3,-7.024944760E-3
3.607151339E1,1.725693047E-2,6.261364091E-3,4.123337101E-3
3.657567261E1,1.572976820E-2,7.635809947E-3,6.108647794E-4
3.707983183E1,5.803215317E-3,3.054323839E-3,-1.572976820E-2
3.758399100E1,1.023198478E-2,8.857538924E-3,-2.596175298E-3
3.808816006E1,1.603520103E-2,-9.621120058E-3,6.414080039E-3
3.859230886E1,3.512472380E-3,-4.734201822E-3,-9.315688163E-3
3.909646772E1,-2.290742937E-3,-1.695149764E-2,-1.954767294E-2
3.960062652E1,2.351829410E-2,-1.389717404E-2,1.237001177E-2
4.010478516E1,-1.985310577E-3,-6.108647794E-4,-2.260199748E-2
4.060894347E1,2.031125315E-2,-1.878409274E-2,9.621120058E-3
4.111310196E1,1.542433538E-2,-9.926552884E-3,-1.527161949E-4
4.161726045E1,-3.054323897E-4,-7.941242307E-3,-1.038470119E-2
4.212141900E1,7.024944760E-3,-9.468403645E-3,-3.054323839E-3
4.262557754E1,1.404988952E-2,-1.069013379E-3,3.054323839E-3
4.312973624E1,4.123337101E-3,-6.414080039E-3,-9.621120058E-3
4.363389493E1,1.710421406E-2,-1.130099874E-2,8.246674202E-3
4.413805363E1,1.679878100E-3,-9.162971983E-4,-1.664606482E-2
4.464221233E1,1.084284950E-2,-1.481347065E-2,6.108647794E-4
4.514637097E1,1.053741761E-2,-2.290742937E-3,-3.207040019E-3
4.565052967E1,1.756236330E-2,-7.483093534E-3,9.162971750E-3
4.615468853E1,1.282816008E-2,2.138026757E-3,-1.420260593E-2
4.665884754E1,7.177661173E-3,-3.207040019E-3,4.734201822E-3
4.716300665E1,-2.138026757E-3,5.497782957E-3,-1.634063199E-2
4.766716571E1,1.069013402E-2,6.108647678E-3,1.679878100E-3
4.817132478E1,9.315688163E-3,-1.160643063E-2,-9.162971750E-3
4.867548374E1,2.229656465E-2,-7.330377586E-3,1.786779426E-2
4.917964264E1,-3.665188793E-3,2.321286127E-2,-3.955349326E-2
4.968380150E1,1.420260593E-2,-7.330377586E-3,1.649334840E-2
5.018796035E1,1.175914705E-2,-2.428187430E-2,-4.428769462E-3
5.069211905E1,-2.122755162E-2,5.955931731E-3,-7.987056673E-2
5.119627780E1,3.497200832E-2,-2.474002354E-2,3.252854943E-2
5.170043655E1,2.306014486E-2,-6.261363626E-2,1.359174121E-2
5.220459524E1,3.634645417E-2,-5.345067009E-3,1.282816008E-2
5.270875394E1,2.367101051E-2,2.367101051E-2,1.175914705E-2
5.321291269E1,-3.207040019E-3,-1.145371422E-2,-2.428187430E-2
5.371707155E1,7.635809947E-3,-2.596175298E-3,-2.153298259E-2
5.422123045E1,-1.191186346E-2,1.603520103E-2,-2.535088919E-2
5.472538936E1,1.924224012E-2,-2.596175298E-3,7.941242307E-3
5.522954816E1,1.878409274E-2,1.649334840E-2,5.955931731E-3
5.573370691E1,1.924224012E-2,5.009091273E-2,-1.985310577E-2
5.623786582E1,1.084284950E-2,-1.206457894E-2,2.229656465E-2
5.674202504E1,1.664606482E-2,-5.650499370E-3,5.070177838E-2
5.724618457E1,-2.641990222E-2,3.084867075E-2,-8.720094711E-2
5.775034441E1,2.657261863E-2,-1.374445762E-2,4.276053514E-3
5.825450462E1,8.857538924E-3,9.468403645E-3,-1.404988952E-2
5.875866514E1,3.054323979E-2,-1.527161989E-2,2.932151034E-2
5.926282566E1,1.954767294E-2,-9.926552884E-3,2.382372692E-2
5.976698613E1,-1.374445762E-2,-9.162971983E-4,-4.153880477E-2
6.027114650E1,3.680460155E-2,-1.527161989E-2,7.803797722E-2
6.077530676E1,-5.314523727E-2,9.728021920E-2,-9.392046183E-2
6.127946702E1,6.185005978E-2,1.655443609E-1,-1.924224012E-2
6.178362728E1,-4.581485689E-2,1.863137633E-2,-6.582067907E-2
6.228778754E1,-4.001164436E-2,-9.132428467E-2,3.283398226E-2
6.279194780E1,-4.749473557E-2,1.690568328E-1,-7.101303339E-2
6.329610806E1,-3.008509055E-2,1.206457894E-2,-4.260781780E-2
6.380026806E1,5.757400393E-2,-2.932151034E-2,1.081230640E-1
6.430442774E1,2.596175298E-3,4.657844082E-2,9.162971750E-3
6.480858702E1,1.069013379E-3,2.565632015E-2,-2.580903657E-2
6.531274592E1,-1.374445739E-3,1.099556591E-2,3.573558852E-2
6.581690457E1,1.374445739E-3,-4.886918236E-3,-1.328630932E-2
6.632106274E1,-2.535088919E-2,4.871646687E-2,3.268126398E-2
6.682522045E1,2.046396956E-2,4.734201822E-3,6.841685623E-2
6.732937759E1,1.389717404E-2,9.773836471E-3,-4.062250629E-2
6.783353415E1,3.207040019E-3,-8.399390616E-3,2.565632015E-2
6.833769019E1,3.207040019E-3,8.704823442E-3,-3.145953640E-2
6.884184587E1,1.069013379E-3,-4.581485875E-3,2.718348242E-2
6.934600129E1,-3.970621154E-3,2.443459118E-3,-2.153298259E-2
6.985015650E1,-1.527161949E-4,-1.832594397E-3,1.099556591E-2
7.035431134E1,3.817904973E-3,4.886918236E-3,-1.908952370E-2
7.085846592E1,-1.527161949E-4,-2.138026757E-3,3.023780696E-2
7.136262035E1,1.374445739E-3,1.053741761E-2,-2.626718581E-2
7.186677462E1,-2.687804960E-2,3.665188793E-3,5.497782957E-3
7.237092868E1,-2.290742844E-2,1.802051067E-2,-2.840521187E-2
7.287508254E1,-3.787361458E-2,-3.207040206E-2,1.878409274E-2
7.337923618E1,-1.359174121E-2,2.321286127E-2,-2.290742844E-2
7.388338967E1,-2.901607752E-2,1.175914705E-2,4.428769462E-3
7.438754301E1,-2.657261863E-2,5.039634649E-3,1.114828233E-2
7.489169624E1,-2.397644334E-2,-3.054323897E-4,-6.872228812E-3
7.539584941E1,-2.107483521E-2,6.108647678E-3,-2.443459118E-3
7.590000301E1,-3.344484791E-2,9.162971983E-4,9.162971983E-4
7.640415743E1,-2.229656465E-2,2.748891478E-3,-1.221729559E-3
7.690831269E1,-2.916879393E-2,-2.977965772E-2,-3.955349326E-2
7.741246879E1,-2.794706449E-2,3.970621154E-2,2.916879393E-2
7.791662587E1,-4.627300799E-2,-2.825249545E-2,-4.550942779E-2
7.842078384E1,4.413498193E-2,4.673115537E-2,-6.872228533E-2
7.892494264E1,7.941242307E-3,4.245510325E-2,-4.841103405E-2
7.942910202E1,-2.367101051E-2,1.771507785E-2,-1.374445739E-3
7.993326170E1,-2.794706449E-2,2.901607659E-3,5.803215317E-3
8.043742165E1,-2.993237413E-2,-2.290742937E-3,9.621120058E-3
8.094158186E1,-2.748891478E-3,-2.962694131E-2,1.792888194E-1
8.144574254E1,-3.145953640E-2,4.108065739E-2,-4.780016840E-2
8.194990436E1,-2.061668597E-2,-5.467239767E-2,-2.031125315E-2
8.245406785E1,-5.177079141E-2,7.727439702E-2,-4.123337194E-2
