"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.452931702E-1,7.927417755E-3,-1.655864716E-2
1.950177160E-1,-1.401986778E-1,6.852769852E-2,3.267765045E-2
6.950177160E-1,-2.738873363E-1,1.907444000E-2,-2.647399902E-3
1.195017716E0,4.004236162E-1,-3.867678642E-1,3.675527573E-1
1.695017716E0,-2.521773338E0,4.045036316E0,1.618078232E0
2.195017716E0,2.394065857E-1,5.052032471E-1,1.498632908E0
2.695017716E0,1.821632385E-1,-1.749000549E-1,1.077263355E-1
3.195017716E0,4.173183441E-2,1.603345871E-1,1.325762033E0
3.695017716E0,-1.446142197E-1,-1.172889709E0,-1.253389567E-1
4.195017716E0,3.193759918E-2,-2.623301148E-1,-7.462385297E-1
4.695017716E0,6.274700165E-2,-5.044946074E-1,1.044737399E-1
5.195017716E0,-5.168056488E-2,-1.158057079E-1,-5.975483358E-2
5.695017716E0,-3.541240692E-1,7.295009494E-1,-1.455383182E0
6.195017716E0,2.305946350E-1,2.194387913E-1,-2.367301583E-1
6.695017716E0,4.026956558E-1,-1.988593340E-1,-3.258132935E-2
7.195017716E0,8.843517303E-2,-1.489680409E-1,-2.888168693E-1
7.695017716E0,8.150262833E-1,-1.989639044E0,-1.349968076E0
8.195017716E0,-4.243373871E-2,-3.738145828E-1,-1.468930364E0
8.695017716E0,-1.801509857E-1,9.744331837E-1,-2.397706509E-1
9.195017716E0,-2.181072235E-1,4.347816706E-1,6.310868263E-1
9.695017716E0,9.870386124E-1,-2.915751934E-1,9.932756424E-1
1.019501772E1,-2.153501511E-1,-6.085253358E-1,-5.522131920E-1
1.069501772E1,4.842090607E-2,5.696527362E-1,-1.466299593E-1
1.119501772E1,2.099990845E-2,1.067483425E-2,-1.595157385E-2
1.169501772E1,-8.611679077E-4,3.854453564E-2,-2.188360691E-2
1.219501772E1,-1.720237732E-2,7.294273376E-2,-5.007505417E-3
1.269501772E1,5.303192139E-2,-8.332073689E-2,-3.428512812E-2
1.319501772E1,8.270835876E-2,-3.244483471E-2,-5.290508270E-2
1.369501772E1,-2.049732208E-2,3.484857082E-2,6.047666073E-3
1.419501772E1,1.633729935E-1,-1.120568514E-1,1.518437266E-1
1.469501772E1,5.557537079E-2,1.961966753E-1,-1.364643574E-1
1.519501772E1,1.074790955E-1,1.248554587E-1,-9.329330921E-2
1.569501772E1,-6.484508514E-2,1.902794838E-2,2.929902077E-2
1.619501772E1,2.448940277E-2,1.468097568E-1,-1.540285349E-1
1.669501772E1,-8.390331268E-2,1.544399858E-1,1.355741620E-1
1.719501772E1,-1.338758469E-1,4.124720395E-1,1.480706930E-1
1.769501772E1,3.099403381E-1,-3.110916615E-1,-3.103947043E-1
1.819501772E1,2.613840103E-1,-1.270401478E-1,-1.923235655E-1
1.869501772E1,-2.149553299E-1,-3.286790848E-2,-4.575097561E-2
1.919501772E1,-1.385955811E-1,-1.050409079E-1,-3.064644337E-2
1.969501772E1,-2.610397339E-2,2.275109291E-2,-9.452581406E-3
2.019501772E1,-1.068086624E-1,-2.041856050E-1,-1.388478279E-2
2.069501772E1,1.056032181E-1,3.769886494E-2,-8.081376553E-2
2.119501772E1,3.110980988E-2,-1.419880390E-1,-3.796303272E-2
2.169501772E1,8.209323883E-2,1.906065941E-1,-2.809619904E-2
2.219501772E1,1.011238098E-1,1.155341864E-1,-1.143383980E-2
2.269501772E1,-4.979133606E-2,1.197540760E-2,-4.382258654E-2
2.319501772E1,-3.769397736E-2,1.813880801E-1,8.265966177E-2
2.369501772E1,-7.250118256E-2,7.918131351E-2,-5.700016022E-2
2.419501772E1,-3.576946259E-2,5.943405628E-2,1.592099667E-3
2.469501772E1,-2.540683746E-2,-4.885202646E-2,-2.467614412E-2
2.519501772E1,-6.380081177E-3,7.503914833E-2,1.781272888E-2
2.569501772E1,-1.566352844E-1,-1.447885036E-1,-9.894039631E-1
2.619501772E1,-3.317546844E-2,1.003124714E-1,-3.766832352E-1
2.669501772E1,-1.518430710E-1,-1.626037359E-1,-6.954050064E-2
2.719501772E1,1.496114731E-1,-2.577983141E-1,-1.617156267E-1
2.769501772E1,3.930654526E-1,-1.141012907E-1,-8.793246746E-2
2.819501772E1,6.047630310E-2,9.425401688E-3,-1.454435587E-1
2.869501772E1,9.963798523E-2,-1.479685307E-2,4.514563084E-2
2.919501772E1,1.894950867E-3,2.681529522E-2,-3.154408932E-2
