"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.926114140E-1,1.481250048E0,-2.010000038E1,-7.096875000E1
7.926114140E-1,-8.625000119E-1,-2.070000076E1,-7.320000458E1
1.292611414E0,-1.644375038E1,-2.493750191E1,-6.742500305E1
1.792611414E0,-3.538125229E1,-1.288125038E1,-5.523750305E1
2.292611414E0,-4.631250000E1,-2.081250191E0,-4.552500153E1
2.792611414E0,-5.341875076E1,6.787500381E0,-3.855000305E1
3.292611414E0,-5.913750076E1,1.438125038E1,-3.110625076E1
3.792611414E0,-6.496875000E1,1.998750114E1,-2.542500114E1
4.292611414E0,-7.993125153E1,2.990625191E1,-1.500000095E1
4.792611414E0,-9.650625610E1,3.866250229E1,-3.450000048E0
5.292611414E0,-1.083375015E2,4.891875076E1,7.387500286E0
5.792611414E0,-1.145625076E2,5.437500381E1,1.194375038E1
6.292611414E0,-1.211812515E2,5.829375076E1,1.383750057E1
6.792611414E0,-1.283250122E2,6.142500305E1,1.545000076E1
7.292611414E0,-1.365937500E2,6.331875229E1,1.631250000E1
7.792611414E0,-1.458187561E2,5.844375229E1,1.708125114E1
8.292611414E0,-1.539937592E2,5.036250305E1,1.515000057E1
8.792611414E0,-1.604812622E2,4.640625000E1,1.246875095E1
9.292611414E0,-1.658625031E2,4.783125305E1,1.312500095E1
9.792611414E0,-1.736625061E2,5.062500381E1,1.824375153E1
1.029261141E1,-1.840312500E2,4.730625153E1,2.540625191E1
1.079261141E1,-1.910812531E2,4.807500076E1,3.105000114E1
1.129261141E1,-1.965750122E2,5.086875153E1,3.630000305E1
1.179261141E1,-2.005312653E2,6.138750076E1,4.207500076E1
1.229261141E1,-2.005875092E2,7.837500000E1,4.820625305E1
1.279261141E1,-1.950562592E2,9.416250610E1,5.338125229E1
1.329261141E1,-1.791000061E2,1.148812561E2,4.640625000E1
1.379261141E1,-1.575937500E2,1.335750122E2,2.911875153E1
1.429261141E1,-1.434750061E2,1.319812622E2,2.126250076E1
1.479261141E1,-1.342312622E2,1.129500046E2,1.785000038E1
1.529261141E1,-1.282687531E2,8.666250610E1,1.627500153E1
1.579261141E1,-1.312500000E2,4.995000076E1,1.933125114E1
1.629261141E1,-1.310437622E2,1.149375057E1,2.220000076E1
1.679261141E1,-1.297687531E2,-1.888125038E1,2.456250191E1
1.729261141E1,-1.393312531E2,-5.636250305E1,3.476250076E1
1.779261141E1,-1.406437531E2,-8.370000458E1,4.670625305E1
1.829261141E1,-1.317000122E2,-8.107500458E1,4.798125076E1
1.879261141E1,-1.167937546E2,-6.187500381E1,4.423125076E1
1.929261141E1,-1.035375061E2,-4.005000305E1,3.903750229E1
1.979261141E1,-9.159375000E1,-2.257500076E1,3.343125153E1
2.029261141E1,-8.883750153E1,-1.134375000E1,3.223125076E1
2.079261141E1,-1.020000076E2,-2.060625076E1,3.731250000E1
2.129261141E1,-1.035375061E2,-2.583750153E1,3.789375305E1
2.179261141E1,-1.119375076E2,-3.682500076E1,4.220625305E1
2.229261141E1,-1.116562576E2,-4.398750305E1,4.320000076E1
2.279261141E1,-1.146750031E2,-5.081250381E1,4.546875000E1
2.329261141E1,-1.119562531E2,-5.283750153E1,4.569375229E1
2.379261141E1,-9.686250305E1,-3.826875305E1,4.091250229E1
2.429261141E1,-7.792500305E1,-1.706250000E1,3.435000229E1
2.479261141E1,-4.809375381E1,1.608750153E1,2.253750038E1
2.529261141E1,-3.354375076E1,3.579375076E1,1.404375076E1
2.579261141E1,-2.482500076E1,4.580625153E1,7.650000095E0
2.629261141E1,-2.456250191E1,4.713750076E1,4.837500095E0
2.679261141E1,-2.520000076E1,4.453125000E1,2.962500095E0
2.729261141E1,-2.741250038E1,3.965625000E1,1.762500048E0
2.779261141E1,-3.076875114E1,3.219375229E1,7.500000000E-1
2.829261141E1,-3.558750153E1,2.274375153E1,3.750000149E-2
2.879261141E1,-4.141875076E1,1.233750057E1,-3.375000060E-1
2.929261141E1,-4.335000229E1,8.306250572E0,5.625000224E-2
2.979261141E1,-4.417500305E1,7.800000191E0,4.312500060E-1
3.029261141E1,-4.531875229E1,8.081250191E0,4.500000179E-1
3.079261141E1,-4.606875229E1,7.893750191E0,3.937500119E-1
3.129261141E1,-4.608750153E1,7.893750191E0,6.000000238E-1
3.179261141E1,-4.640625000E1,7.462500095E0,9.937500358E-1
3.229261141E1,-4.674375153E1,7.406250477E0,1.218750000E0
3.279261141E1,-4.646250153E1,6.843750477E0,1.537500024E0
3.329261141E1,-4.610625076E1,6.318750381E0,1.443750024E0
3.379261141E1,-4.558125305E1,6.093750477E0,1.218750000E0
3.429261141E1,-4.498125076E1,5.587500095E0,1.406250000E0
3.479261141E1,-4.458750153E1,5.268750191E0,1.481250048E0
3.529261141E1,-4.434375000E1,4.987500191E0,1.518750072E0
3.579261141E1,-4.376250076E1,4.837500095E0,1.256250024E0
3.629261141E1,-4.288125229E1,4.687500000E0,1.087500095E0
3.679261141E1,-4.269375229E1,4.800000191E0,1.031250000E0
3.729261141E1,-4.284375000E1,4.762500286E0,1.162500024E0
3.779261141E1,-4.342500305E1,4.256250381E0,1.818750024E0
3.829261141E1,-4.501875305E1,3.675000191E0,2.156250000E0
3.879261141E1,-4.633125305E1,3.075000048E0,1.725000024E0
3.929261141E1,-4.676250076E1,2.512500048E0,1.068750024E0
3.979261141E1,-4.685625076E1,1.968750119E0,6.562500000E-1
4.029261124E1,-4.651875305E1,1.143750072E0,3.750000149E-2
4.079261124E1,-4.612500000E1,3.187500238E-1,-3.375000060E-1
4.129261124E1,-4.620000076E1,-3.000000119E-1,-3.562500179E-1
4.179261124E1,-4.603125000E1,-6.187500358E-1,-8.437500596E-1
4.229261124E1,-4.488750076E1,-5.250000358E-1,-1.031250000E0
4.279261124E1,-4.391250229E1,-1.500000060E-1,-3.375000060E-1
4.329261124E1,-4.357500076E1,2.250000089E-1,2.250000089E-1
4.379261124E1,-4.363125229E1,8.812500238E-1,7.500000000E-1
4.429261124E1,-4.426875305E1,1.443750024E0,1.443750024E0
4.479261124E1,-4.481250000E1,1.818750024E0,1.593750119E0
4.529261124E1,-4.481250000E1,2.025000095E0,1.143750072E0
4.579261124E1,-4.471875000E1,2.175000191E0,1.106250048E0
4.629261124E1,-4.471875000E1,2.193750143E0,1.387500048E0
4.679261124E1,-4.494375229E1,2.268750191E0,1.537500024E0
4.729261124E1,-4.513125229E1,2.250000000E0,1.856250048E0
4.779261124E1,-4.515000153E1,2.100000143E0,2.531250000E0
4.829261124E1,-4.584375000E1,2.231250048E0,2.943750143E0
4.879261124E1,-4.635000229E1,2.287500143E0,2.868750095E0
