"Time (s)","Pressure (hPa)"
4.381324550E-1,1.010142578E3
9.381292260E-1,1.010057373E3
1.438131570E0,1.010015259E3
1.938103601E0,1.010086182E3
2.438131362E0,1.010038818E3
2.938134591E0,1.010082520E3
3.438132091E0,1.010130127E3
3.938103966E0,1.010106079E3
4.438121987E0,1.010125488E3
4.938122924E0,1.010113037E3
5.438131935E0,1.010049927E3
5.938104070E0,1.009983643E3
6.438130580E0,1.010017578E3
6.938115476E0,1.010083740E3
7.438137091E0,1.010085327E3
7.938104695E0,1.010083984E3
8.438132455E0,1.010057617E3
8.938121726E0,1.010143677E3
9.438131674E0,1.010156982E3
9.938105007E0,1.010128784E3
1.043813167E1,1.010083130E3
1.093812053E1,1.010070679E3
1.143813251E1,1.010030029E3
1.193810470E1,1.010079834E3
1.243813121E1,1.010088135E3
1.293812188E1,1.010100098E3
1.343813173E1,1.010119385E3
1.393810350E1,1.010146240E3
1.443814876E1,1.010158447E3
1.493814141E1,1.010153931E3
1.543811694E1,1.010154907E3
1.593810412E1,1.010170532E3
1.643813089E1,1.010189575E3
1.693811772E1,1.010178955E3
1.743812886E1,1.010293823E3
1.793810490E1,1.010205200E3
1.843813178E1,1.010241699E3
1.893811319E1,1.010254395E3
1.943813199E1,1.010263062E3
1.993810475E1,1.010289673E3
2.020366225E1,1.010300781E3
2.030363141E1,1.010304443E3
2.080363141E1,1.010331299E3
2.130363141E1,1.010362793E3
2.180363141E1,1.010363037E3
2.230363141E1,1.010346924E3
2.280363141E1,1.010362061E3
2.330363141E1,1.010342773E3
2.380363141E1,1.010402100E3
2.430363141E1,1.010375244E3
2.480363141E1,1.010413940E3
2.530363141E1,1.010387085E3
2.580363141E1,1.010485229E3
2.630363141E1,1.010585083E3
2.680363141E1,1.010602783E3
2.730363141E1,1.010607422E3
2.780363141E1,1.010610352E3
2.830363141E1,1.010619507E3
2.880363141E1,1.010615112E3
2.930363141E1,1.010603394E3
2.980363141E1,1.010616455E3
3.030363141E1,1.010617310E3
3.080363141E1,1.010647705E3
3.130363141E1,1.010630859E3
3.180363141E1,1.010635254E3
3.230363141E1,1.010654663E3
3.280363141E1,1.010632202E3
3.330363141E1,1.010646118E3
3.380363141E1,1.010646606E3
3.430363141E1,1.010662476E3
3.480363141E1,1.010664429E3
3.530363141E1,1.010670776E3
3.580363141E1,1.010664185E3
3.630363141E1,1.010659180E3
3.680363141E1,1.010648804E3
3.730363141E1,1.010644043E3
3.780363141E1,1.010646973E3
3.830363141E1,1.010626831E3
3.880363141E1,1.010619751E3
3.930363141E1,1.010632568E3
3.980363141E1,1.010627563E3
4.030363141E1,1.010610596E3
4.080363141E1,1.010624268E3
4.130363141E1,1.010619873E3
4.180363141E1,1.010633301E3
4.230363141E1,1.010640381E3
4.280363141E1,1.010638794E3
4.330363141E1,1.010653931E3
4.380363141E1,1.010658447E3
4.430363141E1,1.010660400E3
4.480363141E1,1.010695068E3
4.530363141E1,1.010704712E3
4.580363141E1,1.010734009E3
4.630363141E1,1.010772217E3
4.680363141E1,1.010798584E3
4.730363141E1,1.010807861E3
4.780363141E1,1.010836670E3
4.830363141E1,1.010869141E3
4.880363141E1,1.010923462E3
4.930363141E1,1.010944458E3
4.980363141E1,1.011005615E3
5.030363141E1,1.011032959E3
5.080363141E1,1.011076050E3
5.130363141E1,1.011134644E3
5.180363141E1,1.011174194E3
5.230363141E1,1.011223999E3
5.280363141E1,1.011327393E3
5.330363141E1,1.011379883E3
5.380363141E1,1.011417603E3
5.430363141E1,1.011455566E3
5.480363141E1,1.011483765E3
5.530363141E1,1.011508179E3
5.580363141E1,1.011526001E3
5.630363141E1,1.011500488E3
5.680363141E1,1.011465088E3
5.730363141E1,1.011492554E3
5.780363141E1,1.011514160E3
5.830363141E1,1.011511230E3
5.880363141E1,1.011515747E3
5.930363141E1,1.011536255E3
5.980363141E1,1.011529175E3
6.030363141E1,1.011523682E3
6.080363141E1,1.011527832E3
6.130363141E1,1.011581055E3
6.180363141E1,1.011552002E3
6.230363141E1,1.011464600E3
6.280363141E1,1.011496216E3
6.330363141E1,1.011552490E3
6.380363141E1,1.011562988E3
6.430363141E1,1.011550049E3
6.480363141E1,1.011567505E3
6.530363141E1,1.011557251E3
6.580363141E1,1.011581543E3
6.630363141E1,1.011581665E3
6.680363141E1,1.011605103E3
6.730363141E1,1.011560913E3
6.780363141E1,1.011578491E3
6.830363141E1,1.011582764E3
6.880363141E1,1.011580688E3
6.930363141E1,1.011582520E3
6.980363141E1,1.011595459E3
7.030363141E1,1.011586914E3
7.080363141E1,1.011590454E3
7.130363141E1,1.011603516E3
7.180363141E1,1.011595947E3
7.230363141E1,1.011600952E3
7.280363141E1,1.011635864E3
7.330363141E1,1.011632446E3
7.380363141E1,1.011646362E3
7.430363141E1,1.011643555E3
7.480363141E1,1.011703125E3
7.530363141E1,1.011723389E3
7.580363141E1,1.011723022E3
7.630363141E1,1.011716431E3
7.680363141E1,1.011740723E3
7.730363141E1,1.011770264E3
7.780363141E1,1.011797363E3
7.830363141E1,1.011784668E3
7.880363141E1,1.011800293E3
7.930363141E1,1.011812378E3
7.980363141E1,1.011817139E3
8.030363141E1,1.011807617E3
8.080363141E1,1.011775391E3
8.130363141E1,1.011933594E3
8.180363141E1,1.011812500E3
8.230363141E1,1.011862305E3
8.280363141E1,1.011858521E3
8.330363141E1,1.011861206E3
8.380363141E1,1.011812744E3
8.430363141E1,1.011795654E3
8.480363141E1,1.011804810E3
8.530363141E1,1.011758057E3
8.580363141E1,1.011749634E3
8.630363141E1,1.011745361E3
8.680363141E1,1.011755615E3
8.730363141E1,1.011746338E3
8.780363141E1,1.011752197E3
8.830363141E1,1.011754150E3
8.880363141E1,1.011771240E3
8.930363141E1,1.011782227E3
8.980363141E1,1.011774048E3
9.030363141E1,1.011759277E3
9.080363141E1,1.011757935E3
9.130363141E1,1.011760254E3
9.180363141E1,1.011787842E3
9.230363141E1,1.011774536E3
9.280363141E1,1.011893066E3
9.330363141E1,1.011758301E3
9.380363141E1,1.011772339E3
9.430363141E1,1.011843750E3
9.480363141E1,1.011880249E3
9.530363141E1,1.011883911E3
9.580363141E1,1.011862305E3
9.630363141E1,1.011887695E3
9.680363141E1,1.011811157E3
9.730363141E1,1.011740356E3
9.780363141E1,1.011738159E3
9.830363141E1,1.011759644E3
9.880363141E1,1.011789551E3
9.930363141E1,1.011673950E3
9.980363141E1,1.011673096E3
1.003036314E2,1.011642822E3
1.008036314E2,1.011831543E3
1.013036314E2,1.011896484E3
1.018036314E2,1.011896484E3
1.023036314E2,1.011896484E3
1.028036314E2,1.011896484E3
1.033036314E2,1.011896484E3
1.038036314E2,1.011896484E3
1.043036314E2,1.011896484E3
1.048036314E2,1.011896484E3
