"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.610640000E-4,6.077769399E-1,5.306084156E0,8.760722160E0
2.196325200E-2,4.677968323E-1,5.281557560E0,8.420941353E0
5.219632520E-1,1.591227055E-1,5.650650501E0,8.096115112E0
1.021963252E0,9.762716293E-1,5.248058319E0,9.059226990E0
1.521963252E0,7.178468257E-2,4.895715237E0,8.535796165E0
2.021963252E0,1.148554832E-1,4.767699242E0,8.595019341E0
2.521963252E0,-6.717849374E-1,4.932205677E0,8.029116631E0
3.021963252E0,9.726824164E-1,5.256433010E0,8.687142372E0
3.521963252E0,5.371887088E-1,5.178068161E0,8.275577545E0
4.021963252E0,-8.494520187E-2,5.423930645E0,7.934599876E0
4.521963252E0,-6.191428304E-1,5.066802025E0,8.564510345E0
5.021963252E0,-8.452646136E-1,4.729413986E0,7.961519241E0
5.521963252E0,-1.501496136E-1,4.677370071E0,8.732007980E0
6.021963252E0,-1.064806059E-1,4.784449100E0,8.611170769E0
6.521963252E0,-7.357929647E-2,5.085346222E0,8.414958954E0
7.021963252E0,2.709871531E-1,5.134997368E0,7.923832417E0
7.521963252E0,8.745766878E-1,5.353342533E0,8.228319168E0
8.021963252E0,1.131206870E0,5.227719307E0,8.257032394E0
8.521963252E0,2.215753794E0,5.057230473E0,9.317651749E0
9.021963252E0,2.356332064E0,4.893920422E0,8.404789925E0
9.521963252E0,2.298306227E0,4.867001057E0,7.559525013E0
1.002196325E1,2.495115757E0,4.587639332E0,8.446663857E0
1.052196325E1,2.388036966E0,4.459024906E0,8.831310272E0
1.102196325E1,2.461018085E0,5.007579803E0,8.047660828E0
1.152196325E1,2.085345030E0,4.287938118E0,8.325826645E0
1.202196325E1,2.241476536E0,3.884149313E0,8.461020470E0
1.252196325E1,2.173879385E0,3.951148272E0,9.428917885E0
1.302196325E1,2.174477577E0,3.547957659E0,8.501100540E0
1.352196325E1,2.367099762E0,3.868596077E0,8.885746956E0
1.402196325E1,2.314457655E0,3.619144201E0,9.028717995E0
1.452196325E1,2.054238319E0,3.169293642E0,9.185447693E0
1.502196325E1,2.092523336E0,3.761517286E0,8.590232849E0
1.552196325E1,2.123031855E0,3.568894863E0,8.981459618E0
1.602196325E1,2.273181438E0,3.573082447E0,9.067601204E0
1.652196325E1,-1.121635556E0,3.552145243E0,9.089735031E0
1.702196325E1,3.290131092E-1,3.353540897E0,9.328418732E0
1.752196325E1,-1.465603858E-1,3.247658491E0,9.493523598E0
1.802196325E1,-2.009970993E-1,2.927618504E0,9.555737495E0
1.852196325E1,-5.264209956E-2,2.847458839E0,9.543772697E0
1.902196325E1,3.433700502E-1,2.819941521E0,9.375079155E0
1.952196325E1,5.724828243E-1,2.781656265E0,9.384650230E0
2.002196325E1,5.569294691E-1,2.761317253E0,9.392427444E0
2.052196325E1,5.515456200E-1,2.752942562E0,9.403793335E0
2.102196325E1,4.845465720E-1,2.645265341E0,9.432506561E0
2.152196325E1,3.906283081E-1,2.641676188E0,9.349954605E0
2.202196325E1,6.520441920E-2,2.513660192E0,9.598209381E0
2.252196325E1,4.187439755E-2,2.490330219E0,9.414560318E0
2.302196325E1,4.564309120E-1,2.710469961E0,9.400801659E0
2.352196325E1,3.475574851E-1,2.627319336E0,9.485149384E0
2.402196325E1,3.379862010E-1,2.699103832E0,9.318847656E0
2.452196325E1,4.336991012E-1,2.748156786E0,9.309874535E0
2.502196325E1,2.488535494E-1,2.657827854E0,9.568299294E0
2.552196325E1,5.347958803E-1,2.834298372E0,9.247062683E0
2.602196325E1,6.412764788E-1,2.778665304E0,9.372088432E0
2.652196325E1,8.482556343E-1,3.219542980E0,9.182456970E0
2.702196325E1,8.123632669E-1,3.200400352E0,9.187242508E0
2.752196325E1,6.526423693E-1,3.148954630E0,9.497711182E0
2.802196325E1,5.611169338E-1,3.080160856E0,9.404989243E0
2.852196325E1,4.498506486E-1,3.105883837E0,9.438488960E0
2.902196325E1,4.181457460E-1,3.091526747E0,9.204590797E0
2.952196325E1,3.912265003E-1,2.944966555E0,9.529416084E0
3.002196325E1,5.108676553E-1,3.096312523E0,9.235098839E0
3.052196325E1,3.702892959E-1,2.955734253E0,9.373284340E0
3.102196325E1,4.259224236E-1,2.925225735E0,9.722636223E0
3.152196325E1,3.828516304E-1,3.008376360E0,9.486345291E0
3.202196325E1,2.805584669E-1,2.931805849E0,9.839286804E0
3.252196325E1,3.511467278E-1,3.104089260E0,9.108279228E0
3.302196325E1,5.994020700E-1,3.043670416E0,8.639286041E0
3.352196325E1,2.787638307E-1,3.059821844E0,9.162715912E0
3.402196325E1,1.136590764E-1,2.951546669E0,9.379864693E0
3.452196325E1,1.082752272E-1,2.846262455E0,9.365508080E0
3.502196325E1,9.571290575E-3,2.512463808E0,9.834501266E0
3.552196325E1,2.691925503E-2,2.650051117E0,9.425926208E0
3.602196325E1,1.375873089E-1,2.714657307E0,9.457631111E0
3.652196325E1,1.016949639E-1,3.068794966E0,9.309276581E0
3.702196325E1,3.176472187E-1,3.062813044E0,9.481559753E0
3.752196325E1,4.558327198E-1,3.102294445E0,9.381659508E0
3.802196325E1,2.853440940E-1,2.928814888E0,9.334999084E0
3.852196325E1,3.750749528E-1,3.040679455E0,9.539586067E0
3.902196325E1,6.011967063E-1,2.813959360E0,9.474381447E0
3.952196325E1,1.019342422E0,3.107678413E0,9.411569595E0
4.002196325E1,2.506481707E-1,2.694318295E0,9.314660072E0
4.052196325E1,1.006181955E0,2.773879766E0,9.306285858E0
4.102196325E1,1.684547186E0,2.615953445E0,9.451649666E0
4.152196325E1,6.000002623E-1,2.982653379E0,9.620343208E0
4.202196325E1,9.206385016E-1,2.946761131E0,9.269794464E0
4.252196325E1,1.041476011E0,3.013760090E0,9.556933403E0
4.302196325E1,7.339983582E-1,2.769692183E0,9.877572060E0
4.352196325E1,7.357929349E-1,2.842673302E0,9.466006279E0
4.402196325E1,8.003991842E-1,2.806182861E0,9.298508644E0
4.452196325E1,7.818548083E-1,2.707478762E0,9.221938133E0
4.502196325E1,7.244270444E-1,2.738585472E0,9.041280746E0
4.552196325E1,6.711867452E-1,2.706880569E0,9.680164337E0
4.602196325E1,7.034898400E-1,2.788236618E0,9.361918449E0
4.652196325E1,6.891329288E-1,2.654238462E0,9.279366493E0
4.702196325E1,6.269195080E-1,2.499901533E0,9.668798447E0
4.752196325E1,7.501499057E-1,2.587837696E0,9.859625816E0
4.802196325E1,6.155536175E-1,2.597409010E0,9.504291534E0
4.852196325E1,6.209374666E-1,2.587837696E0,9.591629982E0
4.902196325E1,7.387840152E-1,2.726621389E0,9.326025963E0
4.952196325E1,6.352944374E-1,2.648256540E0,9.381061554E0
5.002196325E1,4.307080805E-1,2.595016241E0,9.322437286E0
5.052196325E1,5.252245665E-1,2.461616278E0,9.972088814E0
5.102196325E1,6.616154313E-1,2.590230465E0,9.537791252E0
5.152196325E1,5.006981492E-1,2.484946251E0,9.464211464E0
5.202196325E1,6.364908218E-1,2.410768747E0,9.969695091E0
5.252196325E1,6.047859192E-1,2.595016241E0,9.534799576E0
5.302196325E1,5.629115105E-1,2.601596355E0,9.458230019E0
5.352196325E1,8.614161611E-1,3.372683525E0,8.715856552E0
5.402196325E1,3.924229145E-1,3.501895905E0,9.432506561E0
5.452196325E1,6.640082598E-1,3.497110367E0,9.072386742E0
5.502196325E1,6.496513486E-1,3.574877024E0,9.206384659E0
5.552196325E1,8.614161611E-1,3.652643681E0,9.059226990E0
5.602196325E1,8.147560954E-1,3.495315790E0,8.981459618E0
5.652196325E1,6.221339107E-1,3.585644722E0,8.229515076E0
5.702196325E1,8.841479421E-1,3.492324591E0,9.196215630E0
5.752196325E1,8.967102766E-1,3.358326674E0,9.103493690E0
5.802196325E1,9.553344250E-1,3.525225878E0,9.103493690E0
5.852196325E1,9.415757060E-1,3.482155085E0,9.129216194E0
5.902196325E1,9.284151793E-1,3.516252756E0,8.920442581E0
5.952196325E1,1.075573802E0,3.499503136E0,8.974281311E0
6.002196325E1,9.631111026E-1,3.490530014E0,9.061020851E0
6.052196325E1,1.063609719E0,3.400799274E0,9.298508644E0
6.102196325E1,1.056431174E0,3.456432343E0,9.232706070E0
6.152196325E1,9.846464992E-1,3.442673683E0,9.028717995E0
6.202196325E1,1.091127157E0,3.495315790E0,9.043074608E0
6.252196325E1,1.066002488E0,3.458825111E0,9.060422897E0
6.302196325E1,1.083350420E0,3.362514019E0,9.132207870E0
6.352196325E1,9.607182741E-1,3.433102369E0,9.056235313E0
6.402196325E1,9.936196208E-1,3.426522017E0,9.019744873E0
6.452196325E1,6.400800347E-1,3.961317778E0,8.015955925E0
6.502196325E1,9.415757060E-1,3.863810301E0,8.943174362E0
6.552196325E1,6.287141442E-1,3.544368505E0,8.910871506E0
