"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.233880730E1,4.871568500E0,NaN,NaN,NaN,8.000000000E2,0.000000000E0
3.916076470E-1,5.234064920E1,4.874423800E0,6.185475478E0,NaN,NaN,7.759999847E1,1.237760353E1
5.100511665E0,5.233876046E1,4.878706460E0,2.830732322E2,6.469999790E0,8.400000000E1,3.329731750E1,3.639942551E1
6.101059686E0,5.233880167E1,4.878771070E0,2.910467160E2,6.250000000E0,8.419999695E1,3.621497345E1,3.672686386E1
7.100589320E0,5.233875928E1,4.878874960E0,2.820207758E2,7.179999828E0,9.809999847E1,3.775793839E1,3.399821472E1
8.100978278E0,5.233877591E1,4.879002000E0,2.821098003E2,7.650000095E0,8.600000000E1,3.992733765E1,3.123500633E1
9.100630726E0,5.233882047E1,4.879150200E0,2.825633172E2,8.920000076E0,8.750000000E1,2.974830246E1,3.015699196E1
1.010135979E1,5.233887449E1,4.879167710E0,2.729886963E2,7.409999847E0,8.819999695E1,2.729344940E1,2.846261024E1
1.110078375E1,5.233885765E1,4.879173810E0,2.603245525E2,6.599999905E0,8.780000305E1,2.564220810E1,2.804695320E1
1.210146708E1,5.233883708E1,4.879154870E0,2.443311655E2,6.500000000E0,9.390000153E1,2.677338982E1,2.770256805E1
1.310097859E1,5.233885332E1,4.878854190E0,2.199848247E2,4.440000057E0,1.020000000E2,2.332608223E1,2.557223129E1
1.410074703E1,5.233888045E1,4.878668270E0,2.097199858E2,3.259999990E0,9.159999847E1,2.106312943E1,2.544264412E1
1.510066270E1,5.233889307E1,4.878597410E0,2.065234298E2,1.789999962E0,9.100000000E1,2.253384209E1,2.663949966E1
1.610087551E1,5.233888919E1,4.878584250E0,2.040846961E2,6.899999976E-1,8.530000305E1,2.266160583E1,2.700924873E1
1.709961999E1,5.233889412E1,4.878454710E0,1.939499242E2,0.000000000E0,NaN,2.083912659E1,2.690536690E1
1.809952749E1,5.233891850E1,4.878305440E0,1.723834057E2,0.000000000E0,NaN,2.041702080E1,2.571100616E1
1.910029515E1,5.233892530E1,4.878228800E0,1.662672825E2,0.000000000E0,NaN,1.946723747E1,2.461806297E1
2.009954187E1,5.233892941E1,4.878192990E0,1.634382883E2,0.000000000E0,NaN,1.959715843E1,2.347961807E1
2.109987025E1,5.233892992E1,4.878179640E0,1.624261964E2,0.000000000E0,NaN,2.271520233E1,2.377819443E1
2.209963682E1,5.233893087E1,4.878176030E0,1.613917718E2,0.000000000E0,NaN,2.714334297E1,2.470626450E1
2.310030786E1,5.233893359E1,4.878169640E0,1.602012813E2,0.000000000E0,NaN,3.376810837E1,2.593111038E1
2.410014353E1,5.233892640E1,4.878188300E0,1.582350343E2,8.000000119E-1,8.450000000E1,3.141307068E1,2.648497581E1
2.510013952E1,5.233908339E1,4.877775360E0,1.409117156E2,6.999999881E-1,8.459999847E1,2.563625717E1,2.656009483E1
2.609954718E1,5.233910861E1,4.877721720E0,1.356947404E2,1.710000038E0,8.490000153E1,2.707512283E1,2.774071312E1
2.709986348E1,5.233914338E1,4.877598530E0,1.314094405E2,0.000000000E0,NaN,2.233798790E1,2.593179703E1
2.810045223E1,5.233915638E1,4.877550080E0,1.291121898E2,0.000000000E0,NaN,2.048280144E1,2.430782318E1
2.910028759E1,5.233917186E1,4.877534390E0,1.236478472E2,0.000000000E0,NaN,1.634254646E1,2.175707054E1
3.010031634E1,5.233917374E1,4.877520900E0,1.200194851E2,0.000000000E0,NaN,1.438914585E1,2.016372490E1
3.110012343E1,5.233917673E1,4.877508650E0,1.149863402E2,0.000000000E0,NaN,1.288008499E1,1.895881844E1
3.209997806E1,5.233917067E1,4.877507650E0,1.116184112E2,0.000000000E0,NaN,1.206001854E1,1.782250977E1
3.309980431E1,5.233916830E1,4.877510040E0,1.097236338E2,0.000000000E0,NaN,1.176768303E1,1.718324471E1
3.409979077E1,5.233916745E1,4.877512620E0,1.075170301E2,0.000000000E0,NaN,1.047254753E1,1.579804516E1
3.509974525E1,5.233917205E1,4.877525650E0,1.037223053E2,0.000000000E0,NaN,9.989912033E0,1.505259991E1
3.610033441E1,5.233917376E1,4.877571110E0,1.005358103E2,2.829999924E0,9.219999695E1,9.217413902E0,1.440124130E1
3.709949650E1,5.233917522E1,4.877623800E0,9.743202179E1,3.069999933E0,9.040000153E1,9.482051849E0,1.480349731E1
3.810032525E1,5.233917700E1,4.877683560E0,9.482848189E1,3.430000067E0,9.019999695E1,9.762236595E0,1.521466827E1
3.910031790E1,5.233917958E1,4.877744510E0,9.222036617E1,3.630000114E0,8.909999847E1,1.056557655E1,1.529980469E1
4.010031936E1,5.233918115E1,4.877811170E0,8.897120004E1,3.970000029E0,8.830000305E1,9.555109978E0,1.481880188E1
4.109980040E1,5.233918368E1,4.877870050E0,8.457987994E1,3.869999886E0,8.840000153E1,9.714934349E0,1.419400311E1
4.210016019E1,5.233918967E1,4.877935070E0,7.733102428E1,4.059999943E0,8.719999695E1,8.963157654E0,1.357388783E1
4.310049181E1,5.233919883E1,4.878003530E0,7.068813209E1,4.010000229E0,8.690000153E1,8.670973778E0,1.326177692E1
4.409957905E1,5.233920422E1,4.878061750E0,6.719677901E1,3.970000029E0,8.730000305E1,8.145312309E0,1.243943214E1
4.510032504E1,5.233920819E1,4.878113330E0,6.421842062E1,3.950000048E0,8.759999847E1,8.016674995E0,1.216038036E1
4.610016764E1,5.233921161E1,4.878167680E0,6.215711626E1,3.940000057E0,8.809999847E1,7.990880013E0,1.187376404E1
