"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.893684060E-1,7.556250000E1,-7.252500153E1,-1.083562546E2
7.893684060E-1,7.790625000E1,-5.926875305E1,-1.222125015E2
1.289368406E0,6.283125305E1,-4.612500000E1,-1.413187561E2
1.789368406E0,1.072500038E1,-6.881250381E0,-1.414312592E2
2.289368406E0,-3.551250076E1,2.098125076E1,-1.272375031E2
2.789368406E0,-6.577500153E1,4.100625229E1,-1.200937576E2
3.289368406E0,-8.287500000E1,6.060000229E1,-1.177125015E2
3.789368406E0,-1.007250061E2,7.531875610E1,-1.130437546E2
4.289368175E0,-1.392187500E2,1.053000031E2,-1.131562576E2
4.789368175E0,-1.803562622E2,1.374375000E2,-1.120500031E2
5.289368175E0,-2.208750153E2,1.679062500E2,-1.035562515E2
5.789368175E0,-2.417062531E2,1.817437592E2,-9.770625305E1
6.289368175E0,-2.518875122E2,1.905375061E2,-1.005562515E2
6.789368175E0,-2.615437622E2,1.973437653E2,-1.003875046E2
7.289368175E0,-2.787187500E2,2.013562622E2,-9.568125153E1
7.789368175E0,-2.888250122E2,2.060062561E2,-8.574375153E1
8.289368175E0,-2.907375183E2,2.158125153E2,-6.316875076E1
8.789368175E0,-2.767500000E2,2.292375031E2,-3.706875229E1
9.289368175E0,-2.498812561E2,2.357250061E2,-2.107500076E1
9.789368175E0,-2.149500122E2,2.263687592E2,-8.681250572E0
1.028936818E1,-1.798312531E2,2.128687592E2,4.968750000E0
1.078936818E1,-1.372687531E2,1.803000031E2,1.237500095E1
1.128936818E1,-8.604375458E1,1.429312592E2,1.852500153E1
1.178936818E1,-3.796875000E1,1.045312576E2,1.606875038E1
1.228936818E1,3.581250191E0,6.442500305E1,5.081250191E0
1.278936818E1,2.392500114E1,2.015625000E1,-5.568750381E0
1.328936818E1,3.018750191E1,-9.975000381E0,-6.225000381E0
1.378936818E1,2.891250038E1,-2.285625076E1,-5.025000095E0
1.428936818E1,2.566875076E1,-2.533125114E1,-3.956250191E0
1.478936818E1,1.470000076E1,-6.806250095E0,1.893750072E0
1.528936818E1,-9.000000358E-1,1.458750057E1,6.787500381E0
1.578936818E1,-1.430625057E1,3.196875191E1,1.089375019E1
1.628936818E1,-2.578125191E1,4.479375076E1,1.413750076E1
1.678936818E1,-2.934375191E1,5.261250305E1,1.554375076E1
1.728936818E1,-2.716875076E1,5.208750153E1,1.511250019E1
1.778936818E1,-2.328750038E1,5.053125381E1,1.441875076E1
