"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.871408000E-3,1.183250785E0,4.810770035E0,8.079365730E0
2.387979400E-2,1.124626637E0,5.122435093E0,7.965108395E0
5.238797940E-1,1.038485050E0,4.887340069E0,8.816354752E0
1.023879794E0,2.327618122E0,5.232504845E0,8.049455643E0
1.523879794E0,-5.102694035E-1,4.150949001E0,7.374679565E0
2.023879794E0,6.999006122E-2,4.779065132E0,9.301499367E0
2.523879794E0,-1.435693651E-1,3.689732552E0,9.640084267E0
3.023879794E0,-2.009970993E-1,3.614358664E0,9.023932457E0
3.523879794E0,-8.434699476E-2,3.581457376E0,9.220742226E0
4.023879794E0,-7.776673883E-2,3.604787350E0,9.040083885E0
4.523879794E0,-2.524427772E-1,3.250649452E0,9.233304024E0
5.023879794E0,-3.050848842E-1,3.495315790E0,9.054440498E0
5.523879794E0,-3.894318938E-1,3.326023579E0,9.181859016E0
6.023879794E0,-3.481557071E-1,3.475574970E0,9.242277145E0
6.523879794E0,-3.320041299E-1,3.651447296E0,9.224929810E0
7.023879794E0,-2.679961324E-1,3.072384357E0,9.652647018E0
7.523879794E0,-2.811566591E-1,3.718446493E0,9.549157143E0
8.023879794E0,-3.128615618E-1,3.203391314E0,9.351150513E0
8.523879794E0,-3.409772217E-1,3.432504177E0,9.322437286E0
9.023879794E0,-3.361915946E-1,3.041875839E0,9.336793900E0
9.523879794E0,-2.679961324E-1,3.568894863E0,9.449854851E0
1.002387979E1,-2.644068897E-1,3.412165165E0,9.268000603E0
1.052387979E1,-3.379862010E-1,3.702294827E0,8.985647202E0
1.102387979E1,-2.231307179E-1,3.204587698E0,9.305088997E0
1.152387979E1,-3.349951804E-1,2.997608662E0,8.988637924E0
1.202387979E1,-2.919243574E-1,3.504288673E0,8.770891190E0
1.252387979E1,-3.619144261E-1,3.365504980E0,9.325428009E0
1.302387979E1,-4.606183469E-1,3.341576815E0,9.402596474E0
1.352387979E1,-2.536391914E-1,3.489931822E0,9.180662155E0
1.402387979E1,-4.229314029E-1,3.480958700E0,9.279366493E0
1.452387979E1,-4.624129832E-1,3.535395384E0,9.293723106E0
1.502387979E1,-3.637090325E-1,3.510869026E0,9.318847656E0
