"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.751471900E-1,-3.573558852E-2,7.589995116E-2,-3.558287397E-2
7.793505230E-1,5.345066637E-2,-5.238165334E-2,-1.319467872E-1
1.283555627E0,-1.832594275E-1,7.086031139E-2,-1.863137633E-2
1.787762711E0,7.315105945E-2,9.224057943E-2,2.244928107E-2
2.291971669E0,-1.980729103E-1,-3.711003438E-2,-1.313359290E-2
2.796182658E0,-3.940077871E-2,3.787361458E-2,4.886918236E-3
3.300395679E0,-2.290742844E-2,2.840521187E-2,7.635809947E-3
3.804610783E0,-2.703076601E-2,1.634063199E-2,5.039634649E-3
4.308827502E0,-2.046396956E-2,1.634063199E-2,-3.817904973E-3
4.813045158E0,7.941242307E-3,6.108647678E-3,6.261364091E-3
5.317263127E0,-2.107483521E-2,6.719512399E-3,9.162971983E-4
5.821480836E0,4.886918236E-3,3.054323897E-4,1.023198478E-2
6.325698127E0,1.206457894E-2,5.497782957E-3,7.330377586E-3
6.829915002E0,-1.374445762E-2,7.177661173E-3,-2.901607659E-3
7.334131096E0,1.466075517E-2,-7.177661173E-3,5.497782957E-3
7.838346513E0,-2.535088919E-2,2.596175298E-3,2.290742937E-3
8.342560992E0,1.343902480E-2,-6.108647794E-4,-1.832594397E-3
8.846774481E0,-1.466075517E-2,9.010255337E-3,-3.512472380E-3
9.350986877E0,1.328630932E-2,-2.290742937E-3,2.138026757E-3
9.855198231E0,-4.581485875E-3,3.054323839E-3,1.679878100E-3
1.035940854E1,5.345067009E-3,8.246674202E-3,2.748891478E-3
1.086361776E1,-6.719512399E-3,-5.345067009E-3,-2.596175298E-3
1.136782584E1,-1.328630932E-2,1.985310577E-3,5.803215317E-3
1.187203276E1,7.024944760E-3,3.359756200E-3,1.221729536E-2
1.237623844E1,-2.046396956E-2,6.719512399E-3,1.038470119E-2
1.288044302E1,-7.635809947E-3,2.290742937E-3,1.496618707E-2
1.338464646E1,1.267544460E-2,3.817904973E-3,1.878409274E-2
1.388884886E1,-1.527161949E-4,1.160643063E-2,1.359174121E-2
1.439305011E1,6.108647794E-4,2.901607659E-3,1.069013402E-2
1.489725047E1,-1.832594397E-3,9.162971983E-4,6.872228812E-3
