"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,1.842561960E-1,3.009366989E-2,-2.781963348E-2
1.898528150E-1,3.551393747E-1,-2.848625183E-3,1.673698425E-2
6.898528150E-1,1.628845334E-1,7.666158676E-2,8.916854858E-3
1.189852815E0,2.417863607E-1,-7.609987259E-2,6.719112396E-2
1.689852815E0,-5.473687649E-1,7.700018883E-1,-4.103126526E-1
2.189852815E0,8.037969470E-2,-1.336601019E0,1.230429649E0
2.689852815E0,-1.254722774E-1,8.861446381E-2,2.496185303E-1
3.189852815E0,-8.468195796E-3,4.614734650E-2,-8.273887634E-2
3.689852815E0,-1.415820122E-1,-7.383632660E-2,3.066921234E-2
4.189852815E0,3.600524366E-2,9.067296982E-3,2.947711945E-2
4.689852815E0,-4.027408361E-2,-1.139528751E-1,2.706813812E-2
5.189852815E0,-1.655271649E-2,1.940679550E-2,9.967803955E-3
5.689852815E0,-3.196567297E-3,1.651430130E-2,7.386112213E-2
6.189852815E0,-4.835960269E-2,-1.217260361E-1,2.357578278E-2
6.689852815E0,1.383292675E-2,1.565988064E-1,-3.814697266E-5
7.189852815E0,-5.155831575E-3,-3.716719151E-1,3.629779816E-2
7.689852815E0,3.578184545E-2,3.388388157E-1,-1.772403717E-2
8.189852815E0,-7.502943277E-3,-5.788533688E-1,-7.541179657E-2
8.689852815E0,-1.757612824E-2,-3.460574150E-2,-1.700210571E-2
9.189852815E0,4.036992788E-3,-2.072145939E-1,-2.738380432E-2
9.689852815E0,4.922729731E-2,1.374959946E-1,4.903793335E-3
1.018985282E1,-3.336054087E-2,-1.947975159E-2,1.151781082E-1
1.068985282E1,-9.175685048E-2,1.707885265E-1,3.432626724E-1
1.118985282E1,6.459227204E-2,-1.172544956E-1,-2.635583878E-1
1.168985282E1,9.495586157E-3,-1.879332066E-1,-2.883272171E-1
1.218985282E1,1.341146231E-2,1.897611618E-1,9.799957275E-2
1.268985282E1,-6.392806768E-3,8.144879341E-2,7.458496094E-2
1.318985282E1,-7.946610451E-3,1.036882401E-2,2.746486664E-2
1.368985282E1,-6.039702892E-2,9.403371811E-2,-2.653026581E-2
1.418985282E1,-2.459678054E-2,9.389162064E-3,7.124805450E-2
1.468985282E1,-2.388793230E-2,-4.712581635E-3,-1.028337479E-1
1.518985282E1,-6.010848284E-2,3.052163124E-2,1.327447891E-1
1.568985282E1,9.577274323E-3,-3.626918793E-2,3.175926208E-2
1.618985282E1,6.276279688E-3,-8.282566071E-2,3.108119965E-2
1.668985282E1,4.680812359E-3,-1.010673046E-1,7.386398315E-2
1.718985282E1,-2.170151472E-2,-8.164024353E-2,1.298904419E-3
1.768985282E1,-2.796897292E-2,-2.751755714E-2,8.790874481E-2
1.818985282E1,-6.189984083E-2,-1.281931400E-1,4.971981049E-2
1.868985282E1,3.694474697E-3,1.224017143E-2,4.621124268E-2
1.918985282E1,-5.739253759E-2,-5.044531822E-2,3.009128571E-2
1.968985282E1,5.586451292E-2,1.294279099E-2,-8.502864838E-2
2.018985282E1,-8.000671864E-3,8.258557320E-2,-4.448318481E-2
2.068985282E1,-5.272889137E-2,-7.260537148E-2,-3.872404099E-1
2.118985282E1,-1.870214939E-2,-1.792039871E-1,-4.907875061E-1
2.168985282E1,-6.179732084E-2,-3.179311752E-3,3.509073257E-1
2.218985282E1,-1.541322470E-2,4.208159447E-2,-2.086238861E-1
2.268985282E1,-1.431756020E-1,-1.206080914E-1,6.880664825E-2
2.318985282E1,1.060531735E-1,1.616883278E-2,-1.584329605E-1
2.368985282E1,-5.368173122E-2,-9.615659714E-2,-4.749622345E-1
2.418985282E1,-6.209433079E-2,3.778886795E-2,6.790637970E-2
2.468985282E1,-5.854833126E-2,-2.145812511E-1,3.841018677E-2
2.518985282E1,-3.367197514E-2,-2.672505379E-2,-1.388759613E-1
2.568985282E1,4.029011726E-2,2.217085361E-1,-7.956218719E-2
2.618985282E1,4.654526711E-3,-1.713180542E-1,-1.528005600E-1
2.668985282E1,3.424859047E-2,-1.117854118E-1,-3.156652451E-1
2.718985282E1,-5.851995945E-2,1.216151714E-1,3.931808472E-2
2.768985282E1,-4.040479660E-3,7.525324821E-2,6.573200226E-2
2.818985282E1,3.818130493E-2,2.941155434E-2,6.173038483E-2
2.868985282E1,5.848920345E-2,-3.486418724E-2,3.859615326E-2
2.918985282E1,-1.780760288E-2,-2.163648605E-3,-3.854942322E-2
2.968985282E1,3.295814991E-2,-8.449029922E-2,4.450225830E-2
3.018985282E1,-1.205487251E-1,4.764866829E-2,-3.428363800E-2
3.068985282E1,1.042729616E-1,4.687643051E-2,-8.463191986E-2
3.118985282E1,5.689275265E-2,-8.832621574E-2,-1.787118912E-1
