"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.643147499E0,5.240117357E1,4.931389920E0,2.980734769E1,8.880000114E0,2.180000000E2,1.038474083E1,1.436839199E1
4.657252759E0,5.240105377E1,4.931247730E0,2.237331742E1,9.819999695E0,2.168999939E2,7.126607895E0,1.027934647E1
5.657088487E0,5.240100370E1,4.931111850E0,2.721899192E1,1.027999973E1,2.153000031E2,5.891111374E0,8.859813690E0
6.656871821E0,5.240093214E1,4.930976430E0,2.396173090E1,1.089000034E1,2.221999969E2,5.900801659E0,8.386564255E0
7.657105050E0,5.240085831E1,4.930813240E0,2.330949190E1,1.169999981E1,2.200000000E2,6.323772907E0,8.483265877E0
8.657447028E0,5.240076862E1,4.930669050E0,1.980946320E1,1.218999958E1,2.198000031E2,6.491243362E0,8.103488922E0
9.657093590E0,5.240067762E1,4.930526280E0,1.944084216E1,1.385999966E1,2.166000061E2,5.349597454E0,7.429955482E0
1.065708901E1,5.240057633E1,4.930394050E0,1.807331133E1,1.418999958E1,2.175000000E2,5.214203358E0,7.182311535E0
1.165703359E1,5.240048130E1,4.930251760E0,1.723721660E1,1.522999954E1,2.170000000E2,4.580062389E0,6.535193443E0
1.265730760E1,5.240037271E1,4.930117970E0,1.469151288E1,1.550000000E1,2.180000000E2,4.332043648E0,6.193342686E0
1.365656963E1,5.240026053E1,4.929978430E0,1.464305411E1,1.611000061E1,2.181000061E2,4.858258724E0,6.352192402E0
1.465683151E1,5.240014486E1,4.929823830E0,1.438809965E1,1.662000084E1,2.185000000E2,5.816064358E0,6.599934578E0
1.565710749E1,5.240000951E1,4.929684720E0,1.372516734E1,1.752000046E1,2.146999969E2,4.819540501E0,6.696919918E0
1.665740588E1,5.239988261E1,4.929523190E0,1.327982424E1,1.810000038E1,2.151999969E2,4.970330715E0,6.908824444E0
1.765709161E1,5.239974644E1,4.929355760E0,1.264458416E1,1.887999916E1,2.160000000E2,5.011966228E0,7.009632587E0
1.865751452E1,5.239960274E1,4.929191750E0,1.255340279E1,1.942000008E1,2.168000031E2,4.495269299E0,6.337064266E0
1.965736906E1,5.239946399E1,4.929018370E0,1.380182257E1,1.992000008E1,2.176000061E2,4.063212395E0,5.698139191E0
2.065658338E1,5.239931134E1,4.928834450E0,1.328984049E1,2.035000038E1,2.181000061E2,3.918335438E0,5.317982197E0
2.165689056E1,5.239915745E1,4.928651810E0,1.338411962E1,2.080999947E1,2.181999969E2,3.929974556E0,5.074800968E0
2.265727499E1,5.239900686E1,4.928458220E0,1.470856060E1,2.135000038E1,2.186999969E2,3.790092468E0,4.648059368E0
2.365671619E1,5.239885303E1,4.928263640E0,1.640830160E1,2.168000031E1,2.186000061E2,3.790092468E0,4.153314114E0
2.465710119E1,5.239869617E1,4.928074540E0,1.817237257E1,2.165999985E1,2.185000000E2,3.790092468E0,3.737582445E0
2.565682254E1,5.239854467E1,4.927879540E0,1.891209467E1,2.155999947E1,2.181999969E2,3.790092468E0,3.557167530E0
2.665708431E1,5.239839391E1,4.927683600E0,1.869210049E1,2.156999969E1,2.181000061E2,3.790092468E0,3.351031542E0
2.765750686E1,5.239823996E1,4.927494960E0,1.859246740E1,2.148999977E1,2.173999939E2,3.790092468E0,3.147129536E0
2.865691587E1,5.239809016E1,4.927297580E0,1.911417299E1,2.145000076E1,2.170000000E2,3.790092468E0,2.919890165E0
2.965721791E1,5.239793543E1,4.927113720E0,1.888813780E1,2.138999939E1,2.161000061E2,3.790092468E0,2.971963882E0
3.065706197E1,5.239778173E1,4.926933290E0,1.941692787E1,2.137000084E1,2.155000000E2,3.790092468E0,2.976905823E0
3.165739702E1,5.239762907E1,4.926754910E0,1.965287395E1,2.134000015E1,2.141000061E2,3.790092468E0,2.734337568E0
3.265688171E1,5.239746557E1,4.926567740E0,1.892682442E1,2.137000084E1,2.143999939E2,3.790092468E0,2.500000000E0
3.365708551E1,5.239730986E1,4.926392390E0,1.887163027E1,2.132999992E1,2.136999969E2,3.790092468E0,2.577517271E0
3.465743384E1,5.239714387E1,4.926225020E0,1.860085004E1,2.136000061E1,2.128999939E2,3.790092468E0,2.590499401E0
3.565673160E1,5.239698236E1,4.926061340E0,1.793829367E1,2.131999969E1,2.128999939E2,3.790092468E0,2.568683624E0
3.665720728E1,5.239681957E1,4.925894260E0,1.766983751E1,2.147999954E1,2.126999969E2,3.790092468E0,2.500000000E0
3.765748108E1,5.239665514E1,4.925730540E0,1.734419105E1,2.135000038E1,2.120000000E2,3.790092468E0,2.500000000E0
3.865689748E1,5.239649542E1,4.925569210E0,1.715460006E1,2.146999931E1,2.113999939E2,3.790092468E0,2.500000000E0
3.965727014E1,5.239632867E1,4.925412980E0,1.678665735E1,2.142000008E1,2.108000031E2,3.790092468E0,2.500000000E0
4.065660613E1,5.239616328E1,4.925258210E0,1.616743570E1,2.128000069E1,2.103000031E2,3.790092468E0,2.500000000E0
4.165659842E1,5.239599701E1,4.925104830E0,1.615233960E1,2.125000000E1,2.093000031E2,3.790092468E0,2.531616211E0
4.265690478E1,5.239582718E1,4.924951920E0,1.584970212E1,2.137999916E1,2.086000061E2,3.844819784E0,2.780175686E0
4.365748259E1,5.239565759E1,4.924802050E0,1.511695202E1,2.129999924E1,2.083000031E2,3.790092468E0,2.595738649E0
4.465692009E1,5.239548652E1,4.924659930E0,1.403612086E1,2.143000031E1,2.068999939E2,3.790092468E0,2.500000000E0
4.565743118E1,5.239531229E1,4.924514140E0,1.370857899E1,2.136000061E1,2.063999939E2,3.790092468E0,2.500000000E0
4.665670467E1,5.239514156E1,4.924376550E0,1.341803418E1,2.132999992E1,2.055000000E2,3.790092468E0,2.500000000E0
4.765683623E1,5.239496080E1,4.924238760E0,1.327456977E1,2.139999962E1,2.051999969E2,3.790092468E0,2.500000000E0
4.865691920E1,5.239478545E1,4.924106720E0,1.324970772E1,2.142000008E1,2.043999939E2,3.790092468E0,2.500000000E0
4.965689451E1,5.239461151E1,4.923971620E0,1.337865448E1,2.140999985E1,2.038999939E2,4.011474609E0,2.500000000E0
5.065708852E1,5.239444058E1,4.923861480E0,1.230980516E1,2.104999924E1,2.031999969E2,3.790092468E0,2.500000000E0
5.165723670E1,5.239426670E1,4.923741890E0,1.235758433E1,2.120000076E1,2.023999939E2,3.894882202E0,2.782999039E0
5.265748076E1,5.239408141E1,4.923618190E0,1.259400459E1,2.146999931E1,2.016000061E2,4.306863308E0,2.980023623E0
5.365718248E1,5.239391438E1,4.923501270E0,1.216102112E1,2.135000038E1,2.016999969E2,3.790092468E0,2.770312071E0
5.465753748E1,5.239373501E1,4.923387510E0,1.018773881E1,2.134000015E1,2.018000031E2,3.790092468E0,2.825589895E0
5.565688493E1,5.239355710E1,4.923271520E0,1.035715746E1,2.126000023E1,2.015000000E2,3.790092468E0,3.000601053E0
5.665727857E1,5.239338034E1,4.923151010E0,9.975122479E0,2.119000053E1,2.013999939E2,3.790092468E0,3.121753693E0
5.765689831E1,5.239320255E1,4.923034090E0,1.066901588E1,2.115999985E1,2.016999969E2,3.790092468E0,3.104741096E0
5.865742857E1,5.239301896E1,4.922911140E0,1.083616414E1,2.123999977E1,2.021999969E2,3.790092468E0,3.018009186E0
5.965689295E1,5.239284093E1,4.922788020E0,1.084786365E1,2.135000038E1,2.018000031E2,3.790092468E0,3.199657440E0
6.065751201E1,5.239266385E1,4.922666890E0,1.108100122E1,2.123999977E1,2.015000000E2,3.982238531E0,3.203569174E0
6.165709612E1,5.239247890E1,4.922552420E0,1.087766914E1,2.148999977E1,2.016000061E2,3.790092468E0,3.023519516E0
6.265723034E1,5.239229491E1,4.922438620E0,1.085085248E1,2.150000000E1,2.013999939E2,3.790092468E0,2.981959581E0
6.365680696E1,5.239211475E1,4.922323720E0,1.092932627E1,2.154000092E1,2.013000031E2,9.935046196E0,3.019444466E0
6.465686419E1,5.239194682E1,4.922207520E0,1.005994067E1,2.080999947E1,2.016999969E2,9.935046196E0,2.883396387E0
6.565679112E1,5.239177865E1,4.922093820E0,1.029309526E1,2.046999931E1,2.031000061E2,9.935046196E0,2.773454666E0
6.665722268E1,5.239161925E1,4.921966870E0,8.348459156E0,2.004999924E1,2.041000061E2,9.935046196E0,2.898684978E0
6.765757544E1,5.239146111E1,4.921844370E0,8.682574999E0,1.995000076E1,2.056000061E2,9.935046196E0,3.215033054E0
6.865692279E1,5.239130411E1,4.921723690E0,7.896393236E0,1.937000084E1,2.068999939E2,9.935046196E0,3.507206440E0
6.965659742E1,5.239115777E1,4.921599860E0,7.730280911E0,1.886000061E1,2.080000000E2,9.935046196E0,3.781223059E0
7.065736440E1,5.239101061E1,4.921471500E0,7.832353262E0,1.861000061E1,2.088999939E2,9.935046196E0,3.864300728E0
7.165749846E1,5.239087046E1,4.921339350E0,6.545029051E0,1.821999931E1,2.098999939E2,1.013912582E1,3.831572056E0
7.265780190E1,5.239073877E1,4.921204950E0,5.055994339E0,1.768000031E1,2.113000031E2,9.935046196E0,3.317731619E0
7.365741929E1,5.239061478E1,4.921082290E0,5.432700060E0,1.707999992E1,2.128000031E2,9.935046196E0,3.095716953E0
7.465709752E1,5.239048934E1,4.920946940E0,4.958566247E0,1.689999962E1,2.145000000E2,9.935046196E0,3.065285683E0
7.565663101E1,5.239036292E1,4.920804650E0,5.510305908E0,1.646999931E1,2.163000031E2,9.935046196E0,2.963934898E0
7.665719731E1,5.239024509E1,4.920659430E0,5.835127333E0,1.585999966E1,2.186999969E2,9.935046196E0,2.815081120E0
7.765658127E1,5.239013678E1,4.920512930E0,5.484607513E0,1.531000042E1,2.203000031E2,9.935046196E0,2.816428661E0
7.865684315E1,5.239003358E1,4.920363830E0,5.566588543E0,1.489000034E1,2.220000000E2,9.935046196E0,2.655948639E0
7.965590304E1,5.238993527E1,4.920218320E0,5.940082513E0,1.452999973E1,2.236999969E2,9.935046196E0,2.500000000E0
8.065561278E1,5.238984023E1,4.920065300E0,4.919899985E0,1.413000011E1,2.251000061E2,9.935046196E0,2.500000000E0
8.165590148E1,5.238975346E1,4.919930450E0,5.557088422E0,1.367000008E1,2.256999969E2,9.935046196E0,2.500000000E0
8.265634059E1,5.238967315E1,4.919798870E0,5.947156583E0,1.322000027E1,2.261999969E2,9.935046196E0,2.500000000E0
8.365576455E1,5.238959364E1,4.919656800E0,5.916260288E0,1.301000023E1,2.263000031E2,9.935046196E0,2.500000000E0
8.465627304E1,5.238951868E1,4.919530320E0,5.693607083E0,1.214999962E1,2.265000000E2,9.935046196E0,2.500000000E0
8.565649247E1,5.238944546E1,4.919403840E0,5.520577931E0,1.189999962E1,2.268000031E2,1.052807903E1,2.611915112E0
8.665657783E1,5.238937106E1,4.919277730E0,5.476758751E0,1.180000019E1,2.268000031E2,1.146100044E1,2.889018059E0
9.265608559E1,5.238903874E1,4.918670590E0,5.434734763E0,9.170000076E0,2.276000061E2,1.006954765E1,4.054775238E0
9.365658679E1,5.238899959E1,4.918590630E0,5.416993466E0,8.779999733E0,2.278000031E2,8.212957382E0,4.237273216E0
9.465655189E1,5.238892822E1,4.918466390E0,5.192210457E0,7.820000172E0,2.281000061E2,5.336669445E0,4.145962238E0
9.565565194E1,5.238890511E1,4.918401720E0,4.431702966E0,7.159999847E0,2.283999939E2,4.476736546E0,4.046821594E0
9.665606897E1,5.238885222E1,4.918318260E0,4.900451388E0,6.650000095E0,2.281999969E2,4.064323425E0,4.064530373E0
9.765606892E1,5.238882115E1,4.918262790E0,4.633468256E0,6.150000095E0,2.281999969E2,3.790092468E0,3.730616093E0
9.865640850E1,5.238878401E1,4.918202080E0,5.909381180E0,5.639999866E0,2.283000031E2,3.790092468E0,3.826366901E0
9.965592902E1,5.238875437E1,4.918150080E0,5.106330324E0,5.110000134E0,2.281999969E2,3.790092468E0,3.653945923E0
1.006562402E2,5.238872678E1,4.918097770E0,5.545835903E0,4.710000038E0,2.283000031E2,3.790092468E0,3.513340473E0
1.016560817E2,5.238868815E1,4.918040690E0,3.428621394E0,4.139999866E0,2.286999969E2,3.790092468E0,3.367500544E0
1.026556224E2,5.238866941E1,4.918001710E0,2.331404129E0,3.730000019E0,2.286000061E2,3.790092468E0,2.980582237E0
1.036559060E2,5.238864234E1,4.917969620E0,1.429735718E0,3.349999905E0,2.286999969E2,3.790092468E0,2.906416416E0
1.046556201E2,5.238862535E1,4.917940360E0,1.593268790E0,2.849999905E0,2.290000000E2,3.790092468E0,2.755041122E0
1.056560881E2,5.238861254E1,4.917919150E0,1.078345686E0,2.289999962E0,2.291000061E2,3.790092468E0,2.712968349E0
1.066564163E2,5.238859908E1,4.917900620E0,4.974442194E-1,1.759999990E0,2.290000000E2,3.790092468E0,2.925982952E0
1.076556065E2,5.238858907E1,4.917887330E0,2.046366365E-1,1.350000024E0,2.290000000E2,3.790092468E0,2.945470572E0
1.086557360E2,5.238858256E1,4.917878440E0,6.735415848E-2,8.399999738E-1,2.293000031E2,3.790092468E0,2.745933056E0
1.096558311E2,5.238858005E1,4.917877940E0,-5.930500811E-1,3.400000036E-1,2.291000061E2,3.790092468E0,2.605884075E0
1.106562780E2,5.238858148E1,4.917887030E0,-6.397956822E-1,0.000000000E0,NaN,3.790092468E0,2.560687542E0
1.116557800E2,5.238858048E1,4.917889810E0,-6.580449896E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.126560303E2,5.238858058E1,4.917891830E0,-5.589225760E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.136560414E2,5.238857913E1,4.917892590E0,-4.480843439E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.146562552E2,5.238857824E1,4.917896100E0,-6.355225229E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.156558030E2,5.238857743E1,4.917897670E0,-7.409304699E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.166557589E2,5.238857804E1,4.917896460E0,-4.370973034E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.176556583E2,5.238857943E1,4.917895020E0,-3.068471499E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.186560404E2,5.238858008E1,4.917894400E0,-1.431503012E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.196565778E2,5.238857998E1,4.917894860E0,-1.119001746E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.206559096E2,5.238857997E1,4.917895020E0,-9.011054469E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.216558750E2,5.238858013E1,4.917894910E0,-1.640849915E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.226561833E2,5.238857999E1,4.917894680E0,-2.835311248E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.236555785E2,5.238857993E1,4.917895370E0,-2.023540496E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.246562707E2,5.238857984E1,4.917895540E0,-1.501079842E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.256558740E2,5.238857995E1,4.917895720E0,-1.030496179E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.266562725E2,5.238857991E1,4.917895810E0,-8.272491504E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
