"Time (s)","Pressure (hPa)"
4.308027110E-1,1.017022217E3
9.308029710E-1,1.016973633E3
1.430801825E0,1.016922485E3
1.930802763E0,1.017137329E3
2.430798440E0,1.016956787E3
2.930802919E0,1.016957397E3
3.430801929E0,1.016984131E3
3.930804377E0,1.016990234E3
4.430804377E0,1.017000854E3
4.930800888E0,1.017002563E3
5.430803127E0,1.016985596E3
5.930803127E0,1.017019653E3
6.430801825E0,1.017018799E3
6.930805367E0,1.017010010E3
7.430802086E0,1.017030884E3
7.930808856E0,1.017033081E3
8.430802606E0,1.017054565E3
8.930803856E0,1.017054077E3
9.430803856E0,1.017048096E3
9.930803648E0,1.017063721E3
1.043079729E1,1.017072754E3
1.093080292E1,1.017065674E3
1.143080386E1,1.017080933E3
1.193080401E1,1.017100708E3
1.243080427E1,1.017117554E3
1.293080157E1,1.017121460E3
1.343080308E1,1.017132568E3
1.393080349E1,1.017142334E3
1.443080375E1,1.017147095E3
1.493080422E1,1.017177856E3
1.543079927E1,1.017212769E3
1.593079063E1,1.017215576E3
1.643080427E1,1.017218872E3
1.693080412E1,1.017229370E3
1.743080459E1,1.017241333E3
1.793080490E1,1.017267578E3
1.843079907E1,1.017270752E3
1.893080412E1,1.017273560E3
1.943080386E1,1.017286255E3
1.993080406E1,1.017295898E3
2.020545839E1,1.017292969E3
2.030543214E1,1.017297119E3
2.080543214E1,1.017303711E3
2.130543214E1,1.017330078E3
2.180543214E1,1.017328125E3
2.230543214E1,1.017349609E3
2.280543214E1,1.017371582E3
2.330543214E1,1.017450073E3
2.380543214E1,1.017493774E3
2.430543214E1,1.017510498E3
2.480543214E1,1.017568970E3
2.530543214E1,1.017559570E3
2.580543214E1,1.017567139E3
2.630543214E1,1.017588257E3
2.680543214E1,1.017572144E3
2.730543214E1,1.017583252E3
2.780543214E1,1.017561279E3
2.830543214E1,1.017574951E3
2.880543214E1,1.017562866E3
2.930543214E1,1.017569336E3
2.980543214E1,1.017572632E3
3.030543214E1,1.017566528E3
3.080543214E1,1.017569336E3
3.130543214E1,1.017559814E3
3.180543214E1,1.017527710E3
3.230543214E1,1.017458740E3
3.280543214E1,1.017470215E3
3.330543214E1,1.017515991E3
3.380543214E1,1.017473877E3
3.430543214E1,1.017439087E3
3.480543214E1,1.017529053E3
3.530543214E1,1.017552979E3
3.580543214E1,1.017503540E3
3.630543214E1,1.017487061E3
3.680543214E1,1.017560059E3
3.730543214E1,1.017625854E3
3.780543214E1,1.017618408E3
3.830543214E1,1.017646851E3
3.880543214E1,1.017726196E3
3.930543214E1,1.017751221E3
3.980543214E1,1.017765869E3
4.030543214E1,1.017839844E3
4.080543214E1,1.017890137E3
4.130543214E1,1.017948486E3
4.180543214E1,1.017983398E3
4.230543214E1,1.017977783E3
4.280543214E1,1.017998901E3
4.330543214E1,1.018053101E3
4.380543214E1,1.018099976E3
4.430543214E1,1.018129639E3
4.480543214E1,1.018157227E3
4.530543214E1,1.018195068E3
4.580543214E1,1.018241089E3
4.630543214E1,1.018291870E3
4.680543214E1,1.018291748E3
4.730543214E1,1.018323486E3
4.780543214E1,1.018360474E3
4.830543214E1,1.018378662E3
4.880543214E1,1.018397949E3
4.930543214E1,1.018422607E3
4.980543214E1,1.018447510E3
5.030543214E1,1.018441772E3
5.080543214E1,1.018467773E3
5.130543214E1,1.018481689E3
5.180543214E1,1.018494019E3
5.230543214E1,1.018450195E3
5.280543214E1,1.018442871E3
5.330543214E1,1.018470093E3
5.380543214E1,1.018480225E3
5.430543214E1,1.018471680E3
5.480543214E1,1.018480347E3
5.530543214E1,1.018504883E3
5.580543214E1,1.018475586E3
5.630543214E1,1.018467651E3
5.680543214E1,1.018479858E3
5.730543214E1,1.018447144E3
5.780543214E1,1.018402100E3
5.830543214E1,1.018465454E3
5.880543214E1,1.018497314E3
5.930543214E1,1.018498291E3
5.980543214E1,1.018487915E3
6.030543214E1,1.018470703E3
6.080543214E1,1.018437988E3
6.130543214E1,1.018444580E3
6.180543214E1,1.018449707E3
6.230543214E1,1.018479492E3
6.280543214E1,1.018493530E3
6.330543214E1,1.018512207E3
6.380543214E1,1.018562256E3
6.430543214E1,1.018593994E3
6.480543214E1,1.018603882E3
6.530543214E1,1.018625244E3
6.580543214E1,1.018643555E3
6.630543214E1,1.018637817E3
6.680543214E1,1.018665039E3
6.730543214E1,1.018693237E3
6.780543214E1,1.018669189E3
6.830543214E1,1.018673462E3
6.880543214E1,1.018701050E3
6.930543214E1,1.018696533E3
6.980543214E1,1.018700684E3
7.030543214E1,1.018700073E3
7.080543214E1,1.018710205E3
7.130543214E1,1.018705811E3
7.180543214E1,1.018707153E3
7.230543214E1,1.018694824E3
7.280543214E1,1.018712402E3
7.330543214E1,1.018693481E3
7.380543214E1,1.018688232E3
7.430543214E1,1.018687134E3
7.480543214E1,1.018692139E3
7.530543214E1,1.018701172E3
7.580543214E1,1.018690552E3
7.630543214E1,1.018686768E3
7.680543214E1,1.018707153E3
7.730543214E1,1.018706909E3
7.780543214E1,1.018694458E3
7.830543214E1,1.018692261E3
7.880543214E1,1.018707764E3
7.930543214E1,1.018695068E3
7.980543214E1,1.018692871E3
8.030543214E1,1.018705322E3
8.080543214E1,1.018722656E3
8.130543214E1,1.018694580E3
8.180543214E1,1.018696045E3
8.230543214E1,1.018719971E3
8.280543214E1,1.018701660E3
8.330543214E1,1.018694458E3
8.380543214E1,1.018689575E3
8.430543214E1,1.018705566E3
8.480543214E1,1.018691772E3
8.530543214E1,1.018686035E3
8.580543214E1,1.018700073E3
8.630543214E1,1.018691406E3
8.680543214E1,1.018698486E3
8.730543214E1,1.018681030E3
8.780543214E1,1.018684326E3
8.830543214E1,1.018709717E3
8.880543214E1,1.018707275E3
8.930543214E1,1.018715576E3
8.980543214E1,1.018722290E3
9.030543214E1,1.018728271E3
9.080543214E1,1.018744385E3
9.130543214E1,1.018737183E3
9.180543214E1,1.018725342E3
9.230543214E1,1.018728638E3
9.280543214E1,1.018738037E3
9.330543214E1,1.018728638E3
9.380543214E1,1.018721802E3
9.430543214E1,1.018714844E3
9.480543214E1,1.018696045E3
9.530543214E1,1.018711060E3
9.580543214E1,1.018740723E3
9.630543214E1,1.018726074E3
9.680543214E1,1.018737305E3
9.730543214E1,1.018723267E3
9.780543214E1,1.018715088E3
9.830543214E1,1.018719604E3
9.880543214E1,1.018734009E3
9.930543214E1,1.018740967E3
9.980543214E1,1.018731079E3
1.003054321E2,1.018737793E3
1.008054321E2,1.018720215E3
1.013054321E2,1.018734619E3
1.018054321E2,1.018737305E3
1.023054321E2,1.018734375E3
1.028054321E2,1.018742920E3
1.033054321E2,1.018745483E3
1.038054321E2,1.018735962E3
1.043054321E2,1.018740723E3
1.048054321E2,1.018737671E3
1.053054321E2,1.018745361E3
1.058054321E2,1.018745605E3
1.063054321E2,1.018735840E3
1.068054321E2,1.018753662E3
1.073054321E2,1.018748169E3
1.078054321E2,1.018738159E3
1.083054321E2,1.018730225E3
1.088054321E2,1.018750854E3
1.093054321E2,1.018770752E3
1.098054321E2,1.018749268E3
1.103054321E2,1.018647949E3
1.108054321E2,1.018460449E3
1.113054321E2,1.018440796E3
1.118054321E2,1.018430054E3
1.123054321E2,1.018360107E3
1.128054321E2,1.018358887E3
1.133054321E2,1.018356201E3
1.138054321E2,1.018356445E3
1.143054321E2,1.018349121E3
1.148054321E2,1.018347290E3
1.153054321E2,1.018350342E3
1.158054321E2,1.018347168E3
1.163054321E2,1.018342773E3
1.168054321E2,1.018346680E3
1.173054321E2,1.018357056E3
1.178054321E2,1.018340820E3
1.183054321E2,1.018353027E3
1.188054321E2,1.018357422E3
1.193054321E2,1.018345459E3
1.198054321E2,1.018353149E3
1.203054321E2,1.018337402E3
1.208054321E2,1.018341064E3
1.213054321E2,1.018349609E3
1.218054321E2,1.018352295E3
1.223054321E2,1.018354980E3
1.228054321E2,1.018349854E3
1.233054321E2,1.018358398E3
1.238054321E2,1.018340454E3
1.243054321E2,1.018325806E3
1.248054321E2,1.018347656E3
1.253054321E2,1.018352417E3
1.258054321E2,1.018359985E3
1.263054321E2,1.018346436E3
1.268054321E2,1.018350098E3
1.273054321E2,1.018342896E3
1.278054321E2,1.018353638E3
1.283054321E2,1.018421387E3
1.288054321E2,1.018431274E3
1.293054321E2,1.018437744E3
1.298054321E2,1.018432861E3
1.303054321E2,1.018436523E3
1.308054321E2,1.018417969E3
1.313054321E2,1.018243286E3
1.318054321E2,1.018112061E3
1.323054321E2,1.017947021E3
1.328054321E2,1.017932251E3
1.333054321E2,1.017926270E3
1.338054321E2,1.017932739E3
1.343054321E2,1.017943481E3
1.348054321E2,1.017951050E3
1.353054321E2,1.017946045E3
1.358054321E2,1.017935303E3
1.363054321E2,1.017925049E3
1.368054321E2,1.017926636E3
1.373054321E2,1.017931885E3
1.378054321E2,1.017925537E3
1.383054321E2,1.017932617E3
1.388054321E2,1.017967773E3
1.393054321E2,1.018015991E3
1.398054321E2,1.018043213E3
1.403054321E2,1.018059326E3
1.408054321E2,1.018067871E3
1.413054321E2,1.018111084E3
1.418054321E2,1.018133545E3
1.423054321E2,1.018148682E3
1.428054321E2,1.018143188E3
1.433054321E2,1.018180542E3
1.438054321E2,1.018211914E3
1.443054321E2,1.018241699E3
1.448054321E2,1.018258301E3
1.453054321E2,1.018292480E3
1.458054321E2,1.018312744E3
1.463054321E2,1.018346924E3
1.468054321E2,1.018392944E3
1.473054321E2,1.018451904E3
1.478054321E2,1.018503540E3
1.483054321E2,1.018568604E3
1.488054321E2,1.018658325E3
1.493054321E2,1.018780762E3
1.498054321E2,1.018883301E3
1.503054321E2,1.019026367E3
1.508054321E2,1.019177368E3
1.513054321E2,1.019330444E3
1.518054321E2,1.019482178E3
1.523054321E2,1.019641113E3
1.528054321E2,1.019742554E3
1.533054321E2,1.019461792E3
1.538054321E2,1.018761353E3
1.543054321E2,1.018336792E3
1.548054321E2,1.018118774E3
1.553054321E2,1.017972778E3
1.558054321E2,1.018031616E3
1.563054321E2,1.018237549E3
1.568054321E2,1.018208130E3
1.573054321E2,1.017992920E3
1.578054321E2,1.017783325E3
1.583054321E2,1.017752686E3
1.588054321E2,1.017794556E3
1.593054321E2,1.017831909E3
1.598054321E2,1.017844727E3
1.603054321E2,1.017897949E3
1.608054321E2,1.018161621E3
1.613054321E2,1.018237793E3
1.618054321E2,1.018100586E3
1.623054321E2,1.018056641E3
1.628054321E2,1.018032959E3
