"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.023470000E-4,-4.944767952E0,3.051447153E0,7.597810268E0
2.140672200E-2,-4.066003799E0,3.560520172E0,8.172087669E0
5.214067220E-1,-5.074578762E0,2.922832966E0,7.004390240E0
1.021406722E0,-3.539582968E0,1.126421213E0,6.816553593E0
1.521406722E0,1.615155339E-1,-6.825526714E0,8.523234367E0
2.021406722E0,7.082755089E0,-6.348756790E0,4.214957237E0
2.521406722E0,8.688937187E0,-5.109872818E0,1.534397483E0
3.021406722E0,8.317451477E0,-5.447858810E0,7.244270444E-1
3.521406722E0,6.806384087E0,-7.587042332E0,1.115055323E0
4.021406722E0,7.459026337E0,-7.223333359E0,-1.271785259E0
4.521406722E0,6.489335060E0,-7.747959614E0,-8.147560954E-1
5.021406722E0,5.792425632E0,-7.752745152E0,-2.189432681E-1
5.521406722E0,6.071787357E0,-8.169096947E0,9.750752151E-2
6.021406722E0,6.028118610E0,-8.114660263E0,2.871387079E-2
6.521406722E0,6.019145489E0,-7.744968891E0,-7.657032460E-2
7.021406722E0,5.878567219E0,-7.780262947E0,-6.000002623E-1
7.521406722E0,5.784648895E0,-8.266604424E0,-8.500502706E-1
8.021406722E0,5.570491314E0,-7.979465485E0,-1.549352705E-1
8.521406722E0,6.181259155E0,-7.823333740E0,-3.092723191E-1
9.021406722E0,5.873183250E0,-8.060222626E0,-7.118647099E-1
9.521406722E0,5.746363640E0,-8.041678429E0,-9.397810698E-1
1.002140672E1,5.810969830E0,-8.005187988E0,-8.105686903E-1
1.052140672E1,5.933003902E0,-7.844869137E0,-7.453642488E-1
1.102140672E1,5.897709846E0,-7.861020565E0,-5.341976285E-1
1.152140672E1,5.739783287E0,-8.167900085E0,-8.775677085E-1
1.202140672E1,5.222933769E0,-7.646264553E0,-6.394818425E-1
1.252140672E1,6.103492260E0,-7.515257835E0,-6.442674994E-1
1.302140672E1,5.401797295E0,-7.545766354E0,-1.695913076E0
1.352140672E1,5.903691769E0,-7.452445984E0,-1.850848317E0
1.402140672E1,6.850052834E0,-7.824530125E0,-1.200000525E0
1.452140672E1,5.988636971E0,-7.728816986E0,-1.067198873E0
1.502140672E1,4.518845558E0,-7.851449490E0,-2.035693884E0
1.552140672E1,6.248258114E0,-7.644470215E0,-1.183848977E0
1.602140672E1,4.964509010E0,-7.770093441E0,-1.831107497E0
1.652140672E1,6.165705681E0,-8.522037506E0,-9.918249846E-1
1.702140672E1,6.058627129E0,-7.897511005E0,-1.528415442E0
1.752140672E1,5.996413708E0,-7.680960655E0,-1.330409408E0
1.802140672E1,5.583053589E0,-7.746763229E0,-1.467398524E0
1.852140672E1,5.902495384E0,-7.804191113E0,-3.589234054E-1
1.902140672E1,5.205585480E0,-8.096115112E0,-1.015753269E0
1.952140672E1,4.994419098E0,-8.138587952E0,-1.712064624E0
2.002140672E1,5.272584915E0,-8.165507317E0,-2.011167526E0
2.052140672E1,4.787439823E0,-8.665008545E0,-1.776670814E0
2.102140672E1,5.195415974E0,-8.191828728E0,-1.398604870E0
2.152140672E1,5.334797859E0,-8.172087669E0,-1.592423439E0
2.202140672E1,5.282155991E0,-8.255238533E0,-1.767099500E0
2.252140672E1,4.640879631E0,-8.455039024E0,-1.612762451E0
2.302140672E1,5.170291424E0,-8.282755852E0,-1.757528186E0
2.352140672E1,5.215157032E0,-8.106883049E0,-1.834696770E0
2.402140672E1,5.395216942E0,-7.825726509E0,-2.397608280E0
2.452140672E1,4.835296154E0,-8.060222626E0,-2.230110645E0
2.502140672E1,5.088935375E0,-7.805387497E0,-2.995813847E0
2.552140672E1,5.185844898E0,-8.068597794E0,-2.617748022E0
2.602140672E1,5.047659397E0,-8.081160545E0,-2.668595552E0
2.652140672E1,5.370690346E0,-7.824530125E0,-2.247458696E0
2.702140672E1,4.926223755E0,-8.170292854E0,-2.474178553E0
2.752140672E1,5.267798901E0,-8.092526436E0,-2.514258385E0
2.802140672E1,5.212764263E0,-7.923233986E0,-2.587837696E0
2.852140672E1,4.804787636E0,-8.200801849E0,-2.161317110E0
2.902140672E1,4.922634602E0,-8.166105270E0,-2.532802820E0
2.952140672E1,4.807778835E0,-8.290532112E0,-2.341377020E0
3.002140672E1,5.337191105E0,-7.960322857E0,-8.267202377E-1
3.052140672E1,6.652047157E0,-8.564510345E0,-7.776673418E-3
3.102140672E1,4.310071945E0,-8.444869041E0,-2.510669231E0
3.152140672E1,5.527420521E0,-8.258229256E0,-7.932206988E-1
3.202140672E1,4.884349346E0,-8.373085022E0,-7.334001660E-1
3.252140672E1,5.246861935E0,-8.267800331E0,-4.965106845E-1
3.302140672E1,5.468796253E0,-8.151748657E0,1.369891018E-1
3.352140672E1,5.347360611E0,-8.176873207E0,1.178465188E-1
3.402140672E1,5.583651543E0,-8.026723862E0,2.392822690E-2
3.452140672E1,5.562116146E0,-8.032107353E0,6.580262445E-3
3.502140672E1,5.519045353E0,-8.057829857E0,-6.520441920E-2
3.552140672E1,4.794020176E0,-8.155936241E0,1.884347796E-1
3.602140672E1,6.099903107E0,-7.788039684E0,9.439685345E-1
3.652140672E1,5.509474277E0,-8.115258217E0,5.982056726E-3
3.702140672E1,5.611767292E0,-8.194819450E0,3.445664644E-1
3.752140672E1,5.531009674E0,-8.219944000E0,7.848458290E-1
3.802140672E1,5.482554913E0,-8.405387878E0,3.026920557E-1
3.852140672E1,5.487938881E0,-8.106883049E0,5.676971674E-1
3.902140672E1,5.267200947E0,-8.289934158E0,-1.160518974E-1
3.952140672E1,5.003990173E0,-8.233104706E0,2.787638307E-1
4.002140672E1,6.050251961E0,-8.049455643E0,4.797609448E-1
4.052140672E1,5.196014404E0,-8.002795219E0,-2.362912297E-1
