"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.683787530E-1,-6.137663722E-1,3.026835024E-1,3.750709891E-1
7.724831800E-1,-3.747655451E-1,2.519817278E-2,1.394298822E-1
1.276587295E0,-1.740506530E0,-1.196531415E0,-1.882990748E-1
1.780691149E0,-4.268417656E-1,-1.035110354E0,-1.536324978E0
2.284794847E0,4.810560048E-1,-7.067705393E-1,8.078686893E-2
2.788898232E0,5.044215918E-1,-5.009090900E-1,4.653262496E-1
3.293001305E0,1.774562150E-1,-9.178243577E-2,5.389354229E-1
3.797104014E0,3.619373739E-1,-6.530144215E-1,-8.933897316E-2
4.301206357E0,-9.773836471E-3,1.084284950E-2,-6.612611562E-2
4.805308389E0,-1.336266696E-1,6.246092543E-2,3.451386094E-2
5.309410159E0,6.856957078E-2,-1.104138121E-1,8.429934084E-2
5.813511305E0,7.101303339E-2,-7.544180006E-2,1.786779426E-2
6.317611878E0,-2.229656465E-2,-5.390881747E-2,4.825831577E-2
6.821711774E0,1.527161949E-4,2.504545636E-2,-1.328630932E-2
7.325811097E0,5.574141070E-2,-1.221729536E-2,-3.207040206E-2
7.829909899E0,-6.734783947E-2,3.451386094E-2,-1.924224012E-2
8.334008232E0,1.679878123E-2,1.908952370E-2,5.009091273E-2
8.838106149E0,-2.092211880E-2,3.802633286E-2,-4.489856213E-2
9.342203649E0,4.642572254E-2,-3.268126398E-2,1.069013402E-2
9.846300784E0,-4.810560122E-2,4.123337194E-2,-2.428187430E-2
1.035039745E1,-3.588830680E-2,5.467239767E-2,4.718930274E-2
1.085449354E1,5.650499370E-3,-1.374445762E-2,-8.552107029E-3
1.135858907E1,5.467239767E-2,3.176496923E-2,-3.390299529E-2
1.186268417E1,8.597921580E-2,-1.415679157E-1,-1.017089859E-1
1.236677870E1,2.484692484E-1,-3.970620930E-1,-1.756236330E-2
1.287087266E1,-1.156061590E-1,1.886045039E-1,-3.741546720E-2
1.337496620E1,-9.437860548E-2,2.173151523E-1,2.122755162E-2
1.387905959E1,2.138026757E-3,-1.313359290E-2,6.261364091E-3
1.438315297E1,-1.618791744E-2,-9.117157012E-2,3.970621154E-2
1.488724631E1,2.046396956E-2,2.040288299E-1,-2.632827163E-1
1.539133948E1,-1.331685185E-1,-5.528326333E-2,2.822195292E-1
1.589543245E1,-2.596175298E-3,8.063415438E-2,-1.033888608E-1
1.639952506E1,-7.971785218E-2,2.260199748E-2,3.497200832E-2
1.690361761E1,-6.719512492E-2,1.864664704E-1,1.649334840E-2
1.740771058E1,-5.390881747E-2,-5.115992576E-2,6.444623321E-2
1.791180469E1,1.450803876E-2,-4.337139800E-2,-9.636391699E-2
1.841590011E1,1.595884264E-1,-1.049160287E-1,2.565632015E-2
1.891999688E1,-4.367683083E-2,-1.072067693E-1,1.947131455E-1
1.942409443E1,9.865466505E-2,4.428769462E-3,6.108647678E-3
1.992819240E1,-1.131627038E-1,1.554650813E-1,7.406735420E-2
2.043229047E1,7.467821985E-2,-1.069013327E-1,-1.001818255E-1
2.093638865E1,-6.185005978E-2,2.458730713E-2,1.939495653E-2
2.144048667E1,2.733619884E-2,3.344484791E-2,-1.786779426E-2
2.194458448E1,-5.910116807E-2,3.054323979E-2,6.322450191E-2
2.244868193E1,1.041524485E-1,-4.291325063E-2,-8.170316368E-2
2.295277886E1,-4.963276163E-2,7.055488229E-2,-9.162971750E-3
2.345687516E1,-4.581485689E-2,9.987638891E-2,-4.734202102E-2
2.396097084E1,-2.748891478E-3,1.374445739E-3,5.772672221E-2
2.446506589E1,1.041524485E-1,-3.831649423E-1,-6.597339362E-2
2.496916047E1,7.925970852E-2,-1.941022873E-1,-3.130681813E-2
2.547325485E1,-3.359756200E-3,5.436696485E-2,-3.817904973E-3
2.597734912E1,-1.817322709E-2,8.414662629E-2,3.512472380E-3
2.648144318E1,4.123337101E-3,-5.039634649E-3,-8.246674202E-3
2.698553688E1,4.382954910E-2,-7.422006875E-2,-9.621120058E-3
2.748963011E1,-3.695731983E-2,8.536835015E-2,-2.901607752E-2
2.799372282E1,-3.955349326E-2,5.528326333E-2,5.070177838E-2
2.849781511E1,-2.809977904E-2,3.909534588E-2,3.466657549E-2
2.900190714E1,-3.863719851E-2,3.298669681E-2,1.786779426E-2
2.950599870E1,5.192350596E-3,-2.351829410E-2,2.275471389E-2
3.001008985E1,2.794706449E-2,-6.979130208E-2,7.834340632E-2
3.051418078E1,-5.787943676E-2,1.204930767E-1,-7.009673119E-2
3.101827136E1,-7.376192510E-2,3.633118272E-1,3.848448023E-2
3.152236146E1,-1.041524485E-1,-2.596175298E-2,1.111773923E-1
3.202645115E1,1.128572673E-1,-7.941242307E-3,-5.742128938E-2
3.253054032E1,4.734202102E-2,-8.216131479E-2,1.679878100E-3
3.303462912E1,2.060141414E-1,-1.191186346E-2,-1.385135949E-1
3.353871766E1,-4.886918236E-3,-1.679878100E-3,4.520399496E-2
3.404280604E1,-2.107483521E-2,6.108647678E-3,-2.397644334E-2
3.454689412E1,-1.007926930E-2,-8.552107029E-3,6.566796452E-3
3.505098198E1,7.330377586E-3,-7.376192510E-2,4.214967042E-2
3.555506953E1,-7.391463965E-2,-3.588830680E-2,9.376774728E-2
3.605915693E1,2.168569900E-2,1.832594350E-2,-1.195767820E-1
3.656324396E1,-1.027780026E-1,9.529490769E-2,8.384118974E-2
3.706733078E1,6.108647678E-3,-4.428769648E-2,-1.069013379E-3
3.757141730E1,1.374445762E-2,2.641990222E-2,-1.771507785E-2
3.807550360E1,-5.390881747E-2,1.372918636E-1,-1.771507785E-2
3.857958980E1,-6.566796452E-3,-1.435532235E-2,-9.315688163E-3
3.908367584E1,-5.299251899E-2,1.603520103E-2,9.407317638E-2
3.958776177E1,5.100720748E-2,9.346231073E-2,-1.029307172E-1
4.009184756E1,-7.635809481E-2,7.452550530E-2,8.399390429E-2
4.059593313E1,2.748891525E-2,1.282816008E-2,5.955931731E-3
4.110001865E1,-7.284562290E-2,8.292489499E-2,7.987056673E-2
4.160410412E1,-1.111773923E-1,2.759581506E-1,-2.904661894E-1
4.210818964E1,-3.848448023E-2,-8.414662629E-2,5.314523578E-1
4.261227516E1,5.986474827E-2,7.070759684E-2,-3.501782417E-1
4.311636089E1,-1.748600453E-1,2.501491308E-1,1.899789423E-1
4.362044667E1,-1.435532235E-2,1.663079411E-1,-9.086613357E-2
