"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.159159410E-1,4.173226357E-1,1.183631420E0,-2.514247894E-1
3.175578160E-1,-1.931424141E-1,2.059402943E0,-2.021570206E-1
8.175578160E-1,1.254419327E0,1.260428667E0,-7.247071266E-1
1.317557816E0,-2.636118889E0,1.489313483E0,-2.014752865E0
1.817557816E0,-4.130224228E0,-8.697099686E-1,3.695508003E0
2.317557816E0,-1.388863564E0,-2.946764946E0,1.646232605E0
2.817557816E0,3.410472870E-1,5.203962326E-2,1.191472888E0
3.317557816E0,1.622271061E0,1.238581657E0,-8.880802393E-1
3.817557816E0,8.366255760E-1,4.341793060E-2,-1.846448183E-1
4.317557816E0,-8.854379654E-1,-1.160505295E0,2.449238002E-1
4.817557816E0,9.542417526E-2,-6.002173424E-1,-1.698979139E-1
5.317557816E0,-3.125000000E-1,-8.348131180E-2,1.019392833E-1
5.817557816E0,-3.178715706E-1,-5.465922356E-1,-6.010004133E-2
6.317557816E0,-8.020925522E-2,-2.108030319E-1,1.804813743E-2
6.817557816E0,-1.149172783E-1,7.793569565E-2,3.995674849E-2
7.317557816E0,9.243392944E-2,-4.769945145E-2,-1.293888092E-1
7.817557816E0,2.521834373E-1,-4.733276367E-2,-4.908519983E-2
8.317557816E0,-2.125196457E-1,-4.640722275E-2,8.554108441E-2
8.817557816E0,2.080922127E-1,2.468366623E-1,2.913194895E-1
9.317557816E0,8.441972733E-2,-2.385902405E-2,-3.177130222E-2
9.817557816E0,1.490316391E-1,6.841564178E-2,-1.621263027E-1
1.031755782E1,-1.640844345E-2,-9.616184235E-2,-1.934391260E-2
1.081755782E1,2.979917526E-1,7.717990875E-2,-1.089873910E-1
1.131755782E1,-4.580593109E-2,-1.538457870E-1,-1.682719588E-2
1.181755782E1,7.334089279E-2,-3.523101807E-1,-8.032620549E-1
1.231755782E1,-2.610092163E-1,-1.158809662E-2,-5.947470665E-2
1.281755782E1,2.000436783E-1,4.687738419E-2,-8.372437954E-2
1.331755782E1,-9.124135971E-2,3.352856636E-1,-4.382687807E-1
1.381755782E1,-6.853818893E-2,6.508445740E-2,-8.277576566E-1
1.431755782E1,3.171110153E-1,-1.582117081E-1,-4.677799940E-1
1.481755782E1,1.699590683E-2,-1.851887703E-1,3.260758519E-1
1.531755782E1,-8.040738106E-1,1.575393677E-1,-8.366484642E-1
1.581755782E1,8.245725632E-1,3.288803101E-1,3.131316304E-1
1.631755782E1,6.894397736E-2,2.445473671E-1,-2.253196239E-1
1.681755782E1,3.472089767E-1,-4.960684776E-1,4.655219913E-1
1.731755782E1,2.493491173E-1,-9.879589081E-3,-3.369280100E-1
1.781755782E1,1.398825645E-1,4.176950455E-2,1.564174891E-1
1.831755782E1,-4.201173782E-2,-2.395963669E-2,-3.470040560E-1
1.881755782E1,2.301096916E-1,2.908287048E-1,4.409125447E-1
1.931755782E1,-2.826695442E-1,-1.142320633E-1,2.894815207E-1
1.981755782E1,-1.648683548E-1,-4.471874237E-2,-3.360757828E-1
2.031755782E1,1.076030731E-2,6.953239441E-3,-2.573995590E-1
2.081755782E1,-1.303811073E-1,-2.077264786E-1,-2.231752872E-2
2.131755782E1,-5.277395248E-2,5.719852448E-2,-2.621328831E-2
2.181755782E1,6.231403351E-2,-8.673667908E-2,-1.063615084E-1
2.231755782E1,1.714167595E-1,7.745838165E-2,2.855908871E-2
2.281755782E1,-2.379050255E-1,-1.353483200E-1,-9.846520424E-2
2.331755782E1,-1.449351311E-1,-3.537082672E-2,-8.260691166E-2
2.381755782E1,-1.333522797E-2,5.843257904E-2,-1.605199575E-1
2.431755782E1,2.529764175E-2,7.381820679E-2,6.971704960E-2
2.481755782E1,-6.206655502E-2,-6.289196014E-2,2.529702187E-1
2.531755782E1,2.132940292E-2,1.704216003E-2,-1.280524731E-1
2.581755782E1,6.425285339E-2,-9.996414185E-3,5.791258812E-2
2.631755782E1,-8.795213699E-2,-8.293628693E-2,-3.523945808E-2
2.681755782E1,1.513485909E-1,1.207733154E-2,3.720545769E-2
2.731755782E1,1.161108017E-1,-3.698635101E-2,5.158209801E-2
2.781755782E1,3.063535690E-2,-5.557727814E-2,-1.434643269E-1
2.831755782E1,1.804132462E-1,1.048216820E-1,-5.157017708E-2
2.881755782E1,-5.084228516E-2,-2.861309052E-2,4.844355583E-2
2.931755782E1,-2.241659164E-2,-7.898330688E-3,-2.707552910E-2
