"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.010127656E0,5.233803471E1,4.868832390E0,3.591210171E0,3.829999924E0,3.571000061E2,1.148431969E1,1.088503456E1
3.010106405E0,5.233807425E1,4.868818160E0,6.186777680E0,4.590000153E0,3.587000122E2,8.017366409E0,7.653841496E0
4.009557343E0,5.233814552E1,4.868785210E0,6.679229699E0,6.429999828E0,3.580000000E2,6.841647148E0,6.415762901E0
5.009705779E0,5.233822427E1,4.868775420E0,6.398939401E0,8.359999657E0,3.585000000E2,5.872142315E0,5.392647743E0
6.009639685E0,5.233828684E1,4.868764660E0,5.698703903E0,8.909999847E0,3.581000061E2,5.848040581E0,5.108585835E0
7.009813227E0,5.233836390E1,4.868752660E0,6.223219531E0,9.109999657E0,3.537999878E2,6.358638763E0,5.542476654E0
8.010207498E0,5.233846477E1,4.868742800E0,6.449918327E0,1.132999992E1,3.567000122E2,6.669202328E0,6.061636448E0
9.010249216E0,5.233856670E1,4.868731080E0,6.768353389E0,1.122000027E1,3.592999878E2,7.236632347E0,6.363248825E0
1.000963640E1,5.233865204E1,4.868715940E0,6.537446738E0,1.039999962E1,3.563999939E2,7.615282059E0,6.631131649E0
1.101002119E1,5.233874707E1,4.868706290E0,6.580238510E0,1.039999962E1,3.553999939E2,1.028566074E1,7.227097034E0
1.201027583E1,5.233885946E1,4.868701080E0,7.114634404E0,1.134000015E1,3.573999939E2,1.028719616E1,7.573395252E0
1.300984187E1,5.233900330E1,4.868668390E0,8.440013394E0,1.306999969E1,3.537999878E2,7.654640675E0,6.906688213E0
1.400985588E1,5.233911769E1,4.868664980E0,8.420702195E0,1.297000027E1,3.576000061E2,6.595824242E0,6.346139908E0
1.501033093E1,5.233923627E1,4.868634600E0,8.466689050E0,1.286999989E1,3.562999878E2,6.684944630E0,5.909222126E0
1.601000364E1,5.233933606E1,4.868628900E0,9.071257359E0,1.214999962E1,3.577999878E2,7.063889027E0,6.033382893E0
1.700984833E1,5.233942631E1,4.868621390E0,1.077108709E1,1.113000011E1,3.571000061E2,6.198835373E0,5.813500881E0
1.800959234E1,5.233952286E1,4.868613730E0,1.193656280E1,1.138000011E1,3.562999878E2,5.638258934E0,5.410664558E0
