"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.823362530E-1,-6.037500381E0,-1.906875038E1,-3.249375153E1
7.823362530E-1,-6.525000095E0,-1.380000019E1,-3.391875076E1
1.282336253E0,-1.091250038E1,-5.400000095E0,-3.245625305E1
1.782336253E0,-1.833750153E1,2.625000179E-1,-2.568750191E1
2.282336253E0,-2.321250153E1,3.562500179E-1,-1.711875153E1
2.782336253E0,-2.392500114E1,1.668750048E0,-8.231250763E0
3.282336253E0,-2.475000191E1,5.156250000E0,-4.500000179E-1
3.782336253E0,-2.456250191E1,9.468750000E0,5.193750381E0
4.282336253E0,-2.595000076E1,1.636875153E1,1.554375076E1
4.782336253E0,-2.893125153E1,2.105625153E1,2.611875153E1
5.282336253E0,-2.973750114E1,2.276250076E1,3.613125229E1
5.782336253E0,-2.748750114E1,2.409375191E1,4.368750000E1
6.282336253E0,-2.488125038E1,2.683125114E1,4.873125076E1
6.782336253E0,-2.396250153E1,2.829375076E1,5.128125381E1
7.282336253E0,-2.206875038E1,2.863125038E1,5.169375229E1
7.782336253E0,-2.055000114E1,2.831250191E1,5.191875076E1
8.282336253E0,-1.950000000E1,2.891250038E1,5.116875076E1
8.782336253E0,-1.623750114E1,3.108750153E1,5.064375305E1
9.282336253E0,-1.389375019E1,3.453750229E1,5.034375381E1
9.782336253E0,-1.177500057E1,3.746250153E1,5.043750381E1
1.028233625E1,-9.281250000E0,4.018125153E1,5.038125229E1
1.078233625E1,-7.106250286E0,4.246875000E1,5.025000381E1
1.128233625E1,-6.262500286E0,4.093125153E1,5.053125381E1
1.178233625E1,-7.781250477E0,3.853125000E1,4.980000305E1
1.228233625E1,-8.550000191E0,3.611250305E1,4.916250229E1
1.278233625E1,-9.037500381E0,3.354375076E1,4.771875000E1
1.328233625E1,-8.418750763E0,2.835000038E1,4.449375153E1
1.378233625E1,-1.170000076E1,2.595000076E1,3.873750305E1
1.428233625E1,-1.500000095E1,2.456250191E1,3.416250229E1
