"Time (s)","Pressure (hPa)"
4.238834410E-1,1.018714966E3
9.238877110E-1,1.018719482E3
1.423885107E0,1.018924316E3
1.923897711E0,1.018831299E3
2.424024639E0,1.018646606E3
2.923896514E0,1.018664185E3
3.423888649E0,1.018739746E3
3.923896982E0,1.018799072E3
4.423881930E0,1.018734741E3
4.923902191E0,1.018734375E3
5.424061722E0,1.018703003E3
5.923879743E0,1.018711304E3
6.423879951E0,1.018702393E3
6.923871566E0,1.018704468E3
7.423927711E0,1.018693481E3
7.923883805E0,1.018687134E3
8.424017607E0,1.018699219E3
8.924072191E0,1.018700928E3
9.423868545E0,1.018692993E3
9.923905784E0,1.018672363E3
1.042386568E1,1.018673340E3
1.092389636E1,1.018692627E3
1.142406224E1,1.018691772E3
1.192389594E1,1.018718628E3
1.242387162E1,1.018719971E3
1.292389287E1,1.018712891E3
1.342385375E1,1.018719727E3
1.392388698E1,1.018716064E3
1.442408313E1,1.018713867E3
1.492389568E1,1.018695068E3
1.542389552E1,1.018691406E3
1.592389485E1,1.018651489E3
1.642388578E1,1.018631592E3
1.692389683E1,1.018628418E3
1.742399636E1,1.018613892E3
1.792390594E1,1.018623535E3
1.842400115E1,1.018631226E3
1.892390631E1,1.018547241E3
1.942388412E1,1.018578125E3
1.992398995E1,1.018598877E3
2.020518459E1,1.018590820E3
2.030517792E1,1.018590820E3
2.080517792E1,1.018562256E3
2.130517792E1,1.018531250E3
2.180517792E1,1.018520752E3
2.230517792E1,1.018519775E3
2.280517792E1,1.018497925E3
2.330517792E1,1.018473022E3
2.380517792E1,1.018454102E3
2.430517792E1,1.018453979E3
2.480517792E1,1.018450806E3
2.530517792E1,1.018439941E3
2.580517792E1,1.018423340E3
2.630517792E1,1.018428589E3
2.680517792E1,1.018434082E3
2.730517792E1,1.018436523E3
2.780517792E1,1.018427368E3
2.830517792E1,1.018442261E3
2.880517792E1,1.018441040E3
2.930517792E1,1.018431274E3
2.980517792E1,1.018425781E3
3.030517792E1,1.018368286E3
3.080517792E1,1.018390259E3
3.130517792E1,1.018398804E3
3.180517792E1,1.018354858E3
3.230517792E1,1.018357178E3
3.280517792E1,1.018372925E3
3.330517792E1,1.018385620E3
3.380517792E1,1.018373169E3
3.430517792E1,1.018343384E3
3.480517792E1,1.018355591E3
3.530517792E1,1.018351929E3
3.580517792E1,1.018357422E3
3.630517792E1,1.018390991E3
3.680517792E1,1.018384644E3
3.730517792E1,1.018378418E3
3.780517792E1,1.018388184E3
3.830517792E1,1.018378540E3
3.880517792E1,1.018378052E3
3.930517792E1,1.018383789E3
3.980517792E1,1.018371460E3
4.030517792E1,1.018367920E3
4.080517792E1,1.018400146E3
4.130517792E1,1.018394531E3
4.180517792E1,1.018370850E3
4.230517792E1,1.018366455E3
4.280517792E1,1.018357788E3
4.330517792E1,1.018356323E3
4.380517792E1,1.018354248E3
4.430517792E1,1.018355469E3
4.480517792E1,1.018342651E3
4.530517792E1,1.018345825E3
4.580517792E1,1.018306396E3
4.630517792E1,1.018302612E3
4.680517792E1,1.018303467E3
4.730517792E1,1.018283691E3
4.780517792E1,1.018260986E3
4.830517792E1,1.018308960E3
4.880517792E1,1.018372925E3
