"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-5.730621815E-1,1.632520199E0,-2.130908966E-1
0.000000000E0,1.595639706E0,3.601484299E-1,1.952934265E-1
4.576037650E-1,-1.243260622E0,1.733730197E0,4.179582596E-1
9.576037650E-1,7.654013634E-1,-6.041861534E0,6.694776416E-1
1.457603765E0,1.261632442E0,-3.816614151E0,-2.135722637E-1
1.957603765E0,-1.706221104E0,-2.404898643E0,1.125235081E0
2.457603765E0,6.107597351E-1,-2.755748272E0,1.052870989E0
2.957603765E0,4.348747730E-1,-2.385610580E0,1.713357449E0
3.457603765E0,3.777112961E-1,-2.705340862E0,2.322170258E0
3.957603765E0,5.883669853E-1,-2.938923359E0,7.516078949E-1
4.457603765E0,-3.475065231E-1,1.010911465E0,1.288677692E0
4.957603765E0,5.231122971E-1,-1.131338120E0,1.681500673E0
5.457603765E0,-2.077657700E0,2.103490353E0,3.085062504E-1
5.957603765E0,-3.595333815E0,-2.703090668E0,2.000932932E0
6.457603765E0,6.292107105E-1,2.940455914E0,1.707023978E0
6.957603765E0,-3.710887909E0,1.107672691E0,-2.540382624E0
7.457603765E0,-2.666197777E0,1.368412971E-1,2.158339977E0
7.957603765E0,-1.001811981E0,1.721253395E0,4.235672951E-1
8.457603765E0,-3.968270540E0,-4.526410103E-1,1.897535205E0
8.957603765E0,-2.541433811E0,1.872591496E0,4.338047504E-1
9.457603765E0,-3.475342989E0,-1.704679489E0,1.332203150E0
9.957603765E0,-1.262149096E0,3.053999424E0,1.272449493E-1
1.045760376E1,-2.865628481E0,-6.472835064E0,2.676150799E0
1.095760376E1,3.564656258E0,-1.307803154E0,2.775686979E0
1.145760376E1,-1.381835938E-1,-3.284995079E0,1.638186455E0
1.195760376E1,3.071711540E0,-2.412704468E0,3.118696451E0
1.245760376E1,-2.838520050E0,-3.413297176E0,2.017398834E0
1.295760376E1,5.220713615E0,-2.460656166E0,2.345894337E0
1.345760376E1,-2.451799154E0,-3.175936222E0,1.752559543E0
1.395760376E1,2.248263836E0,-2.439469337E0,8.572306633E-1
1.445760377E1,6.120518684E0,-1.893648148E0,5.864596367E-1
1.495760377E1,4.985955238E0,-2.541307449E0,4.220888615E-1
1.545760377E1,1.155754566E0,-3.506938934E0,1.154015541E0
1.595760377E1,4.841315269E0,1.535377502E-1,-1.533119678E-1
1.645760376E1,1.066885710E0,-2.974645615E0,1.997200489E0
1.695760376E1,3.986988068E0,1.179643154E0,2.114818573E0
1.745760376E1,-9.243936539E-1,-1.995325565E0,-2.910380363E-1
1.795760376E1,9.124398232E-1,2.172947884E0,2.696872234E0
1.845760376E1,7.878637314E-1,8.212428093E-1,-3.687858582E-2
1.895760376E1,-1.898466349E0,7.740688324E-1,3.088690996E0
1.945760376E1,1.119820595E0,2.149624348E0,-1.416387200E0
1.995760376E1,-1.931124926E0,-6.980104446E-1,3.492357969E0
2.045760376E1,2.399280071E-1,3.102048874E0,-5.086135864E-1
2.095760376E1,-2.873198271E0,-2.134923458E0,2.402105331E0
2.145760376E1,-1.026349783E0,1.789728642E0,1.553874016E-1
2.195760376E1,-3.672693491E0,-3.114437103E0,1.440140486E0
2.245760376E1,8.347859383E-1,1.598781586E0,2.971529961E-1
2.295760376E1,-2.316050768E0,-2.885123730E0,2.102082729E0
2.345760376E1,-1.931911230E0,4.819688797E-1,-1.048972607E-1
2.395760376E1,-1.931911230E0,4.819688797E-1,-1.048972607E-1
2.445760376E1,1.434321165E0,-7.447204590E-1,2.552379847E0
2.495760376E1,-3.854316473E0,-1.998489857E0,1.087262273E0
2.545760376E1,2.106272936E0,-9.920120239E-1,1.560710549E0
2.595760376E1,-4.703537941E0,-2.423235416E0,1.633754015E0
