"Time (s)","Pressure (hPa)"
4.250441290E-1,1.011000488E3
9.250315250E-1,1.011008301E3
1.425031838E0,1.011043335E3
1.925032775E0,1.011078369E3
2.425032306E0,1.011104614E3
2.925032306E0,1.011060181E3
3.425033348E0,1.011126831E3
3.925033036E0,1.011112671E3
4.425033296E0,1.011067993E3
4.925030744E0,1.011101807E3
5.425029442E0,1.011136597E3
5.925029963E0,1.011186401E3
6.425032567E0,1.011098755E3
6.925012931E0,1.011023438E3
7.425031994E0,1.011109131E3
7.925031265E0,1.011091675E3
8.425031421E0,1.011146851E3
8.925030952E0,1.011089722E3
9.425136213E0,1.011115234E3
9.925033296E0,1.011118774E3
1.042503179E1,1.011099976E3
1.092503100E1,1.011105347E3
1.142503153E1,1.011208740E3
1.192503184E1,1.011093140E3
1.242503199E1,1.011081055E3
1.292503210E1,1.011182129E3
1.342503642E1,1.011161987E3
1.392503163E1,1.011112427E3
1.442502043E1,1.011130859E3
1.492501126E1,1.011111938E3
1.542501262E1,1.011118530E3
1.592500533E1,1.011146973E3
1.642500080E1,1.011099976E3
1.692500413E1,1.011156006E3
1.742500569E1,1.011206055E3
1.792503965E1,1.011150879E3
1.842501637E1,1.011078491E3
1.892505168E1,1.011103516E3
1.942504074E1,1.011100586E3
1.992504017E1,1.011128784E3
2.020311059E1,1.011189697E3
2.030303439E1,1.011115479E3
2.080303439E1,1.011111084E3
2.130303439E1,1.011131348E3
2.180303439E1,1.011085205E3
2.230303439E1,1.011173096E3
2.280303439E1,1.011093262E3
2.330303439E1,1.011194824E3
2.380303439E1,1.011129272E3
2.430303439E1,1.011161621E3
2.480303439E1,1.011172241E3
2.530303439E1,1.011176758E3
2.580303439E1,1.011123047E3
2.630303439E1,1.011190674E3
2.680303439E1,1.011150879E3
2.730303439E1,1.011148926E3
2.780303439E1,1.011141235E3
2.830303439E1,1.011108276E3
2.880303439E1,1.011130249E3
2.930303439E1,1.011141479E3
2.980303439E1,1.011121826E3
3.030303439E1,1.011169556E3
3.080303439E1,1.011122192E3
3.130303439E1,1.011131348E3
3.180303439E1,1.011143066E3
3.230303439E1,1.011129150E3
3.280303439E1,1.011119629E3
3.330303439E1,1.011162598E3
3.380303439E1,1.011133057E3
3.430303439E1,1.011158813E3
3.480303439E1,1.011124146E3
3.530303439E1,1.011131592E3
3.580303439E1,1.011143311E3
3.630303439E1,1.011152100E3
3.680303439E1,1.011121094E3
3.730303439E1,1.011176514E3
3.780303439E1,1.011128540E3
3.830303439E1,1.011118286E3
3.880303439E1,1.011155151E3
3.930303439E1,1.011128174E3
3.980303439E1,1.011136963E3
4.030303439E1,1.011147705E3
4.080303439E1,1.011067383E3
4.130303439E1,1.011166992E3
4.180303439E1,1.011101074E3
4.230303439E1,1.011124756E3
4.280303439E1,1.011140869E3
4.330303439E1,1.011128052E3
4.380303439E1,1.011130615E3
4.430303439E1,1.011155762E3
4.480303439E1,1.011101318E3
4.530303439E1,1.011096680E3
4.580303439E1,1.011115601E3
4.630303439E1,1.011111328E3
4.680303439E1,1.011144043E3
4.730303439E1,1.011140381E3
4.780303439E1,1.011105957E3
4.830303439E1,1.011106323E3
4.880303439E1,1.011133667E3
4.930303439E1,1.011102905E3
4.980303439E1,1.011150635E3
5.030303439E1,1.011107788E3
5.080303439E1,1.011100220E3
5.130303439E1,1.011150635E3
5.180303439E1,1.011138306E3
5.230303439E1,1.011077759E3
5.280303439E1,1.011144653E3
5.330303439E1,1.011107056E3
5.380303439E1,1.011095581E3
5.430303439E1,1.011137085E3
5.480303439E1,1.011095581E3
5.530303439E1,1.011141602E3
