"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.243427341E0,5.233376648E1,4.862711450E0,3.671573522E1,0.000000000E0,NaN,9.243388176E0,8.978348732E0
5.242721249E0,5.233373979E1,4.862759730E0,3.272689475E1,1.019999981E0,7.569999695E1,7.862379074E0,7.492051601E0
6.243061716E0,5.233373125E1,4.862785610E0,2.963308651E1,7.099999785E-1,7.669999695E1,7.384164810E0,7.138929844E0
7.242661091E0,5.233371833E1,4.862804510E0,2.479286920E1,1.139999986E0,7.559999847E1,8.371013641E0,7.307710171E0
8.242739580E0,5.233371391E1,4.862812900E0,2.355562413E1,1.320000052E0,9.350000000E1,8.132230759E0,7.506287098E0
9.242975882E0,5.233371425E1,4.862826880E0,2.296798612E1,1.289999962E0,8.500000000E1,8.159545898E0,7.582930565E0
1.024273390E1,5.233370757E1,4.862844780E0,2.221359244E1,1.210000038E0,9.750000000E1,7.253378868E0,6.648965359E0
1.124290390E1,5.233370501E1,4.862858660E0,2.054575010E1,1.149999976E0,8.869999695E1,6.668383121E0,6.265350342E0
1.224296333E1,5.233370595E1,4.862871280E0,2.045957700E1,1.039999962E0,9.200000000E1,6.446796894E0,6.022228241E0
1.324363213E1,5.233370529E1,4.862885050E0,1.932939596E1,1.070000052E0,9.219999695E1,6.306061745E0,5.882764339E0
1.424349916E1,5.233370517E1,4.862900100E0,1.911321788E1,1.210000038E0,9.259999847E1,6.385865688E0,6.031271935E0
1.524316301E1,5.233370494E1,4.862917210E0,1.957685039E1,1.179999948E0,9.059999847E1,6.494253159E0,6.189572811E0
1.624272661E1,5.233370596E1,4.862934070E0,2.024476919E1,1.159999967E0,8.650000000E1,6.065735817E0,5.623987198E0
1.724307171E1,5.233370607E1,4.862951170E0,2.018295051E1,1.200000048E0,8.890000153E1,6.165321350E0,5.796253681E0
1.824357906E1,5.233370685E1,4.862968880E0,2.009409455E1,1.210000038E0,8.550000000E1,6.306391239E0,6.032173157E0
1.924345577E1,5.233370884E1,4.862985430E0,2.018285194E1,1.179999948E0,7.840000153E1,5.950093269E0,5.649756908E0
2.024309260E1,5.233371078E1,4.863002200E0,2.009991748E1,1.220000029E0,7.490000153E1,5.792085648E0,5.640355110E0
2.124288827E1,5.233371142E1,4.863018770E0,1.960438343E1,1.200000048E0,8.330000305E1,5.929789543E0,5.716991425E0
