"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.934386520E-1,-7.462500095E0,-1.575000048E0,-3.701250076E1
7.934386520E-1,-7.425000191E0,1.016250038E1,-2.169375038E1
1.293438652E0,-2.887500048E0,1.828125000E1,-9.637500763E0
1.793438652E0,-2.062500000E0,2.178750038E1,-3.600000143E0
2.293438652E0,-1.856250048E0,2.343750000E1,7.125000358E-1
2.793438652E0,-7.312500477E-1,2.488125038E1,3.787500143E0
3.293438652E0,3.000000119E-1,2.623125076E1,5.625000000E0
3.793438652E0,1.125000000E0,2.715000153E1,7.218750477E0
4.293438652E0,3.525000095E0,3.176250076E1,1.389375019E1
4.793438652E0,5.268750191E0,3.320625305E1,1.680000114E1
5.293438652E0,4.781250000E0,3.305625153E1,1.640625000E1
5.793438652E0,5.193750381E0,3.335625076E1,1.635000038E1
6.293438652E0,4.350000381E0,3.346875000E1,1.606875038E1
6.793438652E0,3.600000143E0,3.378750229E1,1.584375095E1
7.293438652E0,3.206250191E0,3.435000229E1,1.569375038E1
7.793438652E0,1.406250000E0,3.425625229E1,1.567500019E1
8.293438652E0,-1.687500030E-1,3.450000000E1,1.591875076E1
8.793438652E0,-1.612500072E0,3.465000153E1,1.603125000E1
9.293438652E0,-2.343750000E0,3.532500076E1,1.640625000E1
9.793438652E0,-4.443750381E0,3.472500229E1,1.676250076E1
1.029343865E1,-4.443750381E0,3.530625153E1,1.661250114E1
1.079343865E1,-5.568750381E0,3.461250305E1,1.683750153E1
1.129343865E1,-6.937500477E0,3.382500076E1,1.696875000E1
1.179343865E1,-6.975000381E0,3.345000076E1,1.710000038E1
1.229343865E1,-7.406250477E0,3.303750229E1,1.681875038E1
1.279343865E1,-7.650000095E0,3.240000153E1,1.700625038E1
1.329343865E1,-7.537500381E0,3.165000153E1,1.728750038E1
1.379343865E1,-6.600000381E0,3.153750038E1,1.753125000E1
1.429343865E1,-5.793750286E0,3.112500191E1,1.798125076E1
1.479343865E1,-5.287500381E0,3.101250076E1,1.796250153E1
1.529343865E1,-4.293750286E0,3.112500191E1,1.805625153E1
1.579343865E1,-3.975000143E0,3.099375153E1,1.794375038E1
1.629343865E1,-3.300000191E0,3.088125038E1,1.830000114E1
1.679343865E1,-3.131250143E0,3.084375191E1,1.803750038E1
1.729343865E1,-2.793750048E0,3.078750038E1,1.801875114E1
1.779343865E1,-2.568750143E0,3.090000153E1,1.794375038E1
1.829343865E1,-2.381250143E0,3.099375153E1,1.775625038E1
1.879343865E1,-2.343750000E0,3.108750153E1,1.758750153E1
1.929343865E1,-2.250000000E0,3.097500038E1,1.758750153E1
1.979343865E1,-2.250000000E0,3.103125191E1,1.741875076E1
2.029343865E1,-2.643750191E0,3.078750038E1,1.726875114E1
2.079343865E1,-2.793750048E0,3.048750114E1,1.734375000E1
2.129343865E1,-3.225000143E0,3.016875076E1,1.730625153E1
2.179343865E1,-3.731250048E0,2.979375076E1,1.698750114E1
2.229343865E1,-4.181250095E0,2.936250114E1,1.702500153E1
2.279343865E1,-4.181250095E0,2.917500114E1,1.711875153E1
2.329343865E1,-4.987500191E0,2.844375038E1,1.723125076E1
2.379343865E1,-4.725000381E0,2.846250153E1,1.725000000E1
2.429343865E1,-4.668750286E0,2.835000038E1,1.717500114E1
2.479343865E1,-3.431250095E0,2.923125076E1,1.657500076E1
2.529343865E1,-2.831250191E0,2.936250114E1,1.655625153E1
2.579343865E1,-1.781250119E0,3.000000191E1,1.655625153E1
2.629343865E1,-1.818750024E0,2.970000076E1,1.665000153E1
2.679343865E1,-9.750000238E-1,3.028125191E1,1.610625076E1
2.729343865E1,-7.125000358E-1,3.031875038E1,1.591875076E1
2.779343865E1,-2.250000089E-1,3.052500153E1,1.565625095E1
2.829343865E1,-5.812500119E-1,3.005625153E1,1.561875057E1
2.879343865E1,-1.012500048E0,2.968125153E1,1.591875076E1
2.929343865E1,-1.950000048E0,2.908125114E1,1.578750038E1
2.979343865E1,-1.950000048E0,2.906250191E1,1.563750076E1
3.029343865E1,-2.193750143E0,2.915625191E1,1.516875076E1
3.079343865E1,-2.043750048E0,2.919375038E1,1.528125095E1
3.129343865E1,-2.493750095E0,2.915625191E1,1.494375038E1
3.179343865E1,-2.512500048E0,2.913750076E1,1.503750038E1
3.229343865E1,-2.568750143E0,2.923125076E1,1.466250038E1
3.279343865E1,-2.418750048E0,2.915625191E1,1.485000038E1
3.329343865E1,-2.081250191E0,2.949375153E1,1.485000038E1
3.379343865E1,-1.856250048E0,2.930625153E1,1.526250076E1
3.429343865E1,-1.406250000E0,2.955000114E1,1.522500038E1
3.479343865E1,-1.500000000E0,2.955000114E1,1.496250057E1
3.529343865E1,-1.181250095E0,2.988750076E1,1.471875095E1
3.579343865E1,-1.443750024E0,2.968125153E1,1.440000057E1
