"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.972971000E-3,1.810768485E0,3.957728624E0,5.423332691E0
2.297765800E-2,1.647458434E0,4.470989227E0,5.172086239E0
5.229776580E-1,2.657229662E0,-5.294120312E-1,1.959123492E0
1.022977658E0,8.486145973E0,-7.895118237E0,7.579265833E-1
1.522977658E0,5.495715618E0,-1.020000458E1,1.566700578E0
2.022977658E0,1.195334530E1,-1.023948669E1,3.032902777E-1
2.522977658E0,4.035495281E0,-1.294217968E1,2.402393818E0
3.022977658E0,7.969893932E0,-1.080000496E1,-1.928615093E0
3.522977658E0,5.736194134E0,-6.236892223E0,-3.238087177E0
4.022977658E0,8.110472679E0,-6.494120598E0,1.621137381E0
4.522977658E0,4.441078663E0,-3.951746702E0,-3.918246984E0
5.022977658E0,8.931210637E-1,-8.090731621E0,1.261615753E0
5.522977658E0,4.444668293E0,-4.222733974E0,-2.276770830E0
6.022977658E0,4.447659016E0,-6.771687984E0,9.870393574E-2
6.522977658E0,1.031904793E1,-1.315932846E1,5.234299302E-1
7.022977658E0,2.664407969E0,-1.608335686E1,1.494317770E0
7.522977658E0,9.816555023E0,-8.990432739E0,-2.877967358E0
8.022977658E0,6.004788399E0,-8.266005516E0,4.007977992E-2
8.522977658E0,3.619742393E0,-5.536991596E0,2.094317913E0
9.022977658E0,4.244867325E0,-4.039084435E0,-4.055236340E0
9.522977658E0,1.210768223E0,-8.182256699E0,-2.318047047E0
1.002297766E1,4.545166492E0,-1.039741230E1,5.228317380E-1
1.052297766E1,3.019742250E0,-1.117747307E1,3.014956415E-1
1.102297766E1,7.760521889E0,-1.328794193E1,1.543968797E0
1.152297766E1,1.564906001E0,-1.369472218E1,1.992024779E-1
1.202297766E1,6.729813576E0,-1.002712345E1,4.354937077E-1
1.252297766E1,2.657827854E0,-5.811567783E0,-1.414756417E0
1.302297766E1,4.677968323E-1,-6.775277138E0,5.694918036E-1
1.352297766E1,4.734199524E0,-3.376870871E0,-2.458625317E0
1.402297766E1,3.440878868E0,-8.285746574E0,-3.126222849E0
1.452297766E1,5.967699528E0,-1.150349522E1,1.405783296E0
1.502297766E1,4.935196877E0,-1.314317703E1,5.778666735E-1
1.552297766E1,1.212323570E1,-9.921838760E0,-4.390829504E-1
1.602297766E1,3.174677372E0,-1.251087284E1,-1.609173268E-1
1.652297766E1,7.663014412E0,-9.604789734E0,3.095116138E0
1.702297766E1,1.722832322E0,-6.511468410E0,-2.274377823E0
1.752297766E1,1.217348576E0,-6.482754707E0,1.462612867E0
1.802297766E1,3.616153240E0,-4.417150497E0,-2.797807932E0
1.852297766E1,1.475175142E0,-6.462415695E0,-1.668993831E0
1.902297766E1,4.125226021E0,-7.714460373E0,-5.383851007E-2
1.952297766E1,2.844467878E0,-1.036391354E1,-1.118644550E-1
2.002297766E1,7.205985546E0,-1.279561901E1,2.940180779E0
2.052297766E1,1.604387641E0,-1.348594856E1,1.869990945E0
2.102297766E1,8.946166039E0,-1.176012516E1,4.989035130E-1
2.152297766E1,1.177268744E0,-1.313001633E1,-8.344969153E-1
2.202297766E1,1.324068451E1,-8.843872070E0,6.334998012E-1
2.252297766E1,6.552744865E0,-7.065407276E0,-1.440479279E0
2.302297766E1,4.401597023E0,-8.196614265E0,2.223530531E0
2.352297766E1,6.033502102E0,-5.892923832E0,-2.483749866E0
2.402297766E1,2.788236618E0,-9.677771568E0,9.349954724E-1
2.452297766E1,5.827719688E0,-9.762716293E0,8.099704385E-1
2.502297766E1,2.620738983E0,-1.135633659E1,-2.904886723E0
2.552297766E1,8.279166222E0,-1.242174053E1,3.670589924E0
2.602297766E1,1.427318692E0,-1.159083271E1,7.962117195E-1
2.652297766E1,1.076949692E1,-1.090050316E1,7.004988194E-1
2.702297766E1,1.976471543E0,-1.206820107E1,-8.793623447E-1
2.752297766E1,8.398807526E0,-9.476774216E0,2.141576260E-1
2.802297766E1,6.040680885E0,-6.564708710E0,-1.560120344E0
2.852297766E1,2.483749866E0,-8.213961601E0,7.130611539E-1
