"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.699572940E-1,-1.087797403E0,-9.404263496E-1,6.084213257E-1
7.740702630E-1,-9.048434496E-1,-1.813810229E0,1.841299176E0
1.278183388E0,3.298669755E-1,-4.471530318E-1,-1.598938584E0
1.782296773E0,-3.909534514E-1,5.013672709E-1,2.099847794E0
2.286410158E0,-2.547306120E-1,-1.803578287E-1,-1.385441303E0
2.790523544E0,3.486510813E-1,-3.000873327E-1,9.699005485E-1
3.294636825E0,-1.224783882E-1,4.517345130E-1,-5.671879649E-1
3.798749950E0,-1.870773435E-1,-8.151990771E-1,-9.926552325E-2
4.302862919E0,-2.478583902E-1,4.276053309E-1,-1.930332631E-1
4.806975731E0,3.040579557E-1,-6.937896609E-1,-3.649916947E-1
5.311088388E0,-7.223475724E-2,3.492619395E-1,5.141954422E-1
5.815200835E0,3.556760252E-1,-1.334434152E0,3.191768378E-2
6.319313023E0,-5.890263915E-1,1.109941363E0,8.973603845E-1
6.823425002E0,-5.667297840E-1,1.873827726E-1,-1.055574298E0
7.327536721E0,7.509055138E-1,-5.523744822E-1,1.213330150E0
7.831648231E0,-9.544762224E-2,4.172206521E-1,-6.313287616E-1
8.335759481E0,-3.620901108E-1,-5.088503361E-1,-1.597411335E-1
8.839870471E0,-9.117157012E-2,6.041452885E-1,1.916588247E-1
9.343981200E0,-1.119409725E-1,-5.235111117E-1,-8.089376688E-1
9.848091617E0,-5.093085170E-1,5.050324798E-1,1.042746186E0
1.035220177E1,5.635227636E-2,-7.806851864E-1,-1.050840139E0
1.085631156E1,2.921460867E-1,2.536616027E-1,1.069471478E0
1.136042099E1,-2.987128794E-1,1.388190240E-1,-7.186824083E-1
1.186453000E1,1.304196268E-1,-3.680460155E-1,3.312414289E-1
1.236863870E1,-1.928805560E-1,2.237292230E-1,-2.229656465E-2
1.287274714E1,-1.055268943E-1,-2.845102847E-1,-2.370155305E-1
1.337685526E1,-5.604684353E-2,2.725984156E-1,1.521053314E-1
1.388096313E1,-2.700022459E-1,-4.343248606E-1,-5.019781590E-1
1.438507063E1,-5.731438994E-1,6.214022040E-1,1.145829558E0
1.488917776E1,2.286161482E-1,-3.633118272E-1,-1.337946534E0
1.539328453E1,2.200640440E-1,-3.866774142E-1,9.086613655E-1
1.589739094E1,7.452550530E-2,1.009454057E-1,-8.266527653E-1
1.640149703E1,-2.669478953E-1,3.886627257E-1,9.077450633E-1
1.690560282E1,-1.557705253E-1,4.608974755E-1,1.498145908E-1
1.740970823E1,1.469129771E-1,-4.601338804E-1,-6.365211010E-1
1.791381328E1,-3.233001828E-1,2.687804997E-1,3.998109996E-1
1.841791808E1,1.328630932E-2,-3.559814394E-1,-8.210022449E-1
1.892202250E1,-1.243109852E-1,2.729038298E-1,9.453132749E-1
1.942612656E1,-2.602283955E-1,-2.272416949E-1,-1.156061649E0
1.993023021E1,2.199113183E-2,-4.948004708E-2,1.161712050E0
2.043433349E1,-1.426369250E-1,-3.220784664E-1,-9.259182811E-1
2.093843641E1,1.985310465E-1,-3.597993553E-1,5.962040424E-1
2.144253907E1,-2.377791107E-1,3.031416535E-1,-3.488037884E-1
2.194664141E1,-2.064722925E-1,-1.640172005E-1,-8.593340516E-1
2.245074344E1,-1.023198515E-1,4.786125422E-1,7.353284955E-1
2.295484516E1,1.672242284E-1,1.693622619E-1,-7.506000996E-1
2.345894656E1,-8.255837560E-1,1.447749585E-1,1.313664675E0
2.396304761E1,6.563742161E-1,-9.834923148E-1,-1.722638726E0
2.446714823E1,-3.903425932E-1,4.419606626E-1,2.181092739E0
2.497124849E1,-2.238819450E-1,1.769980639E-1,-2.095113516E0
2.547534828E1,-6.597339362E-2,-2.930623889E-1,1.692095399E0
2.597944761E1,6.459894776E-2,-7.223475724E-2,-1.025183797E0
2.648354651E1,-2.926042378E-1,-5.925388262E-2,3.714057803E-1
2.698764500E1,-1.064431891E-1,4.289797843E-1,3.234528899E-1
2.749174297E1,6.490438432E-2,-3.353647590E-1,-7.718276381E-1
2.799584058E1,-4.225656986E-1,4.805978537E-1,9.889900684E-1
