"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,1.144910097E0,1.344687462E0,1.416244984E0
1.594989080E-1,-5.042710304E-1,2.280549526E0,-1.492742538E0
6.594989080E-1,-3.819239616E0,4.699798584E0,5.331758022E0
1.159498908E0,6.708523750E0,-3.111940861E0,4.602872372E0
1.659498908E0,-4.045152664E0,-5.409502983E0,-8.177285790E-1
2.159498908E0,4.598580837E0,2.311722279E0,-1.931906939E0
2.659498908E0,-1.209849596E0,-3.458874702E0,-2.930929184E0
3.159498908E0,1.766865253E0,-7.341613770E-1,1.019487143E0
3.659498908E0,-8.703505993E-1,-3.626967430E0,5.079129338E-2
4.159498908E0,2.362239361E0,-2.202390194E0,3.456264496E0
4.659498908E0,2.159188271E0,-9.799056053E-1,-1.172709703E0
5.159498908E0,4.921888351E0,-3.063616753E0,1.314013720E0
5.659498908E0,1.302395344E0,4.292824268E0,-2.499200106E-1
6.159498908E0,2.050828934E0,1.069327831E0,1.860437751E0
6.659498908E0,3.366266012E0,1.165966034E0,-4.240921736E-1
7.159498908E0,-3.142406702E0,1.001730442E0,1.063785315E0
7.659498908E0,2.751178265E0,-4.768075943E0,1.334270477E0
8.159498908E0,-1.663765907E0,-3.137071609E0,-1.952682495E0
8.659498908E0,3.671069145E-1,-2.369174480E0,2.370496750E0
9.159498908E0,2.875478268E-1,-2.779357910E0,1.548531651E0
9.659498908E0,-5.114745140E0,-1.374758244E0,3.511088133E0
1.015949891E1,2.407274246E0,2.112952709E0,6.577409506E-1
1.065949891E1,-3.803839207E0,-1.040242195E0,1.588918090E0
1.115949891E1,1.261585712E0,2.657327652E0,-1.024995327E0
1.165949891E1,-7.782483101E-1,-3.152494431E0,-1.241385005E-2
1.215949891E1,1.244519234E0,-1.067676544E0,3.078138351E0
1.265949891E1,-2.247966766E0,-1.668154716E0,2.238757133E0
1.315949891E1,1.950983047E0,-2.216523170E0,7.179809213E-1
1.365949891E1,-1.639449596E0,-3.713532448E0,5.983557701E-1
1.415949891E1,-2.467161179E0,-2.749691010E-1,3.047061920E0
1.465949891E1,8.190171719E-1,5.126180649E-1,1.749257684E0
1.515949891E1,-4.379950047E0,-9.978046417E-1,3.123166561E-1
1.565949891E1,3.600552320E0,3.348862171E0,-1.356203794E0
1.615949891E1,-1.413891315E0,-3.037785530E0,-8.891038299E-1
1.665949891E1,4.607906342E0,1.537885666E0,1.485354781E0
1.715949891E1,-1.221082449E0,-1.431907654E0,4.336132407E-1
1.765949891E1,1.101833344E0,-2.412178040E0,8.315099478E-1
1.815949891E1,9.976780415E-1,1.235160828E0,5.796325207E-2
1.865949891E1,1.210398197E0,-2.262845993E0,8.589456081E-1
1.915949891E1,2.269068718E0,3.964192390E0,-9.215223789E-1
1.965949891E1,-1.718172550E0,-1.092489243E0,2.749172211E0
2.015949891E1,1.771509647E0,1.067214012E0,2.269209385E0
2.065949891E1,-5.567729473E0,-1.667425632E0,2.674604416E0
2.115949891E1,2.973769665E0,-1.356036186E0,1.789403081E0
2.165949891E1,-3.102638006E0,-1.804629326E0,1.035991669E0
2.215949891E1,3.715820312E0,-3.138104439E0,2.380210400E0
2.265949891E1,-1.981647491E0,-2.566812515E0,-6.290864348E-1
2.315949891E1,8.749389648E-1,-2.735651970E0,2.475169420E0
2.365949891E1,-1.968286037E-1,-1.684432030E0,1.631123424E0
2.415949891E1,-3.736950397E0,-5.351428509E0,4.201562881E0
2.465949891E1,2.504568815E0,8.265962601E-1,1.914624572E0
2.515949891E1,3.001496315E0,-2.820798874E0,1.628444791E0
2.565949891E1,6.003172398E0,3.330355644E0,2.954928875E-1
2.615949891E1,-2.957252026E0,-4.613862991E0,2.448211193E0
2.665949891E1,4.326642990E0,4.314012527E-1,3.449119806E0
2.715949891E1,-4.573836327E0,-1.447587013E0,1.352275133E0
2.765949891E1,2.057994843E0,-2.366669655E0,2.311560154E0
2.815949891E1,-1.511390924E0,-1.800868034E0,1.672545671E-1
2.865949891E1,6.928968430E-1,-2.936387062E0,1.202426672E0
2.915949891E1,-7.466828823E-1,-2.747660637E0,5.990924239E-1
2.965949891E1,-4.224722385E0,-3.317716122E0,2.545547247E0
3.015949891E1,2.140596867E0,-1.660966873E-1,1.022779226E0
3.065949891E1,-6.762176991E0,-3.462828636E0,9.565612674E-1
3.115949891E1,2.339000225E0,4.537230968E0,-8.113176823E-1
3.165949891E1,-3.253041506E0,-2.011486053E0,-7.036424875E-1
3.215949891E1,1.960517406E0,3.402970791E0,1.866256475E0
3.265949891E1,-2.182171106E0,-2.388118744E0,4.590968788E-1
3.315949891E1,3.459132195E0,-4.548168182E-2,2.533790350E0
3.365949891E1,8.493821621E-1,-1.743272781E0,1.634349585E0
3.415949891E1,2.007775307E0,-2.673740387E0,1.874613404E0
3.465949891E1,7.767319679E-1,2.610766411E0,4.488992691E-2
3.515949891E1,-1.679612160E0,-1.753435135E-1,1.140894294E0
3.565949891E1,4.856312275E-1,2.516672611E0,7.638940811E-1
3.615949891E1,-4.179566860E0,7.678217888E-1,1.971691012E0
3.665949891E1,2.137992859E0,-1.785871506E0,1.304928780E0
3.715949891E1,-1.495146990E0,-1.464254379E0,3.671512008E-1
3.765949891E1,1.647400856E-1,4.670915604E-1,1.546584845E0
3.815949891E1,9.301502705E-1,-1.742296219E0,5.961177349E-1
3.865949891E1,1.260115623E0,-3.089730263E0,1.028121591E0
3.915949891E1,1.458655357E0,4.089313030E0,-7.617641687E-1
3.965949891E1,-1.882067919E0,7.215361595E-1,1.578477144E0
4.015949891E1,3.949320316E-1,1.340383053E0,1.153187394E0
4.065949891E1,-3.181365013E0,4.357957840E-1,9.173175097E-1
4.115949891E1,1.423962116E0,-4.544718742E0,1.354811907E0
4.165949891E1,-2.376936674E0,-3.165827751E0,-6.971098185E-1
4.215949891E1,-7.425308228E-2,-3.462686539E-1,2.713140488E0
4.265949891E1,-6.564941406E-1,-2.126631737E0,3.438446522E-1
4.315949891E1,-2.601890326E0,1.903887272E0,6.842879057E-1
4.365949891E1,-7.092933655E-1,3.415728569E0,-1.654164791E-1
4.415949891E1,-3.394060135E-1,-9.900608063E-1,7.146293521E-1
4.465949891E1,6.527953148E-1,-3.910064697E-5,1.086703300E0
4.515949891E1,6.590487957E-1,-2.298651695E0,5.158106089E-1
4.565949891E1,1.147984505E0,-3.251156807E0,9.286256433E-1
4.615949891E1,1.354176760E0,2.965070248E0,-8.834930658E-1
4.665949891E1,-2.183570862E-1,-1.247227669E0,1.156863928E0
4.715949891E1,4.779820442E-1,2.072782993E0,7.423152924E-1
4.765949891E1,-2.139184952E0,2.503053188E0,8.516395092E-2
4.815949891E1,1.511216164E-1,-3.101637840E0,6.882983446E-2
4.865949891E1,-8.587527275E-1,-7.792549133E-1,5.778508186E-1
4.915949891E1,1.470607758E0,-1.923157692E0,2.482831478E-1
4.965949891E1,6.386351585E-1,-2.169261932E0,1.238851070E0
5.015949891E1,1.981092930E0,-3.373719215E0,1.271059036E0
5.065949891E1,1.049747467E0,3.424952984E0,-1.202301741E0
5.115949891E1,-1.754773617E0,-2.236911774E0,1.381963730E0
5.165949891E1,5.465226173E-1,2.093497276E0,1.855126739E0
5.215949891E1,-1.655055285E0,2.163328648E0,1.824075103E0
5.265949891E1,8.130674362E-1,-2.534899712E0,1.277216077E-1
5.315949891E1,5.357265472E-3,-1.676458359E0,-1.407655716E0
5.365949891E1,2.446076393E0,-2.491435528E0,2.320950270E0
5.415949891E1,2.192218304E-1,-3.494098663E0,3.218328953E-1
5.465949891E1,-1.068461657E0,1.031273842E0,1.886278868E0
5.515949891E1,4.677040577E0,1.747344017E0,-4.640669823E-1
5.565949891E1,-4.169965267E0,-2.080849648E0,1.023196578E0
5.615949891E1,2.309756041E0,1.946939468E0,2.678326607E0
5.665949891E1,-3.173272610E-1,-3.858346939E0,5.529109240E-1
5.715949891E1,2.021510124E0,-2.665817261E0,2.219749689E0
5.765949891E1,1.550437450E0,-5.008134842E-1,1.765222549E-1
5.815949891E1,4.379038811E-1,-2.938831329E0,2.658521891E0
5.865949891E1,3.714282513E0,3.910583973E0,-8.836395741E-1
5.915949891E1,-2.732049942E0,-1.560075760E0,2.711130381E0
5.965949891E1,2.590820312E0,1.723978043E0,-1.643502712E-2
6.015949891E1,-4.853988647E0,-1.895577908E0,2.019462585E0
6.065949891E1,2.484267235E0,-2.683033943E0,2.745995283E0
6.115949891E1,-3.486056805E0,-2.978415489E0,-2.794321060E0
6.165949891E1,-1.911258698E-1,-2.567607403E0,3.447626829E-1
6.215949891E1,-1.515483618E0,-2.556690216E0,-2.948873043E-1
6.265949891E1,1.428021908E0,-3.394365311E0,1.027725697E0
6.315949891E1,7.397842407E-1,4.894242764E0,-2.110599041E0
6.365949891E1,-6.568737030E-1,-1.146797657E0,5.348260403E-1
6.415949891E1,2.743825912E-1,2.874577999E0,-4.316401482E-1
6.465949891E1,-5.047149658E0,-1.237592220E0,1.490130305E0
6.515949891E1,5.039782524E-1,-1.665154457E0,2.405987740E0
6.565949891E1,-1.938587189E0,6.342706680E-1,4.408853054E-1
6.615949891E1,2.758371830E0,-2.940191269E0,1.282399535E0
6.665949891E1,-1.055064917E0,-3.166565895E0,-1.161017537E0
6.715949891E1,1.901469231E0,-1.509542465E0,1.732078433E0
6.765949891E1,-1.271919727E0,-3.572959900E0,1.870787621E0
6.815949891E1,-2.052065134E0,1.300736427E0,2.533057690E0
6.865949891E1,-1.103379726E-1,-9.314031601E-1,8.568627834E-1
6.915949891E1,-1.788615584E0,2.200492382E0,9.026554227E-1
6.965949891E1,1.121044993E0,3.030536175E0,-1.826326609E0
7.015949891E1,-2.272533894E0,1.261194229E0,8.442921937E-2
7.065949891E1,-9.268391132E-1,3.041184902E0,-1.442898870E0
7.115949891E1,-5.575354099E-1,-1.677627563E-1,3.792162240E-2
7.165949891E1,-9.062817097E-1,1.790919781E0,7.070901394E-1
7.215949891E1,2.269744873E-3,-1.381336212E0,1.258516550E0
7.265949891E1,6.635365486E-1,8.064870834E-1,1.000735641E0
7.315949891E1,-8.594851494E-1,-3.119314194E0,8.030210733E-1
7.365949891E1,2.175857306E0,-1.331744194E0,1.009664059E0
7.415949891E1,-5.680117607E-1,-9.574956894E-1,3.953086734E-1
7.465949891E1,3.067657948E0,-2.223687172E0,-1.519833803E-1
7.515949891E1,-9.585995674E-1,-3.503115654E0,4.854384661E-1
7.565949891E1,4.255957603E-1,-1.147432327E0,1.248339295E0
7.615949891E1,1.433635473E0,-1.367285728E0,5.283237100E-1
7.665949891E1,-2.790479183E0,-5.122195721E0,2.912819386E0
7.715949891E1,3.943952560E0,-1.541604042E0,1.613836527E0
7.765949891E1,-4.564752102E0,-5.477929592E0,1.747545719E0
7.815949891E1,6.602139473E0,2.100066662E0,-1.179852486E-1
7.865949891E1,-4.494203568E0,-4.063454151E0,2.023462534E0
7.915949891E1,8.171781540E0,1.470120430E0,1.128923178E0
7.965949891E1,-3.052449465E0,-3.386054516E0,1.084195137E0
8.015949891E1,9.602695465E0,2.076556206E0,-1.029073834E0
8.065949891E1,-3.035795689E0,-3.344900131E0,-7.527013421E-1
8.115949891E1,5.186100960E0,2.755764484E0,7.986975908E-1
8.165949891E1,-1.513098717E0,-1.248863697E0,-7.137502432E-1
8.215949891E1,4.207077503E0,3.034056187E0,1.117248654E0
8.265949891E1,-2.083612442E0,-9.145164490E-1,1.343882233E-1
8.315949891E1,4.836336136E0,2.165362358E0,1.874682307E0
8.365949891E1,-2.131438255E0,-1.976854324E0,3.894736767E-1
8.415949891E1,3.625595331E0,1.390682220E0,2.624730110E0
8.465949891E1,-1.738241196E0,-1.729444504E0,4.123732150E-1
8.515949891E1,3.513179302E0,5.475463867E-1,2.653114080E0
8.565949891E1,-9.126567841E-1,-1.427069664E0,8.757674098E-1
8.615949891E1,3.754891872E0,2.172427177E-1,2.254587173E0
8.665949891E1,-2.511445045E0,-5.880293846E-1,2.311768293E0
8.715949891E1,3.983891487E0,1.110902786E0,5.624344349E-1
8.765949891E1,-2.346455097E0,-1.175401211E0,7.914774418E-1
8.815949891E1,2.429169655E0,-1.579152107E0,2.624457836E0
8.865949891E1,-2.327404022E0,-3.757709503E0,5.047945976E-1
8.915949891E1,4.471334457E0,-4.287225723E0,5.654828548E-1
8.965949891E1,7.235903263E0,-5.664982319E0,-5.544911385E0
9.015949891E1,-1.950526476E0,7.522256374E-1,-5.249643326E-1
