"Time (s)","Pressure (hPa)"
4.271133350E-1,1.017356934E3
9.271005230E-1,1.017103027E3
1.427114742E0,1.017232422E3
1.927087606E0,1.017237427E3
2.427107242E0,1.017285156E3
2.927092346E0,1.017238892E3
3.427105627E0,1.017181519E3
3.927088335E0,1.017262207E3
4.427113752E0,1.017234497E3
4.927106721E0,1.017181396E3
5.427112971E0,1.017213623E3
5.927091669E0,1.017236572E3
6.427115575E0,1.017262817E3
6.927094325E0,1.017184692E3
7.427083960E0,1.017156616E3
7.927085992E0,1.017281128E3
8.427114533E0,1.017297729E3
8.927094169E0,1.017228882E3
9.427112606E0,1.017111084E3
9.927089429E0,1.017161865E3
1.085551323E1,1.017252686E3
1.135551354E1,1.017177246E3
1.185549990E1,1.017114868E3
1.235556698E1,1.017210571E3
1.285551349E1,1.017269775E3
1.335552521E1,1.017266113E3
1.385550068E1,1.017168945E3
1.435551865E1,1.017165405E3
1.485551308E1,1.017275635E3
1.535551172E1,1.017234619E3
1.585549927E1,1.017218384E3
1.635551458E1,1.017167847E3
1.685551089E1,1.017230713E3
1.735551464E1,1.017270996E3
1.785549396E1,1.017251465E3
1.835551453E1,1.017178467E3
1.885551563E1,1.017258057E3
1.935551479E1,1.017247803E3
1.985549860E1,1.017249878E3
2.035551552E1,1.017184937E3
2.085551240E1,1.017245972E3
2.135549818E1,1.017248657E3
2.185550422E1,1.017222412E3
2.235549703E1,1.017233521E3
2.285551948E1,1.017280640E3
2.335551630E1,1.017293457E3
2.385549844E1,1.017180542E3
2.435550964E1,1.017210938E3
2.485551453E1,1.017241821E3
2.535550995E1,1.017233765E3
2.585549443E1,1.017179565E3
2.635551511E1,1.017252930E3
2.685548755E1,1.017285156E3
2.735551714E1,1.017180664E3
2.785549422E1,1.017200562E3
2.835551406E1,1.017239502E3
2.885551558E1,1.017297607E3
2.935551406E1,1.017186279E3
2.985549657E1,1.017196167E3
3.086902709E1,1.017249878E3
3.136899537E1,1.017145752E3
3.186901526E1,1.017180908E3
3.236900412E1,1.017230347E3
3.286901276E1,1.017221069E3
3.336899370E1,1.017207520E3
3.386901282E1,1.017185181E3
3.436899766E1,1.017234741E3
3.486901198E1,1.017215942E3
3.536899584E1,1.017239624E3
3.586901427E1,1.017212769E3
3.636899682E1,1.017250610E3
3.686900886E1,1.017290283E3
3.736900188E1,1.017183472E3
3.786899985E1,1.017226440E3
3.836899464E1,1.017196655E3
3.886901156E1,1.017229248E3
3.936899688E1,1.017275146E3
3.986901292E1,1.017250977E3
4.036899521E1,1.017224487E3
4.086901453E1,1.017191528E3
4.136899740E1,1.017262573E3
4.186901521E1,1.017276123E3
4.236899912E1,1.017216064E3
4.286902339E1,1.017188599E3
4.336899808E1,1.017195923E3
4.386902448E1,1.017206543E3
4.436900433E1,1.017247681E3
4.486902584E1,1.017245972E3
4.536899834E1,1.017208008E3
4.586902323E1,1.017221191E3
4.636899412E1,1.017239990E3
4.686902401E1,1.017249268E3
4.736899594E1,1.017252686E3
4.786902380E1,1.017199341E3
4.836899594E1,1.017207764E3
4.886901354E1,1.017251953E3
4.936899537E1,1.017247803E3
4.986901662E1,1.017237793E3
5.054861558E1,1.017211914E3
5.064865511E1,1.017218018E3
5.074861334E1,1.017281006E3
5.124861334E1,1.017282715E3
5.174861334E1,1.017256836E3
5.224861334E1,1.017284912E3
5.274861334E1,1.017268066E3
5.324861334E1,1.017270386E3
5.374861334E1,1.017215332E3
5.424861334E1,1.017273804E3
5.474861334E1,1.017287964E3
5.524861334E1,1.017245728E3
5.574861334E1,1.017269287E3
5.624861334E1,1.017234619E3
5.674861334E1,1.017197998E3
5.724861334E1,1.017257324E3
5.774861334E1,1.017265747E3
5.824861334E1,1.017202026E3
5.874861334E1,1.017228394E3
5.924861334E1,1.017291382E3
5.974861334E1,1.017287354E3
6.024861334E1,1.017252075E3
6.074861334E1,1.017332397E3
6.124861334E1,1.017340820E3
6.174861334E1,1.017260010E3
6.224861334E1,1.017280151E3
6.274861334E1,1.017156860E3
6.324861334E1,1.017155029E3
6.374861334E1,1.017266113E3
6.424861334E1,1.017267212E3
6.474861334E1,1.017189575E3
6.524861334E1,1.017176758E3
6.574861334E1,1.017307861E3
6.624861334E1,1.017192749E3
6.674861334E1,1.017164795E3
6.724861334E1,1.017220337E3
6.774861334E1,1.017399658E3
6.824861334E1,1.017233643E3
6.874861334E1,1.017170776E3
6.924861334E1,1.017318481E3
6.974861334E1,1.017327148E3
7.024861334E1,1.017198486E3
7.074861334E1,1.017299561E3
7.124861334E1,1.017312012E3
7.174861334E1,1.017291016E3
7.224861334E1,1.017197998E3
7.274861334E1,1.017269775E3
7.324861334E1,1.017250732E3
7.374861334E1,1.017300171E3
7.424861334E1,1.017285767E3
7.474861334E1,1.017172363E3
7.524861334E1,1.017288208E3
7.574861334E1,1.017269775E3
7.624861334E1,1.017204590E3
7.674861334E1,1.017263794E3
7.724861334E1,1.017300293E3
7.774861334E1,1.017171753E3
7.824861334E1,1.017194946E3
7.874861334E1,1.017334473E3
7.924861334E1,1.017277344E3
7.974861334E1,1.017276978E3
8.024861334E1,1.017288208E3
8.074861334E1,1.017185669E3
8.124861334E1,1.017296387E3
8.174861334E1,1.017277466E3
8.224861334E1,1.017208984E3
8.274861334E1,1.017309937E3
8.324861334E1,1.017274414E3
8.374861334E1,1.017261719E3
8.424861334E1,1.017246338E3
8.474861334E1,1.017229858E3
8.524861334E1,1.017238525E3
8.574861334E1,1.017309448E3
8.624861334E1,1.017255005E3
8.674861334E1,1.017280396E3
8.724861334E1,1.017302734E3
8.774861334E1,1.017242065E3
8.824861334E1,1.017259399E3
8.874861334E1,1.017276001E3
8.924861334E1,1.017195435E3
8.974861334E1,1.017277222E3
