"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.707749500E-1,-8.495602012E-1,-4.566214085E-1,-2.922987938E-1
7.748688040E-1,-4.153880477E-1,-2.411999464E0,2.237444878E0
1.278963491E0,3.200931549E-1,3.029889166E-1,-5.549706817E-1
1.783058960E0,1.130099874E-2,-7.483093739E-1,2.609919906E-1
2.287155158E0,-3.423897028E-1,6.131555438E-1,-1.038470119E-2
2.791252033E0,-1.910479665E-1,-4.894554019E-1,1.924224012E-2
3.295349325E0,3.167333901E-1,5.986474827E-2,7.377719283E-1
3.799446981E0,-4.184423685E-1,9.468404204E-2,-4.560105503E-1
4.303544846E0,2.550360560E-1,-6.093376279E-1,4.495964646E-1
4.807642918E0,-4.402807951E-1,6.076577306E-1,-8.567378670E-2
5.311741148E0,3.226893246E-1,-5.119046569E-1,-4.088212550E-1
5.815839481E0,-3.581194878E-1,4.935787320E-1,2.808450758E-1
6.319937814E0,-8.185587823E-2,-4.398226440E-1,-6.330085993E-1
6.824036043E0,-6.652317643E-1,8.842267841E-2,7.643445730E-1
7.328134221E0,-1.174387559E-1,-6.007854939E-1,-8.219185472E-1
7.832232293E0,3.671297431E-1,3.324631453E-1,5.952877402E-1
8.336330314E0,-3.581194878E-1,-1.884517819E-1,-5.378664136E-1
8.840428439E0,4.396699369E-1,-2.079994529E-1,9.046907425E-1
9.344526668E0,1.059850380E-1,-7.803797722E-2,-7.412844300E-1
9.848624898E0,-2.385426909E-1,-8.323032409E-2,1.795942485E-1
1.035272313E1,1.742491722E-1,1.766926348E-1,1.954767257E-1
1.085682120E1,-2.089157552E-1,-3.507890999E-1,-3.659079969E-1
1.136091917E1,-7.793107629E-1,6.499601007E-1,4.984656572E-1
1.186501698E1,1.553123742E-1,-2.249051332E0,-2.855792828E-2
1.236911453E1,4.352411628E-1,5.238165259E-1,-1.010981202E-1
1.287321193E1,-4.491383433E-1,-2.281579971E-1,-8.242093325E-1
1.337730917E1,-2.501491308E-1,1.061377525E0,1.224631190E0
1.388140615E1,2.041815519E-1,-4.894554019E-1,-1.319467872E-1
1.438550287E1,-5.274817348E-1,1.508836001E-1,-1.302669197E-1
1.488959932E1,4.108065665E-1,2.351829410E-1,-1.191186309E-1
1.539369547E1,-1.449276656E-1,-6.989820004E-1,-6.979130208E-2
1.589779130E1,-3.158170879E-1,5.303833485E-1,2.005163580E-1
1.640188693E1,5.955931544E-2,-3.820959330E-1,-3.801106215E-1
1.690598229E1,-2.399171442E-1,3.694204688E-1,4.880809486E-1
1.741007740E1,-2.742782831E-1,-4.211912751E-1,-2.785543501E-1
1.791417219E1,5.894844979E-2,3.385718167E-1,7.447968721E-1
1.841826667E1,-3.654498458E-1,-2.596175298E-3,-8.811724186E-1
1.892236078E1,2.038761228E-1,-6.139190868E-2,9.364557266E-1
1.942645448E1,1.262962967E-1,-1.275180280E-1,-7.023417950E-1
1.993054781E1,-2.474002391E-1,-5.099193454E-1,1.398880333E-1
2.043464078E1,-1.802051067E-2,2.994764447E-1,-3.008509055E-2
2.093873339E1,-2.426660359E-1,-2.057087123E-1,-4.647153914E-1
2.144282563E1,2.962694131E-2,5.400044918E-1,9.217949510E-1
2.194691740E1,-3.597993553E-1,-9.020945430E-1,-5.862774849E-1
2.245100875E1,-1.401934624E-1,7.406735420E-1,5.827649832E-1
2.295509969E1,5.681042373E-2,-6.566796452E-3,-8.353576064E-1
2.345919021E1,-1.708894223E-1,-1.110246703E-1,9.552397728E-1
2.396328031E1,-5.592467189E-1,1.310304999E-1,-1.249829292E0
2.446737005E1,5.360338464E-2,-6.994401664E-2,1.007621408E0
2.497145943E1,1.038470119E-2,-1.664606482E-1,-1.032361507E0
2.547554834E1,1.837175786E-1,-5.635227636E-2,7.855721116E-1
2.597963682E1,-3.436114267E-2,-1.023198478E-2,-6.053670049E-1
2.648372500E1,6.169734150E-2,-2.139553875E-1,3.095557392E-1
2.698781344E1,6.230820715E-2,2.435823381E-1,1.308777779E-1
2.749190261E1,-2.875646055E-1,-3.020726442E-1,-4.792234302E-1
2.799599302E1,-9.162971377E-2,3.804160357E-1,4.043924809E-1
2.850008474E1,-2.955058515E-1,-5.966621637E-1,-4.899135530E-1
2.900417771E1,-1.420260593E-2,2.142608166E-1,7.947350740E-1
2.950827156E1,-3.074176908E-1,1.458439678E-1,-1.307861447E0
3.001236599E1,9.590577334E-2,3.817904973E-3,1.541517258E0
3.051646084E1,-4.870119393E-1,-3.649916872E-2,-1.892000914E0
3.102055584E1,1.513417512E-1,1.617264450E-1,1.837175846E0
3.152465089E1,-1.389717404E-2,-5.406153202E-1,-1.385288596E0
3.202874589E1,-2.535088956E-1,2.631300092E-1,9.952514172E-1
3.253284068E1,2.044869810E-1,2.087630332E-1,-4.773908257E-1
3.303693511E1,-4.376846254E-1,-2.846629918E-1,-7.162389904E-2
3.354102922E1,2.098320574E-1,6.519454122E-1,4.120282829E-1
3.404512302E1,-3.764454126E-1,-1.759290546E-1,-8.917098641E-1
3.454921656E1,-2.727511227E-1,5.589412451E-1,7.325795889E-1
3.505330964E1,-1.078176349E-1,-5.221366882E-1,-1.277776361E0
