"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.755353140E-1,-1.567500019E1,-2.379375076E1,-2.349375153E1
7.755353140E-1,-3.453750229E1,-8.962500572E0,-6.581250191E0
1.275535314E0,-4.119375229E1,1.856250048E0,4.443750381E0
1.775535314E0,-4.222500229E1,5.868750095E0,1.166250038E1
2.275535314E0,-4.201875305E1,8.250000000E0,1.631250000E1
2.775535314E0,-4.192500305E1,1.138125038E1,1.942500114E1
3.275535314E0,-4.267500305E1,1.111875057E1,2.058750153E1
3.775535314E0,-4.113750076E1,1.147500038E1,2.161875153E1
4.275535314E0,-4.222500229E1,1.717500114E1,2.752500153E1
4.775535314E0,-3.862500000E1,2.064375114E1,2.949375153E1
5.275535314E0,-3.541875076E1,2.328750038E1,2.930625153E1
5.775535314E0,-3.528750229E1,2.540625191E1,2.724375153E1
6.275535314E0,-3.465000153E1,2.758125114E1,2.486250114E1
6.775535314E0,-3.463125229E1,2.745000076E1,2.332500076E1
7.275535314E0,-3.279375076E1,3.095625114E1,2.377500153E1
7.775535314E0,-3.510000229E1,3.331875229E1,2.469375038E1
8.275535314E0,-3.841875076E1,3.489375305E1,2.540625191E1
8.775535314E0,-4.155000305E1,3.438750076E1,2.538750076E1
9.275535314E0,-4.353750229E1,3.247500229E1,2.570625114E1
9.775535314E0,-4.314375305E1,3.228750229E1,2.700000191E1
1.027553531E1,-4.460625076E1,3.168750191E1,2.848125076E1
1.077553531E1,-4.464375305E1,3.241875076E1,2.835000038E1
1.127553531E1,-4.505625153E1,3.035625076E1,2.694375038E1
1.177553531E1,-4.231875229E1,2.979375076E1,2.486250114E1
1.227553531E1,-3.939375305E1,2.857500076E1,2.493750191E1
1.277553531E1,-3.751875305E1,2.728125191E1,2.518125153E1
1.327553531E1,-3.663750076E1,2.441250038E1,2.446875191E1
1.377553531E1,-3.543750000E1,2.255625153E1,2.283750153E1
1.427553531E1,-3.335625076E1,2.203125000E1,2.124375153E1
1.477553531E1,-3.298125076E1,2.223750114E1,2.124375153E1
1.527553531E1,-3.390000153E1,2.351250076E1,2.103750038E1
1.577553531E1,-3.600000000E1,2.300625038E1,2.124375153E1
1.627553531E1,-3.716250229E1,2.418750191E1,1.942500114E1
1.677553531E1,-3.864375305E1,2.596875191E1,1.807500076E1
1.727553531E1,-3.924375153E1,3.024375153E1,1.749375153E1
1.777553531E1,-4.113750076E1,3.172500038E1,1.805625153E1
1.827553531E1,-4.246875000E1,3.271875000E1,1.869375038E1
1.877553531E1,-4.314375305E1,3.213750076E1,1.779375076E1
1.927553531E1,-4.246875000E1,3.318750000E1,1.796250153E1
1.977553531E1,-4.260000229E1,3.498750305E1,1.696875000E1
2.027553531E1,-4.374375153E1,3.468750000E1,1.756875038E1
2.077553531E1,-4.295625305E1,3.489375305E1,1.758750153E1
2.127553531E1,-4.312500000E1,3.326250076E1,1.801875114E1
2.177553531E1,-4.076250076E1,3.496875000E1,1.771875000E1
2.227553531E1,-4.033125305E1,3.495000076E1,1.882500076E1
2.277553531E1,-3.933750153E1,3.607500076E1,1.995000076E1
2.327553531E1,-3.976875305E1,3.496875000E1,2.032500076E1
2.377553531E1,-3.836250305E1,3.493125153E1,2.195625114E1
2.427553531E1,-3.800625229E1,3.440625000E1,2.280000114E1
2.477553531E1,-3.757500076E1,3.440625000E1,2.452500153E1
2.527553531E1,-3.727500153E1,3.483750153E1,2.523750114E1
2.577553531E1,-3.834375000E1,3.412500000E1,2.634375191E1
2.627553531E1,-3.930000305E1,3.346875000E1,2.473125076E1
2.677553531E1,-3.496875000E1,2.473125076E1,2.756250143E0
2.727553531E1,-3.504375076E1,2.484375191E1,2.287500143E0
