"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.786618000E-3,2.894119024E0,3.997808456E0,8.815158844E0
2.279828400E-2,2.563909531E0,3.774677753E0,9.333204269E0
5.227982840E-1,8.215158463E0,-3.153740168E0,1.841277003E0
1.022798284E0,9.917651176E0,-8.867800713E0,7.298108935E-2
1.522798284E0,9.705288887E0,-1.072343445E1,1.543968797E0
2.022798284E0,8.447860718E0,-1.052183914E1,8.195417523E-1
2.522798284E0,4.704289436E0,-1.172363472E1,1.288534999E0
3.022798284E0,7.094120979E0,-1.273460197E1,4.115654826E-1
3.522798284E0,3.584448338E0,-1.060678482E1,8.865407705E-1
4.022798284E0,8.807381630E0,-1.153340530E1,1.309472203E0
4.522798284E0,1.225125194E0,-1.381017590E1,-5.108676553E-1
5.022798284E0,9.692726135E0,-1.264188004E1,-5.012963414E-1
5.522798284E0,2.169692039E0,-1.252283764E1,-7.513462901E-1
6.022798284E0,9.013164520E0,-1.136291695E1,7.274180651E-1
6.522798284E0,2.130808592E0,-1.209512043E1,-1.182054400E0
7.022798284E0,1.093400288E1,-9.600004196E0,-1.105484009E0
7.522798284E0,4.879563808E0,-1.136889839E1,-5.467599630E-1
8.022798284E0,1.093639565E1,-8.263014793E0,-2.726023197E0
8.522798284E0,5.858826160E0,-1.074257755E1,4.582255483E-1
9.022798284E0,9.205786705E0,-7.543971539E0,-1.951346874E0
9.522798284E0,5.502295494E0,-7.757531166E0,-4.311866283E0
1.002279828E1,4.505086899E0,-9.591629982E0,-7.465606928E-1
1.052279828E1,5.431707382E0,-6.354140759E0,-3.273381472E0
1.102279828E1,3.653241873E0,-7.794619560E0,1.536192179E0
1.152279828E1,4.707878590E0,-5.095515728E0,-2.946761131E0
1.202279828E1,1.513460279E0,-8.373682976E0,9.655039310E-1
1.252279828E1,3.745365620E0,-6.141777515E0,-1.610967875E0
1.302279828E1,2.181057930E0,-9.537791252E0,-3.056232691E0
1.352279828E1,5.940780640E0,-7.788039684E0,-4.366901219E-1
1.402279828E1,3.471387386E0,-1.183490086E1,-5.002793789E0
1.452279828E1,6.594619274E0,-1.419302750E1,-6.478567123E-1
1.502279828E1,4.525425911E0,-1.287218952E1,7.477570772E-1
1.552279828E1,9.110074043E0,-1.246481133E1,1.028913736E0
1.602279828E1,7.208378315E0,-1.096092224E1,1.020538807E0
1.652279828E1,1.023170948E1,-8.540582657E0,-1.499701619E0
1.702279828E1,6.101697922E0,-1.140718365E1,-8.673982024E-1
1.752279828E1,7.951947689E0,-8.314460754E0,-1.957328916E0
1.802279828E1,5.581857204E0,-1.070548820E1,-1.268195987E0
1.852279828E1,5.927619934E0,-1.009950638E1,-4.271188378E-1
1.902279828E1,4.813162804E0,-5.637490273E0,-3.135794163E0
1.952279828E1,3.228515863E0,-8.785248756E0,-1.490130305E0
2.002279828E1,4.703093052E0,-4.841876507E0,-4.340580463E0
2.052279828E1,3.121437073E0,-7.654041290E0,1.750349760E0
2.102279828E1,4.019941807E0,-4.370490551E0,-4.002593994E0
2.152279828E1,3.349951804E-1,-7.630113125E0,5.665007830E-1
2.202279828E1,3.433102369E0,-4.418346882E0,-3.253042459E0
2.252279828E1,7.339983582E-1,-7.894520283E0,3.672982752E-1
2.302279828E1,4.425525665E0,-3.942175388E0,-4.088735580E0
2.352279828E1,3.037688255E0,-8.201399803E0,1.973480463E0
2.402279828E1,3.500101328E0,-5.980261803E0,-1.955534339E0
2.452279828E1,8.249256015E-1,-9.360722542E0,-1.055832982E0
2.502279828E1,1.850250125E0,-9.244669914E0,-8.500502706E-1
2.552279828E1,1.098903775E0,-8.522037506E0,-1.176072359E0
2.602279828E1,2.191825628E0,-8.849854469E0,-1.287338614E0
2.652279828E1,1.561316729E0,-8.505886078E0,-1.655833244E0
