"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.190175312E0,5.233816673E1,4.873341980E0,1.886039834E1,9.499999881E-1,2.031999969E2,6.759142399E0,8.804240227E0
1.735288594E0,5.233808956E1,4.873341170E0,1.728045523E1,1.269999981E0,2.245000000E2,5.240118980E0,6.844648838E0
2.734798280E0,5.233805944E1,4.873336880E0,1.607728536E1,1.389999986E0,2.223000031E2,4.608176708E0,5.764063835E0
3.735028488E0,5.233803385E1,4.873330100E0,1.470895930E1,1.190000057E0,2.243000031E2,4.163894653E0,4.775140285E0
4.735298332E0,5.233801422E1,4.873323830E0,1.334857651E1,1.669999957E0,2.178000031E2,3.790092468E0,3.893216133E0
5.734787758E0,5.233799403E1,4.873321160E0,1.157181315E1,1.330000043E0,2.195000000E2,3.790092468E0,3.112843513E0
6.734666560E0,5.233797977E1,4.873309910E0,1.127692578E1,1.570000052E0,2.181999969E2,3.790092468E0,2.643643379E0
7.734713747E0,5.233796776E1,4.873296590E0,1.081181335E1,1.519999981E0,2.176000061E2,3.790092468E0,2.500000000E0
8.734744111E0,5.233795602E1,4.873285470E0,1.102083586E1,1.490000010E0,2.163000031E2,3.790092468E0,2.500000000E0
9.734999475E0,5.233794507E1,4.873274930E0,1.084607074E1,1.399999976E0,2.161999969E2,3.790092468E0,2.500000000E0
1.073529520E1,5.233793428E1,4.873264980E0,1.057511479E1,1.450000048E0,2.150000000E2,3.790092468E0,2.500000000E0
1.173501046E1,5.233792346E1,4.873254860E0,1.055684425E1,1.409999967E0,2.151999969E2,3.790092468E0,2.500000000E0
1.273531296E1,5.233791263E1,4.873243510E0,1.048168822E1,1.500000000E0,2.148999939E2,3.790092468E0,2.500000000E0
1.373464958E1,5.233790118E1,4.873231630E0,1.015170923E1,1.529999971E0,2.156999969E2,3.790092468E0,2.500000000E0
1.473462046E1,5.233789050E1,4.873219130E0,9.737441425E0,1.429999948E0,2.171999969E2,3.790092468E0,2.500000000E0
1.573552010E1,5.233787987E1,4.873204770E0,9.375174577E0,1.519999981E0,2.185000000E2,3.790092468E0,2.500000000E0
1.673481770E1,5.233786885E1,4.873189990E0,9.311612994E0,1.490000010E0,2.101999969E2,3.790092468E0,2.500000000E0
1.773497254E1,5.233785757E1,4.873175210E0,9.320682880E0,1.470000029E0,2.173000031E2,3.790092468E0,2.500000000E0
1.873500296E1,5.233784746E1,4.873159240E0,9.033489084E0,1.490000010E0,2.235000000E2,3.790092468E0,2.500000000E0
1.973532588E1,5.233783913E1,4.873141010E0,8.825031852E0,1.509999990E0,2.331000061E2,3.790092468E0,2.500000000E0
2.073504296E1,5.233783216E1,4.873122670E0,8.757750788E0,1.480000019E0,2.333000031E2,3.790092468E0,2.500000000E0
2.173530473E1,5.233782506E1,4.873105320E0,8.492899307E0,1.480000019E0,2.298000031E2,3.790092468E0,2.500000000E0
2.273472520E1,5.233781998E1,4.873085380E0,8.530844597E0,1.539999962E0,2.465000000E2,3.790092468E0,2.570849657E0
2.373520103E1,5.233781399E1,4.873066560E0,9.654604677E0,1.519999981E0,2.278000031E2,3.790092468E0,2.500000000E0
2.473494150E1,5.233780657E1,4.873050810E0,9.296614014E0,1.450000048E0,2.256000061E2,3.790092468E0,2.500000000E0
2.573472728E1,5.233779949E1,4.873035930E0,9.084376282E0,1.450000048E0,2.206999969E2,3.790092468E0,2.500000000E0
2.673454832E1,5.233779394E1,4.873017940E0,8.779609625E0,1.490000010E0,2.348000031E2,3.790092468E0,2.500000000E0
2.773478874E1,5.233779352E1,4.872994180E0,8.971306847E0,1.639999986E0,2.635000000E2,3.790092468E0,2.678897142E0
2.873504140E1,5.233779271E1,4.872972500E0,8.915873364E0,1.480000019E0,2.470000000E2,3.790092468E0,2.882454157E0
2.973523462E1,5.233779041E1,4.872952320E0,9.123927412E0,1.429999948E0,2.441999969E2,3.790092468E0,2.811197281E0
3.073503134E1,5.233778937E1,4.872931010E0,8.934887860E0,1.500000000E0,2.592999878E2,3.790092468E0,2.742822409E0
3.173481785E1,5.233778918E1,4.872909180E0,9.602538660E0,1.429999948E0,2.632000122E2,3.790092468E0,2.654354572E0
